work_id,split
W-001034,TRAIN
W-004909,TRAIN
W-000231,TRAIN
W-002291,TRAIN
W-002138,TRAIN
W-001050,TRAIN
W-000874,TRAIN
W-004396,TRAIN
W-004739,TRAIN
W-004113,TRAIN
W-001959,TRAIN
W-004073,TRAIN
W-001070,TRAIN
W-004370,TRAIN
W-002375,TRAIN
W-003499,TRAIN
W-002251,TRAIN
W-004851,TRAIN
W-002733,TRAIN
W-000035,TRAIN
W-004931,TRAIN
W-002775,TRAIN
W-001556,TRAIN
W-001154,TRAIN
W-004853,TRAIN
W-000179,TRAIN
W-004975,TRAIN
W-001953,TRAIN
W-000070,TRAIN
W-003294,TRAIN
W-001217,TRAIN
W-000213,TRAIN
W-004236,TRAIN
W-002294,TRAIN
W-000756,TRAIN
W-004573,TRAIN
W-001433,TRAIN
W-004055,TRAIN
W-004952,TRAIN
W-004552,TRAIN
W-003732,TRAIN
W-003976,TRAIN
W-001151,TRAIN
W-003558,TRAIN
W-000631,TRAIN
W-000938,TRAIN
W-002455,TRAIN
W-003534,TRAIN
W-002615,TRAIN
W-004058,TRAIN
W-001612,TRAIN
W-002476,TRAIN
W-002769,TRAIN
W-000234,TRAIN
W-003330,TRAIN
W-003636,TRAIN
W-001575,TRAIN
W-003711,TRAIN
W-001197,TRAIN
W-002798,TRAIN
W-003354,TRAIN
W-003417,TRAIN
W-002074,TRAIN
W-000549,TRAIN
W-002173,TRAIN
W-002692,TRAIN
W-000671,TRAIN
W-001910,TRAIN
W-001394,TRAIN
W-002517,TRAIN
W-004793,TRAIN
W-000472,TRAIN
W-000269,TRAIN
W-001049,TRAIN
W-001779,TRAIN
W-003270,TRAIN
W-004731,TRAIN
W-002737,TRAIN
W-000696,TRAIN
W-003215,TRAIN
W-004413,TRAIN
W-001133,TRAIN
W-002379,TRAIN
W-002313,TRAIN
W-004617,TRAIN
W-000773,TRAIN
W-000058,TRAIN
W-002337,TRAIN
W-002839,TRAIN
W-000054,TRAIN
W-000155,TRAIN
W-001711,TRAIN
W-003169,TRAIN
W-001852,TRAIN
W-000393,TRAIN
W-003469,TRAIN
W-000413,TRAIN
W-000595,TRAIN
W-000554,TRAIN
W-001451,TRAIN
W-001354,TRAIN
W-004110,TRAIN
W-002414,TRAIN
W-001853,TRAIN
W-001937,TRAIN
W-003131,TRAIN
W-001871,TRAIN
W-001437,TRAIN
W-003418,TRAIN
W-003591,TRAIN
W-002589,TRAIN
W-003539,TRAIN
W-001116,TRAIN
W-004670,TRAIN
W-002675,TRAIN
W-003012,TRAIN
W-001718,TRAIN
W-001589,TRAIN
W-001156,TRAIN
W-000832,TRAIN
W-002456,TRAIN
W-000755,TRAIN
W-000737,TRAIN
W-003091,TRAIN
W-003716,TRAIN
W-002790,TRAIN
W-000953,TRAIN
W-003274,TRAIN
W-000558,TRAIN
W-000211,TRAIN
W-003269,TRAIN
W-003955,TRAIN
W-002892,TRAIN
W-001374,TRAIN
W-001510,TRAIN
W-002796,TRAIN
W-002756,TRAIN
W-003058,TRAIN
W-002549,TRAIN
W-004053,TRAIN
W-004555,TRAIN
W-001729,TRAIN
W-004593,TRAIN
W-003730,TRAIN
W-002377,TRAIN
W-003213,TRAIN
W-001813,TRAIN
W-001336,TRAIN
W-001375,TRAIN
W-000134,TRAIN
W-004109,TRAIN
W-002152,TRAIN
W-003034,TRAIN
W-004493,TRAIN
W-004057,TRAIN
W-003032,TRAIN
W-002393,TRAIN
W-003030,TRAIN
W-003370,TRAIN
W-003172,TRAIN
W-004733,TRAIN
W-001058,TRAIN
W-003697,TRAIN
W-003832,TRAIN
W-004913,TRAIN
W-001439,TRAIN
W-004674,TRAIN
W-004551,TRAIN
W-003089,TRAIN
W-001372,TRAIN
W-003956,TRAIN
W-001938,TRAIN
W-002731,TRAIN
W-004872,TRAIN
W-000298,TRAIN
W-000175,TRAIN
W-001756,TRAIN
W-003916,TRAIN
W-001869,TRAIN
W-002037,TRAIN
W-001215,TRAIN
W-003299,TRAIN
W-004329,TRAIN
W-004516,TRAIN
W-002573,TRAIN
W-000296,TRAIN
W-003339,TRAIN
W-003596,TRAIN
W-000331,TRAIN
W-003117,TRAIN
W-002757,TRAIN
W-001970,TRAIN
W-000335,TRAIN
W-002853,TRAIN
W-004276,TRAIN
W-003497,TRAIN
W-003395,TRAIN
W-003278,TRAIN
W-001929,TRAIN
W-001693,TRAIN
W-002518,TRAIN
W-001851,TRAIN
W-003315,TRAIN
W-000758,TRAIN
W-000778,TRAIN
W-004599,TRAIN
W-000430,TRAIN
W-003712,TRAIN
W-000973,TRAIN
W-001812,TRAIN
W-001314,TRAIN
W-001192,TRAIN
W-000239,TRAIN
W-000256,TRAIN
W-001191,TRAIN
W-000214,TRAIN
W-002612,TRAIN
W-004537,TRAIN
W-004252,TRAIN
W-001313,TRAIN
W-002495,TRAIN
W-003858,TRAIN
W-003815,TRAIN
W-003931,TRAIN
W-002759,TRAIN
W-002618,TRAIN
W-000876,TRAIN
W-002293,TRAIN
W-001892,TRAIN
W-000189,TRAIN
W-002038,TRAIN
W-004278,TRAIN
W-002272,TRAIN
W-001198,TRAIN
W-000670,TRAIN
W-001279,TRAIN
W-001417,TRAIN
W-000934,TRAIN
W-003598,TRAIN
W-000798,TRAIN
W-001497,TRAIN
W-003814,TRAIN
W-001759,TRAIN
W-000039,TRAIN
W-002195,TRAIN
W-002070,TRAIN
W-004314,TRAIN
W-002174,TRAIN
W-000195,TRAIN
W-000276,TRAIN
W-001876,TRAIN
W-001298,TRAIN
W-002956,TRAIN
W-004152,TRAIN
W-004939,TRAIN
W-003654,TRAIN
W-001596,TRAIN
W-001029,TRAIN
W-000512,TRAIN
W-003538,TRAIN
W-000252,TRAIN
W-004392,TRAIN
W-000311,TRAIN
W-004417,TRAIN
W-003789,TRAIN
W-004098,TRAIN
W-001038,TRAIN
W-003297,TRAIN
W-003478,TRAIN
W-001256,TRAIN
W-000609,TRAIN
W-002151,TRAIN
W-000999,TRAIN
W-001390,TRAIN
W-003236,TRAIN
W-004715,TRAIN
W-002490,TRAIN
W-001269,TRAIN
W-002638,TRAIN
W-004694,TRAIN
W-004692,TRAIN
W-002333,TRAIN
W-003470,TRAIN
W-004354,TRAIN
W-001310,TRAIN
W-004074,TRAIN
W-003276,TRAIN
W-000708,TRAIN
W-000694,TRAIN
W-003975,TRAIN
W-001329,TRAIN
W-001854,TRAIN
W-002951,TRAIN
W-000533,TRAIN
W-000989,TRAIN
W-003553,TRAIN
W-004796,TRAIN
W-001695,TRAIN
W-000074,TRAIN
W-001832,TRAIN
W-002512,TRAIN
W-004499,TRAIN
W-002835,TRAIN
W-004389,TRAIN
W-000491,TRAIN
W-002958,TRAIN
W-001895,TRAIN
W-004115,TRAIN
W-002257,TRAIN
W-000732,TRAIN
W-001633,TRAIN
W-001376,TRAIN
W-002929,TRAIN
W-001829,TRAIN
W-004673,TRAIN
W-000218,TRAIN
W-003856,TRAIN
W-000089,TRAIN
W-004651,TRAIN
W-001954,TRAIN
W-003436,TRAIN
W-000955,TRAIN
W-003592,TRAIN
W-003612,TRAIN
W-002693,TRAIN
W-003613,TRAIN
W-003415,TRAIN
W-003357,TRAIN
W-003515,TRAIN
W-000912,TRAIN
W-001597,TRAIN
W-004070,TRAIN
W-004199,TRAIN
W-001811,TRAIN
W-000173,TRAIN
W-002477,TRAIN
W-004076,TRAIN
W-002057,TRAIN
W-002851,TRAIN
W-004713,TRAIN
W-000996,TRAIN
W-003230,TRAIN
W-001798,TRAIN
W-003835,TRAIN
W-004071,TRAIN
W-003195,TRAIN
W-000539,TRAIN
W-001750,TRAIN
W-004254,TRAIN
W-004399,TRAIN
W-004034,TRAIN
W-001292,TRAIN
W-004217,TRAIN
W-002209,TRAIN
W-004919,TRAIN
W-002856,TRAIN
W-002430,TRAIN
W-003392,TRAIN
W-000112,TRAIN
W-004830,TRAIN
W-000612,TRAIN
W-002369,TRAIN
W-004492,TRAIN
W-000949,TRAIN
W-002376,TRAIN
W-001911,TRAIN
W-001409,TRAIN
W-001569,TRAIN
W-002312,TRAIN
W-003750,TRAIN
W-003393,TRAIN
W-000309,TRAIN
W-001719,TRAIN
W-004911,TRAIN
W-001474,TRAIN
W-002550,TRAIN
W-000038,TRAIN
W-003209,TRAIN
W-002354,TRAIN
W-004450,TRAIN
W-001598,TRAIN
W-002072,TRAIN
W-002515,TRAIN
W-002977,TRAIN
W-000615,TRAIN
W-004835,TRAIN
W-003496,TRAIN
W-003151,TRAIN
W-003359,TRAIN
W-001155,TRAIN
W-002112,TRAIN
W-003255,TRAIN
W-000875,TRAIN
W-001411,TRAIN
W-000618,TRAIN
W-003754,TRAIN
W-001891,TRAIN
W-004935,TRAIN
W-001393,TRAIN
W-003659,TRAIN
W-001739,TRAIN
W-000757,TRAIN
W-000610,TRAIN
W-004391,TRAIN
W-003873,TRAIN
W-001150,TRAIN
W-004176,TRAIN
W-004672,TRAIN
W-004937,TRAIN
W-001513,TRAIN
W-000034,TRAIN
W-002273,TRAIN
W-004451,TRAIN
W-000889,TRAIN
W-004878,TRAIN
W-004237,TRAIN
W-004695,TRAIN
W-001132,TRAIN
W-004994,TRAIN
W-001890,TRAIN
W-004179,TRAIN
W-001690,TRAIN
W-004896,TRAIN
W-000818,TRAIN
W-004589,TRAIN
W-001489,TRAIN
W-003859,TRAIN
W-000797,TRAIN
W-004718,TRAIN
W-001416,TRAIN
W-004230,TRAIN
W-002317,TRAIN
W-004019,TRAIN
W-003194,TRAIN
W-002189,TRAIN
W-000255,TRAIN
W-004519,TRAIN
W-004172,TRAIN
W-004355,TRAIN
W-004279,TRAIN
W-001236,TRAIN
W-001591,TRAIN
W-002238,TRAIN
W-004210,TRAIN
W-002479,TRAIN
W-003453,TRAIN
W-002012,TRAIN
W-001615,TRAIN
W-004754,TRAIN
W-001833,TRAIN
W-003550,TRAIN
W-004052,TRAIN
W-004009,TRAIN
W-002651,TRAIN
W-000172,TRAIN
W-002957,TRAIN
W-003376,TRAIN
W-001135,TRAIN
W-000929,TRAIN
W-001875,TRAIN
W-001199,TRAIN
W-003634,TRAIN
W-001455,TRAIN
W-004514,TRAIN
W-001212,TRAIN
W-002179,TRAIN
W-001117,TRAIN
W-001072,TRAIN
W-002058,TRAIN
W-000835,TRAIN
W-002095,TRAIN
W-002196,TRAIN
W-001613,TRAIN
W-004653,TRAIN
W-001951,TRAIN
W-001755,TRAIN
W-004476,TRAIN
W-001552,TRAIN
W-004912,TRAIN
W-000919,TRAIN
W-001610,TRAIN
W-004214,TRAIN
W-001137,TRAIN
W-001774,TRAIN
W-002111,TRAIN
W-004574,TRAIN
W-003199,TRAIN
W-001196,TRAIN
W-001872,TRAIN
W-000854,TRAIN
W-000836,TRAIN
W-004372,TRAIN
W-001276,TRAIN
W-004337,TRAIN
W-004556,TRAIN
W-001157,TRAIN
W-004832,TRAIN
W-002279,TRAIN
W-004198,TRAIN
W-002829,TRAIN
W-002678,TRAIN
W-003790,TRAIN
W-001259,TRAIN
W-003337,TRAIN
W-000653,TRAIN
W-000434,TRAIN
W-001296,TRAIN
W-002751,TRAIN
W-003957,TRAIN
W-003494,TRAIN
W-000093,TRAIN
W-003849,TRAIN
W-001733,TRAIN
W-003353,TRAIN
W-002319,TRAIN
W-003318,TRAIN
W-001396,TRAIN
W-002999,TRAIN
W-000578,TRAIN
W-000597,TRAIN
W-004809,TRAIN
W-002975,TRAIN
W-002330,TRAIN
W-003698,TRAIN
W-002019,TRAIN
W-000770,TRAIN
W-004629,TRAIN
W-002299,TRAIN
W-001918,TRAIN
W-002439,TRAIN
W-001736,TRAIN
W-000616,TRAIN
W-000589,TRAIN
W-003174,TRAIN
W-003314,TRAIN
W-000389,TRAIN
W-002539,TRAIN
W-000469,TRAIN
W-001312,TRAIN
W-001611,TRAIN
W-004274,TRAIN
W-002015,TRAIN
W-004734,TRAIN
W-002055,TRAIN
W-004475,TRAIN
W-001219,TRAIN
W-000730,TRAIN
W-003159,TRAIN
W-002935,TRAIN
W-003675,TRAIN
W-003776,TRAIN
W-002891,TRAIN
W-002896,TRAIN
W-000090,TRAIN
W-002794,TRAIN
W-003557,TRAIN
W-004898,TRAIN
W-002576,TRAIN
W-003232,TRAIN
W-000294,TRAIN
W-000069,TRAIN
W-001293,TRAIN
W-000931,TRAIN
W-000734,TRAIN
W-000251,TRAIN
W-001099,TRAIN
W-004449,TRAIN
W-003498,TRAIN
W-000790,TRAIN
W-001189,TRAIN
W-001909,TRAIN
W-000979,TRAIN
W-001469,TRAIN
W-004951,TRAIN
W-003755,TRAIN
W-000414,TRAIN
W-002113,TRAIN
W-003733,TRAIN
W-004918,TRAIN
W-003577,TRAIN
W-002812,TRAIN
W-003757,TRAIN
W-000372,TRAIN
W-003211,TRAIN
W-000473,TRAIN
W-003555,TRAIN
W-004996,TRAIN
W-002529,TRAIN
W-004433,TRAIN
W-001599,TRAIN
W-004277,TRAIN
W-003650,TRAIN
W-000433,TRAIN
W-000916,TRAIN
W-001275,TRAIN
W-001533,TRAIN
W-000839,TRAIN
W-004338,TRAIN
W-000129,TRAIN
W-002938,TRAIN
W-003518,TRAIN
W-003951,TRAIN
W-001772,TRAIN
W-001211,TRAIN
W-002274,TRAIN
W-004151,TRAIN
W-002609,TRAIN
W-003609,TRAIN
W-004999,TRAIN
W-003109,TRAIN
W-001129,TRAIN
W-002217,TRAIN
W-004015,TRAIN
W-004415,TRAIN
W-004611,TRAIN
W-002036,TRAIN
W-002694,TRAIN
W-004735,TRAIN
W-000811,TRAIN
W-002650,TRAIN
W-004756,TRAIN
W-002236,TRAIN
W-003057,TRAIN
W-004819,TRAIN
W-002332,TRAIN
W-001493,TRAIN
W-002592,TRAIN
W-003416,TRAIN
W-003775,TRAIN
W-003249,TRAIN
W-000817,TRAIN
W-004474,TRAIN
W-000932,TRAIN
W-002335,TRAIN
W-003657,TRAIN
W-002415,TRAIN
W-004158,TRAIN
W-001676,TRAIN
W-003309,TRAIN
W-000150,TRAIN
W-004293,TRAIN
W-000451,TRAIN
W-000397,TRAIN
W-000639,TRAIN
W-000575,TRAIN
W-001635,TRAIN
W-004614,TRAIN
W-004910,TRAIN
W-002034,TRAIN
W-004834,TRAIN
W-002989,TRAIN
W-004133,TRAIN
W-001509,TRAIN
W-004849,TRAIN
W-001534,TRAIN
W-004592,TRAIN
W-000994,TRAIN
W-004558,TRAIN
W-000114,TRAIN
W-004530,TRAIN
W-004138,TRAIN
W-002511,TRAIN
W-000913,TRAIN
W-004571,TRAIN
W-003676,TRAIN
W-001273,TRAIN
W-000370,TRAIN
W-002610,TRAIN
W-002656,TRAIN
W-004031,TRAIN
W-004090,TRAIN
W-002569,TRAIN
W-004897,TRAIN
W-004557,TRAIN
W-004955,TRAIN
W-001330,TRAIN
W-000111,TRAIN
W-002253,TRAIN
W-001531,TRAIN
W-000395,TRAIN
W-003816,TRAIN
W-004294,TRAIN
W-001175,TRAIN
W-004579,TRAIN
W-003556,TRAIN
W-003429,TRAIN
W-002871,TRAIN
W-004089,TRAIN
W-003830,TRAIN
W-000619,TRAIN
W-004490,TRAIN
W-001752,TRAIN
W-003631,TRAIN
W-002691,TRAIN
W-003853,TRAIN
W-000809,TRAIN
W-004759,TRAIN
W-000091,TRAIN
W-000593,TRAIN
W-003356,TRAIN
W-002289,TRAIN
W-000376,TRAIN
W-003295,TRAIN
W-003812,TRAIN
W-002190,TRAIN
W-002873,TRAIN
W-001999,TRAIN
W-002878,TRAIN
W-002789,TRAIN
W-002690,TRAIN
W-001878,TRAIN
W-001570,TRAIN
W-004554,TRAIN
W-001254,TRAIN
W-001790,TRAIN
W-002773,TRAIN
W-002655,TRAIN
W-000450,TRAIN
W-003656,TRAIN
W-003218,TRAIN
W-002295,TRAIN
W-002718,TRAIN
W-001472,TRAIN
W-003552,TRAIN
W-002258,TRAIN
W-001096,TRAIN
W-000230,TRAIN
W-000898,TRAIN
W-000813,TRAIN
W-002316,TRAIN
W-002172,TRAIN
W-001995,TRAIN
W-004997,TRAIN
W-002255,TRAIN
W-004598,TRAIN
W-004938,TRAIN
W-004269,TRAIN
W-002577,TRAIN
W-001952,TRAIN
W-004773,TRAIN
W-000769,TRAIN
W-002194,TRAIN
W-000678,TRAIN
W-002696,TRAIN
W-003714,TRAIN
W-002409,TRAIN
W-003778,TRAIN
W-003098,TRAIN
W-001691,TRAIN
W-001917,TRAIN
W-001573,TRAIN
W-002538,TRAIN
W-003530,TRAIN
W-001093,TRAIN
W-002137,TRAIN
W-002976,TRAIN
W-003611,TRAIN
W-002413,TRAIN
W-004193,TRAIN
W-004775,TRAIN
W-001299,TRAIN
W-002859,TRAIN
W-001935,TRAIN
W-004769,TRAIN
W-000636,TRAIN
W-001431,TRAIN
W-000156,TRAIN
W-004719,TRAIN
W-000693,TRAIN
W-003958,TRAIN
W-003672,TRAIN
W-001119,TRAIN
W-004850,TRAIN
W-001973,TRAIN
W-002135,TRAIN
W-000229,TRAIN
W-001429,TRAIN
W-000596,TRAIN
W-003935,TRAIN
W-001110,TRAIN
W-002699,TRAIN
W-002230,TRAIN
W-002658,TRAIN
W-004509,TRAIN
W-004856,TRAIN
W-000555,TRAIN
W-002275,TRAIN
W-001956,TRAIN
W-001713,TRAIN
W-000290,TRAIN
W-004239,TRAIN
W-004649,TRAIN
W-000096,TRAIN
W-004331,TRAIN
W-001233,TRAIN
W-003177,TRAIN
W-003670,TRAIN
W-003292,TRAIN
W-000375,TRAIN
W-002556,TRAIN
W-000937,TRAIN
W-003411,TRAIN
W-003149,TRAIN
W-002450,TRAIN
W-001350,TRAIN
W-003939,TRAIN
W-000717,TRAIN
W-000475,TRAIN
W-000777,TRAIN
W-000314,TRAIN
W-003377,TRAIN
W-003154,TRAIN
W-003678,TRAIN
W-000679,TRAIN
W-004455,TRAIN
W-003738,TRAIN
W-004639,TRAIN
W-003710,TRAIN
W-000492,TRAIN
W-002418,TRAIN
W-002698,TRAIN
W-004233,TRAIN
W-004059,TRAIN
W-001831,TRAIN
W-002571,TRAIN
W-004209,TRAIN
W-001352,TRAIN
W-000079,TRAIN
W-004838,TRAIN
W-003319,TRAIN
W-003333,TRAIN
W-003551,TRAIN
W-003614,TRAIN
W-002191,TRAIN
W-002449,TRAIN
W-000812,TRAIN
W-002458,TRAIN
W-001579,TRAIN
W-001012,TRAIN
W-003799,TRAIN
W-001053,TRAIN
W-001177,TRAIN
W-000257,TRAIN
W-000135,TRAIN
W-001816,TRAIN
W-004498,TRAIN
W-001978,TRAIN
W-002416,TRAIN
W-000893,TRAIN
W-004375,TRAIN
W-002176,TRAIN
W-004737,TRAIN
W-001172,TRAIN
W-001373,TRAIN
W-004750,TRAIN
W-000976,TRAIN
W-000350,TRAIN
W-003838,TRAIN
W-002792,TRAIN
W-003618,TRAIN
W-004129,TRAIN
W-002998,TRAIN
W-002338,TRAIN
W-003237,TRAIN
W-003952,TRAIN
W-000957,TRAIN
W-003569,TRAIN
W-002695,TRAIN
W-004518,TRAIN
W-001715,TRAIN
W-000419,TRAIN
W-001734,TRAIN
W-002753,TRAIN
W-001697,TRAIN
W-004815,TRAIN
W-003877,TRAIN
W-003798,TRAIN
W-003233,TRAIN
W-001675,TRAIN
W-002834,TRAIN
W-004017,TRAIN
W-003458,TRAIN
W-004619,TRAIN
W-000655,TRAIN
W-002669,TRAIN
W-003933,TRAIN
W-001237,TRAIN
W-004318,TRAIN
