work_id,snapshot_date,technical_estimate_amount_inr,sanctioned_amount_inr,estimate_to_sanction_ratio,planned_duration_days,schedule_elapsed_ratio,released_to_sanction_ratio,expenditure_to_sanction_ratio,physical_progress_pct,financial_progress_pct,financial_physical_gap_pct,progress_velocity_pct_per_30d,payment_count,sanction_revision_count,payment_chronology_flag,sector,cost_overrun_target
W-000033,2023-12-29,3082000.0,2922000.0,1.054757015742642,242,0.5991735537190083,0.810403832991102,0.810403832991102,61.6,66.3,4.699999999999996,13.700000000000003,3,0.0,0,Community Infrastructure,1
W-000034,2023-10-03,2841000.0,2748000.0,1.0338427947598254,149,0.5973154362416108,0.3104075691411936,0.3104075691411936,32.5,44.4,11.899999999999999,13.451612903225806,2,1.0,0,Community Infrastructure,0
W-000035,2024-04-10,4366000.0,4373000.0,0.9983992682369083,405,0.6,0.5177223873770866,0.5177223873770866,43.8,30.8,-12.999999999999996,3.724137931034477,1,0.0,0,Health,0
W-000036,2023-12-26,5367000.0,5291000.0,1.0143640143640145,240,0.6,0.5772065772065772,0.5772065772065772,63.3,61.0,-2.299999999999997,10.799999999999997,2,0.0,0,Drinking Water,0
W-000037,2024-07-09,11571000.0,11528000.0,1.0037300485773768,436,0.5986238532110092,0.4818702290076336,0.4818702290076336,50.5,49.5,-1.0,8.225806451612902,2,0.0,0,Education,0
W-000038,2024-04-14,6970000.0,6949000.0,1.003022017556483,374,0.5989304812834224,0.7036983738667434,0.7036983738667434,54.2,56.7,2.5,5.58620689655173,3,0.0,0,Roads,1
W-000039,2024-03-29,2427000.0,2214000.0,1.0962059620596205,318,0.5974842767295597,0.4069557362240289,0.4069557362240289,50.3,47.8,-2.5,11.999999999999995,3,0.0,0,Others,0
W-000049,2024-07-22,7862000.0,6959000.0,1.1297600229918092,243,0.5967078189300411,0.6249461129472625,0.6249461129472625,65.5,63.2,-2.299999999999997,14.0,4,0.0,0,Education,0
W-000050,2024-09-15,4695000.0,4711000.0,0.9966036934833369,428,0.5981308411214953,0.403523668011038,0.403523668011038,45.4,43.8,-1.6000000000000014,5.225806451612901,1,0.0,0,Roads,0
W-000051,2024-06-16,7129000.0,7049000.0,1.0113491275358206,313,0.597444089456869,0.547595403603348,0.547595403603348,69.9,75.6,5.699999999999989,10.5483870967742,2,0.0,0,Roads,0
W-000052,2024-07-20,8675000.0,7695000.0,1.1273554256010396,205,0.6,0.41975308641975306,0.41975308641975306,52.8,56.5,3.700000000000003,10.199999999999996,2,0.0,0,Others,0
W-000053,2024-09-25,9542000.0,9546000.0,0.9995809763251624,322,0.5993788819875776,0.43107060548921017,0.43107060548921017,43.6,61.7,18.1,8.61290322580645,2,0.0,0,Community Infrastructure,0
W-000054,2024-12-17,9118000.0,8824000.0,1.0333182230281053,453,0.5982339955849889,0.40933816863100636,0.40933816863100636,59.1,64.9,5.800000000000004,5.700000000000003,3,0.0,0,Health,0
W-000055,2024-10-27,1816000.0,1711000.0,1.0613676212741088,341,0.5982404692082112,0.5791934541203975,0.5791934541203975,47.7,50.7,3.0,7.300000000000004,1,0.0,0,Drinking Water,0
W-000056,2024-08-28,8826000.0,8932000.0,0.9881325570980743,176,0.5965909090909091,0.44256605463502013,0.44256605463502013,51.0,66.7,15.700000000000003,9.967741935483868,1,0.0,0,Education,1
W-000057,2024-09-12,1505000.0,1501000.0,1.0026648900732844,360,0.6,0.475016655562958,0.475016655562958,42.7,48.9,6.199999999999996,8.516129032258068,2,0.0,0,Roads,0
W-000058,2024-08-24,5530000.0,5095000.0,1.085377821393523,273,0.5970695970695971,0.40628066732090284,0.40628066732090284,45.8,51.2,5.400000000000006,8.70967741935484,2,0.0,0,Others,0
W-000059,2024-10-20,10860000.0,9740000.0,1.1149897330595482,214,0.5981308411214953,0.4903490759753593,0.4903490759753593,55.3,43.6,-11.699999999999996,10.699999999999996,3,0.0,0,Community Infrastructure,0
W-000069,2025-02-21,6661000.0,6748000.0,0.9871072910491998,204,0.5980392156862745,0.38411381149970364,0.38411381149970364,56.6,52.0,-4.600000000000001,13.064516129032258,3,0.0,0,Education,0
W-000070,2025-01-05,2547000.0,2333000.0,1.0917273896270896,169,0.5976331360946746,0.6180882983283326,0.6180882983283326,49.1,61.6,12.5,7.6000000000000005,1,0.0,0,Roads,0
W-000071,2025-04-11,2278000.0,2180000.0,1.044954128440367,311,0.5980707395498392,0.2,0.2,39.7,46.3,6.599999999999994,7.3928571428571495,1,0.0,0,Others,0
W-000072,2024-12-03,5953000.0,5541000.0,1.074354809601155,166,0.5963855421686747,0.3131203753835048,0.3131203753835048,37.1,26.0,-11.100000000000001,10.354838709677422,1,0.0,0,Community Infrastructure,0
W-000073,2025-03-05,7861000.0,7531000.0,1.0438188819545877,294,0.5986394557823129,0.37431947948479616,0.37431947948479616,46.4,45.1,-1.2999999999999972,4.741935483870966,2,0.0,0,Health,0
W-000074,2025-01-11,3238000.0,2852000.0,1.1353436185133239,176,0.5965909090909091,0.5392706872370266,0.5392706872370266,49.9,46.6,-3.299999999999997,12.399999999999999,3,0.0,0,Drinking Water,0
W-000075,2025-05-02,5047000.0,4924000.0,1.0249796913078797,387,0.599483204134367,0.5217303005686433,0.5217303005686433,51.1,47.7,-3.3999999999999986,11.032258064516128,1,1.0,0,Education,0
W-000076,2025-05-15,7927000.0,7909000.0,1.0022758882286003,310,0.6,0.3513718548489063,0.3513718548489063,53.7,63.3,9.599999999999994,7.200000000000003,1,0.0,0,Roads,1
W-000077,2025-06-13,1615000.0,1575000.0,1.0253968253968253,354,0.5988700564971752,0.5853968253968254,0.5853968253968254,51.1,33.6,-17.5,10.0,2,0.0,0,Others,0
W-000078,2025-07-23,6349000.0,5909000.0,1.074462684041293,348,0.5977011494252874,0.37739042139109835,0.37739042139109835,50.8,61.7,10.900000000000006,12.0,2,0.0,0,Community Infrastructure,0
W-000079,2025-10-22,11771000.0,10874000.0,1.0824903439396727,433,0.5981524249422633,0.7305499356262645,0.7305499356262645,58.7,75.8,17.099999999999994,4.600000000000001,4,1.0,0,Health,1
W-000089,2026-02-17,2375000.0,2112000.0,1.1245265151515151,415,0.6,0.6136363636363636,0.6136363636363636,60.4,69.4,9.000000000000007,5.806451612903226,3,0.0,0,Roads,1
W-000090,2025-09-09,4486000.0,4067000.0,1.1030243422670274,299,0.5986622073578596,0.5485615933120236,0.5485615933120236,40.6,40.6,0.0,8.225806451612902,1,0.0,0,Others,0
W-000091,2025-08-22,3328000.0,3037000.0,1.0958182416858742,263,0.596958174904943,0.6292393809680605,0.6292393809680605,59.5,63.5,4.0,4.645161290322577,2,0.0,0,Community Infrastructure,0
W-000092,2025-06-25,8097000.0,8385000.0,0.9656529516994633,160,0.6,0.2512820512820513,0.2512820512820513,45.7,51.7,6.0,12.967741935483875,1,0.0,0,Health,1
W-000093,2025-12-18,6952000.0,6846000.0,1.0154834940111013,467,0.5995717344753747,0.6272275781478236,0.6272275781478236,54.0,55.3,1.2999999999999972,2.5,3,0.0,0,Drinking Water,0
W-000094,2025-12-19,8508000.0,7969000.0,1.0676370937382356,320,0.6,0.4233906387250596,0.4233906387250596,46.9,34.2,-12.699999999999996,6.600000000000001,2,0.0,0,Education,1
W-000095,2025-12-02,9162000.0,9137000.0,1.0027361278318923,348,0.5977011494252874,0.7108460107256211,0.7108460107256211,69.7,63.6,-6.100000000000001,14.612903225806452,1,0.0,0,Roads,1
W-000096,2025-11-03,7861000.0,8219000.0,0.9564423895851076,181,0.5966850828729282,0.46283002798393963,0.46283002798393963,42.6,46.9,4.299999999999997,12.600000000000001,1,0.0,0,Others,1
W-000097,2026-03-05,10245000.0,10910000.0,0.9390467461044913,410,0.6,0.4419798350137489,0.4419798350137489,56.6,38.7,-17.9,7.838709677419357,2,0.0,0,Community Infrastructure,0
W-000098,2026-01-05,9273000.0,8443000.0,1.0983062892336848,330,0.6,0.34833589956176714,0.34833589956176714,43.0,37.3,-5.700000000000003,5.299999999999997,2,0.0,0,Health,0
W-000099,2026-04-27,2119000.0,1905000.0,1.1123359580052494,382,0.599476439790576,0.726509186351706,0.726509186351706,67.7,64.9,-2.799999999999997,8.806451612903226,4,0.0,0,Drinking Water,1
W-000101,2026-03-15,5398000.0,5727000.0,0.9425528199755544,326,0.598159509202454,0.7082242011524358,0.7082242011524358,54.4,56.3,1.8999999999999986,4.285714285714286,2,0.0,0,Roads,0
W-000109,2023-04-12,1948000.0,1994000.0,0.9769307923771314,201,0.5970149253731343,0.4498495486459378,0.4498495486459378,40.1,43.0,2.8999999999999986,2.892857142857146,3,0.0,0,Others,0
W-000110,2023-05-08,7747000.0,7856000.0,0.9861252545824847,374,0.5989304812834224,0.39154786150712834,0.39154786150712834,56.2,46.1,-10.100000000000001,9.387096774193552,1,0.0,0,Community Infrastructure,0
W-000111,2023-03-16,8143000.0,8586000.0,0.9484043792219893,193,0.5958549222797928,0.5093174935942232,0.5093174935942232,64.1,50.3,-13.799999999999997,14.464285714285706,2,0.0,0,Health,0
W-000112,2023-04-07,6538000.0,6523000.0,1.0022995554192855,245,0.6,0.6141346006438755,0.6141346006438755,46.4,48.9,2.5,6.7499999999999964,2,0.0,0,Drinking Water,0
W-000113,2023-07-27,3764000.0,3977000.0,0.946442041740005,402,0.599502487562189,0.6002011566507418,0.6002011566507418,56.1,68.4,12.300000000000004,11.899999999999999,3,0.0,0,Education,0
W-000114,2023-06-01,11086000.0,11457000.0,0.9676180501003753,292,0.5993150684931506,0.4000174565767653,0.4000174565767653,48.4,48.5,0.10000000000000142,-0.7000000000000028,3,0.0,0,Roads,0
W-000115,2023-04-04,9117000.0,8279000.0,1.1012199541007368,242,0.5991735537190083,0.6973064379756009,0.6973064379756009,43.0,58.4,15.399999999999999,11.25,1,0.0,0,Others,1
W-000116,2023-04-01,9091000.0,8606000.0,1.0563560306762723,114,0.5964912280701754,0.42656286311875435,0.42656286311875435,47.1,48.4,1.2999999999999972,24.857142857142858,1,0.0,0,Community Infrastructure,1
W-000117,2023-06-16,9005000.0,8939000.0,1.0073833762165791,325,0.6,0.515829511130999,0.515829511130999,51.3,46.2,-5.099999999999994,8.80645161290322,2,0.0,0,Health,0
W-000118,2023-09-18,4119000.0,4028000.0,1.022591857000993,473,0.5983086680761099,0.5248262164846077,0.5248262164846077,51.3,53.6,2.3000000000000043,4.645161290322577,3,0.0,0,Drinking Water,0
W-000119,2023-10-11,1677000.0,1767000.0,0.9490662139219015,367,0.5994550408719346,0.40690435766836447,0.40690435766836447,39.8,41.5,1.7000000000000028,3.677419354838707,3,0.0,0,Drinking Water,0
W-000129,2023-07-04,10618000.0,11049000.0,0.9609919449723957,136,0.5955882352941176,0.08525658430627206,0.08525658430627206,29.0,22.5,-6.5,9.967741935483872,1,0.0,0,Community Infrastructure,0
W-000130,2023-09-05,5279000.0,4669000.0,1.130648961233669,145,0.6,0.0,0.0,39.1,41.5,2.3999999999999986,14.903225806451614,0,0.0,0,Health,0
W-000131,2024-02-03,1337000.0,1353000.0,0.9881744271988174,459,0.599128540305011,0.38728750923872873,0.38728750923872873,44.8,38.3,-6.5,5.806451612903226,1,0.0,1,Drinking Water,0
W-000132,2023-09-15,991000.0,1057000.0,0.9375591296121097,175,0.6,0.4011352885525071,0.4011352885525071,47.7,59.7,12.0,10.064516129032263,1,0.0,0,Education,1
W-000133,2023-10-13,5784000.0,6112000.0,0.9463350785340314,130,0.5769230769230769,0.5497382198952879,0.5497382198952879,56.1,43.4,-12.700000000000003,14.225806451612906,3,0.0,0,Roads,0
W-000134,2024-01-20,3391000.0,3159000.0,1.0734409623298513,355,0.6,0.5001582779360557,0.5001582779360557,45.4,40.7,-4.699999999999996,8.51612903225806,3,0.0,0,Others,1
W-000135,2023-12-13,10991000.0,10148000.0,1.0830705557745368,333,0.5975975975975976,0.5257193535672053,0.5257193535672053,57.9,67.0,9.100000000000001,7.161290322580643,1,0.0,0,Community Infrastructure,1
W-000136,2024-01-10,1375000.0,1375000.0,1.0,243,0.5967078189300411,0.33454545454545453,0.33454545454545453,35.1,36.6,1.5,2.8999999999999986,1,0.0,0,Community Infrastructure,0
W-000137,2024-01-14,8370000.0,7557000.0,1.1075823739579198,292,0.5993150684931506,0.27524149794892155,0.27524149794892155,48.2,38.6,-9.600000000000001,10.400000000000006,2,0.0,0,Health,0
W-000138,2024-02-16,10328000.0,9832000.0,1.0504475183075672,322,0.5993788819875776,0.7364727420667209,0.7364727420667209,67.1,70.5,3.4000000000000057,9.387096774193544,3,0.0,0,Drinking Water,1
W-000139,2024-05-24,10530000.0,9275000.0,1.135309973045822,427,0.5995316159250585,0.5553638814016173,0.5553638814016173,57.9,56.3,-1.6000000000000014,-1.1000000000000014,3,0.0,0,Education,1
W-000149,2024-10-23,2338000.0,2248000.0,1.040035587188612,478,0.5983263598326359,0.6459074733096085,0.6459074733096085,72.7,79.5,6.799999999999997,7.299999999999997,4,0.0,0,Health,0
W-000150,2024-05-06,9306000.0,8996000.0,1.0344597598932859,241,0.5975103734439834,0.46542907959092933,0.46542907959092933,40.3,53.7,13.400000000000006,3.9677419354838652,1,0.0,0,Drinking Water,0
W-000151,2024-09-10,4962000.0,5149000.0,0.9636822684016314,389,0.5989717223650386,0.6133229753350166,0.6133229753350166,53.9,61.2,7.300000000000004,9.967741935483868,2,0.0,0,Education,0
W-000152,2024-07-30,11844000.0,12635000.0,0.9373961218836565,301,0.5980066445182725,0.6061733280569845,0.6061733280569845,50.7,44.0,-6.700000000000003,12.400000000000006,2,0.0,0,Roads,1
W-000153,2024-06-21,6319000.0,5794000.0,1.0906109768726269,183,0.5956284153005464,0.40973420780117364,0.40973420780117364,39.5,22.4,-17.1,9.58064516129032,2,0.0,0,Roads,0
W-000154,2024-09-12,3387000.0,3604000.0,0.9397891231964484,298,0.5973154362416108,0.5660377358490566,0.5660377358490566,52.3,50.3,-2.0,8.70967741935484,3,0.0,0,Others,1
W-000155,2024-09-04,7936000.0,7883000.0,1.006723328681974,276,0.5978260869565217,0.4894075859444374,0.4894075859444374,57.0,66.8,9.799999999999997,6.677419354838708,1,0.0,0,Community Infrastructure,0
W-000156,2024-09-21,11032000.0,10615000.0,1.039284032030146,350,0.6,0.6263777673104098,0.6263777673104098,62.9,52.1,-10.799999999999997,8.999999999999998,2,0.0,0,Health,0
W-000157,2024-06-30,3385000.0,3374000.0,1.0032602252519265,182,0.5989010989010989,0.4199762892708951,0.4199762892708951,32.1,27.9,-4.200000000000003,7.354838709677421,1,0.0,0,Drinking Water,1
W-000158,2024-10-19,3507000.0,3524000.0,0.9951759364358683,354,0.5988700564971752,0.547105561861521,0.547105561861521,66.8,66.1,-0.7000000000000028,8.399999999999999,3,1.0,0,Education,0
W-000159,2025-01-13,8013000.0,8292000.0,0.9663531114327062,434,0.5990783410138248,0.6407380607814761,0.6407380607814761,57.1,53.3,-3.8000000000000043,7.8999999999999995,3,0.0,0,Roads,1
W-000169,2025-03-14,5707000.0,6070000.0,0.9401976935749589,346,0.5982658959537572,0.45733113673805603,0.45733113673805603,48.7,47.2,-1.5,6.000000000000003,3,0.0,0,Drinking Water,0
W-000170,2025-03-18,1779000.0,1594000.0,1.1160602258469259,348,0.5977011494252874,0.4987452948557089,0.4987452948557089,61.4,54.4,-7.0,9.96428571428571,1,0.0,0,Drinking Water,0
W-000171,2024-12-09,9618000.0,9628000.0,0.9989613626921479,134,0.5970149253731343,0.5144370585791441,0.5144370585791441,43.7,55.4,11.699999999999996,15.193548387096778,1,0.0,0,Education,1
W-000172,2024-12-26,7581000.0,7108000.0,1.0665447383230162,164,0.5975609756097561,0.7636465953854812,0.7636465953854812,66.3,66.6,0.29999999999999716,17.299999999999997,3,0.0,0,Roads,0
W-000173,2024-12-31,11571000.0,10386000.0,1.1140958983246678,193,0.5958549222797928,0.21740804929713076,0.21740804929713076,33.4,41.3,7.899999999999999,12.899999999999999,1,0.0,0,Others,0
W-000174,2025-05-27,7343000.0,6661000.0,1.1023870289746285,411,0.5985401459854015,0.4895661312115298,0.4895661312115298,48.4,57.3,8.899999999999999,4.699999999999996,3,0.0,0,Community Infrastructure,0
W-000175,2025-02-07,1642000.0,1663000.0,0.9873722188815394,139,0.5971223021582733,0.0,0.0,29.8,22.3,-7.5,8.419354838709678,0,1.0,0,Health,1
W-000176,2025-06-16,4245000.0,4180000.0,1.0155502392344498,447,0.5995525727069351,0.6251196172248804,0.6251196172248804,59.2,59.5,0.29999999999999716,0.967741935483871,2,0.0,0,Drinking Water,0
W-000177,2025-07-19,5406000.0,5707000.0,0.9472577536358857,365,0.6,0.47012440862099175,0.47012440862099175,54.8,47.8,-7.0,7.5,2,0.0,0,Education,0
W-000178,2025-08-12,10765000.0,10885000.0,0.9889756545705098,451,0.5986696230598669,0.4701883325677538,0.4701883325677538,60.9,59.3,-1.6000000000000014,6.799999999999997,3,0.0,0,Roads,0
W-000179,2025-04-01,5829000.0,5403000.0,1.078845086063298,257,0.5992217898832685,0.6113270405330372,0.6113270405330372,55.1,60.2,5.100000000000001,5.249999999999999,3,1.0,0,Others,0
W-000189,2025-09-01,2278000.0,2325000.0,0.9797849462365591,305,0.6,0.687741935483871,0.687741935483871,41.8,43.7,1.9000000000000057,1.4516129032258065,3,0.0,0,Drinking Water,1
W-000190,2026-01-05,1836000.0,1831000.0,1.0027307482250136,469,0.5991471215351812,0.547788093937739,0.547788093937739,55.4,69.8,14.399999999999999,5.5,1,0.0,0,Education,0
W-000191,2025-10-01,5063000.0,5364000.0,0.9438851603281133,330,0.6,0.5160328113348247,0.5160328113348247,42.1,50.9,8.799999999999997,8.41935483870968,1,0.0,0,Roads,1
W-000192,2025-07-14,6735000.0,5981000.0,1.1260658752716937,169,0.5976331360946746,0.42818926600902857,0.42818926600902857,38.3,39.9,1.6000000000000014,15.58064516129032,2,0.0,0,Others,0
W-000193,2026-01-12,10065000.0,9480000.0,1.0617088607594938,428,0.5981308411214953,0.5135021097046414,0.5135021097046414,54.1,66.6,12.499999999999993,8.5,3,0.0,0,Community Infrastructure,0
W-000194,2025-09-25,2561000.0,2326000.0,1.1010318142734308,195,0.6,0.25365434221840066,0.25365434221840066,48.1,50.1,2.0,8.41935483870968,2,0.0,0,Health,0
W-000195,2025-07-29,10687000.0,9840000.0,1.0860772357723578,130,0.6,0.620630081300813,0.620630081300813,42.2,34.3,-7.900000000000006,16.400000000000002,1,0.0,0,Drinking Water,0
W-000196,2025-09-01,3500000.0,3296000.0,1.0618932038834952,162,0.5987654320987654,0.439623786407767,0.439623786407767,38.8,38.8,0.0,12.193548387096772,1,0.0,0,Education,1
W-000197,2025-10-26,11270000.0,10646000.0,1.0586135637798235,199,0.5979899497487438,0.5252677061807252,0.5252677061807252,64.6,65.7,1.1000000000000085,16.299999999999997,2,0.0,0,Roads,0
W-000198,2026-02-18,7251000.0,7241000.0,1.0013810247203425,429,0.5990675990675991,0.5609722414031211,0.5609722414031211,59.8,69.5,9.700000000000003,3.29032258064516,3,0.0,0,Others,0
W-000199,2025-12-11,4221000.0,3861000.0,1.0932400932400932,306,0.5980392156862745,0.7972027972027972,0.7972027972027972,52.5,49.3,-3.200000000000003,6.000000000000003,4,0.0,0,Community Infrastructure,1
W-000209,2023-02-26,7596000.0,7049000.0,1.0775996595261739,292,0.5993150684931506,0.39991488154348137,0.39991488154348137,45.6,46.2,0.6000000000000014,7.161290322580643,3,0.0,0,Education,0
W-000210,2023-05-02,5425000.0,5108000.0,1.062059514487079,462,0.5995670995670995,0.44675019577133906,0.44675019577133906,53.9,60.5,6.600000000000001,5.9999999999999964,1,0.0,0,Roads,0
W-000211,2023-05-04,3932000.0,4130000.0,0.9520581113801453,396,0.5984848484848485,0.8687651331719128,0.8687651331719128,58.2,57.7,-0.5,4.741935483870973,2,0.0,0,Others,1
W-000212,2023-02-19,1950000.0,1855000.0,1.0512129380053907,175,0.6,0.7126684636118599,0.7126684636118599,68.2,68.9,0.7000000000000028,16.161290322580648,3,0.0,0,Community Infrastructure,0
W-000213,2023-02-22,7141000.0,7595000.0,0.9402238314680711,167,0.5988023952095808,0.4783410138248848,0.4783410138248848,53.9,71.1,17.199999999999996,15.483870967741936,3,0.0,0,Health,0
W-000214,2023-05-30,1986000.0,1835000.0,1.0822888283378747,304,0.5986842105263158,0.5961852861035423,0.5961852861035423,48.4,46.9,-1.5,3.8999999999999986,3,0.0,0,Drinking Water,1
W-000215,2023-04-21,7861000.0,7212000.0,1.0899889073765945,270,0.6,0.43829728230726567,0.43829728230726567,46.4,47.4,1.0,5.419354838709679,1,0.0,0,Education,0
W-000216,2023-07-10,2458000.0,2403000.0,1.0228880565959217,353,0.5977337110481586,0.6158967956720766,0.6158967956720766,48.5,43.0,-5.5,8.322580645161292,2,0.0,0,Roads,0
W-000217,2023-05-05,11636000.0,12122000.0,0.9599076060056096,324,0.5987654320987654,0.40364626299290546,0.40364626299290546,47.9,53.2,5.300000000000004,5.322580645161291,2,1.0,0,Others,0
W-000218,2023-10-14,619000.0,604000.0,1.0248344370860927,458,0.5982532751091703,0.6655629139072847,0.6655629139072847,50.1,43.1,-7.0,4.645161290322585,3,0.0,0,Community Infrastructure,1
W-000219,2023-07-26,5179000.0,5145000.0,1.0066083576287659,414,0.5990338164251208,0.6689990281827016,0.6689990281827016,59.4,65.1,5.699999999999996,7.699999999999997,4,0.0,0,Health,0
W-000229,2023-11-22,6799000.0,6601000.0,1.0299954552340556,290,0.6,0.41024087259506137,0.41024087259506137,53.1,45.7,-7.399999999999999,6.483870967741938,3,0.0,0,Roads,0
W-000230,2023-08-01,6183000.0,6066000.0,1.0192878338278932,127,0.5984251968503937,0.45515990768216286,0.45515990768216286,60.6,63.3,2.6999999999999957,21.4,1,0.0,0,Others,0
W-000231,2023-10-31,7226000.0,6503000.0,1.1111794556358603,326,0.598159509202454,0.3701368599108104,0.3701368599108104,51.9,61.2,9.300000000000004,12.799999999999997,1,0.0,0,Community Infrastructure,0
W-000232,2023-12-01,5946000.0,6256000.0,0.9504475703324808,263,0.596958174904943,0.3900255754475703,0.3900255754475703,43.1,51.3,8.199999999999996,7.741935483870968,2,0.0,0,Health,0
W-000233,2023-11-18,1305000.0,1192000.0,1.0947986577181208,310,0.6,0.5721476510067114,0.5721476510067114,57.7,68.9,11.200000000000003,12.096774193548386,3,1.0,0,Drinking Water,1
W-000234,2023-07-07,9333000.0,8281000.0,1.1270377973674677,173,0.5953757225433526,0.2975486052409129,0.2975486052409129,42.7,50.5,7.799999999999997,13.258064516129034,2,0.0,0,Education,1
W-000235,2024-04-14,4506000.0,4581000.0,0.9836280288146693,403,0.598014888337469,0.2772320454049334,0.2772320454049334,58.3,70.1,11.799999999999997,8.068965517241377,1,0.0,0,Roads,0
W-000236,2024-02-07,5079000.0,4974000.0,1.0211097708082026,401,0.5985037406483791,0.6885806192199437,0.6885806192199437,52.1,63.6,11.5,6.483870967741938,2,0.0,0,Others,0
W-000237,2023-11-06,11558000.0,11136000.0,1.0378951149425288,112,0.5982142857142857,0.8279454022988506,0.8279454022988506,60.8,49.2,-11.599999999999994,22.0,3,0.0,0,Community Infrastructure,1
W-000238,2024-02-04,7618000.0,8085000.0,0.9422387136672851,284,0.5985915492957746,0.5601731601731602,0.5601731601731602,66.2,65.3,-0.9000000000000057,10.064516129032263,3,1.0,0,Community Infrastructure,0
W-000239,2023-12-08,2923000.0,2586000.0,1.1303170920340293,238,0.5966386554621849,0.7215777262180975,0.7215777262180975,58.3,54.0,-4.299999999999997,5.419354838709672,4,0.0,0,Health,0
W-000249,2024-04-25,5506000.0,5442000.0,1.011760382212422,267,0.599250936329588,0.7065417126056597,0.7065417126056597,64.8,71.2,6.400000000000006,6.774193548387097,4,0.0,0,Others,0
W-000250,2024-04-28,2077000.0,2002000.0,1.0374625374625375,163,0.5950920245398773,0.0,0.0,40.2,39.9,-0.30000000000000426,8.709677419354843,0,0.0,0,Community Infrastructure,0
W-000251,2024-07-22,8669000.0,8533000.0,1.0159381225829134,337,0.599406528189911,0.8442517285831478,0.8442517285831478,62.2,80.1,17.89999999999999,7.300000000000004,2,0.0,0,Health,1
W-000252,2024-07-17,9143000.0,8140000.0,1.1232186732186733,381,0.5984251968503937,0.4113022113022113,0.4113022113022113,54.1,55.2,1.1000000000000014,7.8999999999999995,2,0.0,0,Drinking Water,0
W-000253,2024-04-24,8251000.0,8339000.0,0.9894471759203741,134,0.5970149253731343,0.49466362873246195,0.49466362873246195,37.5,31.8,-5.699999999999999,10.935483870967744,2,0.0,0,Education,0
