work_id,lifecycle_stage,review_priority_score_0_100,review_priority_band,requires_review,geo_warning_contribution_points,policy_version
W-000026,EXECUTION,12.998049,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000027,EXECUTION,32.931822,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000028,EXECUTION,13.479869,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000029,COMPLETION,61.350835,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000030,COMPLETION,3.831012,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000031,COMPLETION,18.59635,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000032,COMPLETION,76.831746,CRITICAL,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000033,COMPLETION,54.074749,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000034,COMPLETION,4.933853,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000035,COMPLETION,5.762966,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000036,COMPLETION,4.717629,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000037,COMPLETION,4.357477,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000038,COMPLETION,56.860339,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000039,COMPLETION,4.278755,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000040,PRE_SANCTION,7.710843,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000041,PRE_SANCTION,12.409639,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000042,EXECUTION,16.878492,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000043,EXECUTION,24.505582,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000044,EXECUTION,19.450607,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000045,EXECUTION,21.599506,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000046,EXECUTION,16.348226,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000047,EXECUTION,64.827479,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000048,EXECUTION,30.878887,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000049,COMPLETION,4.530875,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000050,COMPLETION,6.09086,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000051,COMPLETION,6.85083,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000052,COMPLETION,6.316998,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000053,COMPLETION,8.730929,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000054,COMPLETION,3.953178,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000055,COMPLETION,7.091475,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000056,COMPLETION,59.661454,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000057,COMPLETION,4.317193,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000058,COMPLETION,5.428922,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000059,COMPLETION,4.740888,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000060,PRE_SANCTION,8.253012,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000061,PRE_SANCTION,16.927711,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000062,EXECUTION,11.269083,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000063,EXECUTION,22.340442,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000064,EXECUTION,13.737472,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000065,EXECUTION,10.019519,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000066,EXECUTION,12.541855,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000067,EXECUTION,21.83929,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000068,EXECUTION,33.182065,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000069,COMPLETION,22.283756,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000070,COMPLETION,4.618678,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000071,COMPLETION,6.069531,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000072,COMPLETION,6.380169,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000073,COMPLETION,6.201364,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000074,COMPLETION,6.605703,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000075,COMPLETION,10.063904,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000076,COMPLETION,52.461585,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000077,COMPLETION,7.611862,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000078,COMPLETION,9.184617,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000079,COMPLETION,57.577815,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000080,PRE_SANCTION,10.120482,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000081,PRE_SANCTION,18.253012,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000082,EXECUTION,30.765524,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000083,EXECUTION,45.208974,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000084,EXECUTION,24.863926,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000085,EXECUTION,23.712815,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000086,EXECUTION,10.807958,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000087,EXECUTION,9.67909,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000088,EXECUTION,34.512902,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000089,COMPLETION,52.860711,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000090,COMPLETION,18.563996,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000091,COMPLETION,5.195787,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000092,COMPLETION,50.817596,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000093,COMPLETION,7.314863,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000094,COMPLETION,54.323955,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000095,COMPLETION,53.862188,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000096,COMPLETION,55.24107,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000097,COMPLETION,9.143772,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000098,COMPLETION,5.744103,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000099,COMPLETION,57.144109,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000100,PRE_SANCTION,9.277108,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000101,COMPLETION,5.737564,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000102,EXECUTION,44.589793,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000103,EXECUTION,31.762441,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000104,EXECUTION,23.757779,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000105,EXECUTION,27.143182,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000106,EXECUTION,37.345433,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000107,EXECUTION,30.258139,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000108,EXECUTION,4.692883,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000109,COMPLETION,7.240029,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000110,COMPLETION,1.575563,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000111,COMPLETION,23.371197,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000112,COMPLETION,6.128492,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000113,COMPLETION,5.630035,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000114,COMPLETION,3.530246,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000115,COMPLETION,57.480242,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000116,COMPLETION,55.005071,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000117,COMPLETION,4.129441,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000118,COMPLETION,3.655583,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000119,COMPLETION,9.382129,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000120,PRE_SANCTION,20.060241,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000121,PRE_SANCTION,24.156627,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000122,EXECUTION,35.280142,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000123,EXECUTION,29.462186,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000124,EXECUTION,17.30855,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000125,EXECUTION,10.411576,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000126,EXECUTION,20.028356,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000127,EXECUTION,29.721386,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000128,EXECUTION,22.956287,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000129,COMPLETION,19.505088,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000130,COMPLETION,7.21921,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000131,COMPLETION,12.696077,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000132,COMPLETION,55.173475,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000133,COMPLETION,7.015947,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000134,COMPLETION,52.285637,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000135,COMPLETION,57.805119,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000136,COMPLETION,3.911115,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000137,COMPLETION,2.652975,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000138,COMPLETION,58.90529,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000139,COMPLETION,68.061441,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000140,PRE_SANCTION,1.024096,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000141,PRE_SANCTION,23.855422,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000142,EXECUTION,17.429122,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000143,EXECUTION,16.50882,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000144,EXECUTION,25.205195,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000145,EXECUTION,37.609987,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000146,EXECUTION,26.081757,MEDIUM,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000147,EXECUTION,27.68624,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000148,EXECUTION,11.677878,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000149,COMPLETION,2.694148,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000150,COMPLETION,3.011384,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000151,COMPLETION,4.784305,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000152,COMPLETION,71.136441,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000153,COMPLETION,3.769007,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000154,COMPLETION,61.432338,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000155,COMPLETION,3.296629,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000156,COMPLETION,10.894691,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000157,COMPLETION,51.788457,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000158,COMPLETION,9.154597,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000159,COMPLETION,57.101543,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000160,PRE_SANCTION,5.843373,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000161,PRE_SANCTION,16.686747,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000162,EXECUTION,13.09627,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000163,EXECUTION,11.767374,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000164,EXECUTION,14.503619,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000165,EXECUTION,25.245128,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000166,EXECUTION,19.515882,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000167,EXECUTION,8.360447,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000168,EXECUTION,26.312586,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000169,COMPLETION,4.089781,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000170,COMPLETION,9.246004,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000171,COMPLETION,57.858459,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000172,COMPLETION,4.889958,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000173,COMPLETION,23.492808,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000174,COMPLETION,5.88776,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000175,COMPLETION,58.288874,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000176,COMPLETION,2.425745,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000177,COMPLETION,2.574917,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000178,COMPLETION,6.996876,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000179,COMPLETION,6.388464,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000180,PRE_SANCTION,6.506024,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000181,PRE_SANCTION,10.421687,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000182,EXECUTION,12.324724,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000183,EXECUTION,16.85286,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000184,EXECUTION,25.822842,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000185,EXECUTION,11.101329,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000186,EXECUTION,30.444266,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000187,EXECUTION,11.255021,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000188,EXECUTION,49.068607,MEDIUM,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000189,COMPLETION,55.085343,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000190,COMPLETION,10.15546,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000191,COMPLETION,51.200833,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000192,COMPLETION,16.522978,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000193,COMPLETION,0.799823,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000194,COMPLETION,4.525601,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000195,COMPLETION,3.596033,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000196,COMPLETION,70.689616,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000197,COMPLETION,2.681105,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000198,COMPLETION,2.566683,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000199,COMPLETION,54.834297,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000200,PRE_SANCTION,10.662651,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000201,PRE_SANCTION,16.325301,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000202,EXECUTION,26.848314,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000203,EXECUTION,15.02104,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000204,EXECUTION,11.247536,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000205,EXECUTION,14.024629,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000206,EXECUTION,34.062775,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000207,EXECUTION,6.296397,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000208,EXECUTION,24.329789,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000209,COMPLETION,3.373963,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000210,COMPLETION,19.524928,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000211,COMPLETION,74.640689,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000212,COMPLETION,21.046962,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000213,COMPLETION,21.161677,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000214,COMPLETION,55.138062,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000215,COMPLETION,3.445233,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000216,COMPLETION,24.751376,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000217,COMPLETION,6.198439,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000218,COMPLETION,57.595042,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000219,COMPLETION,5.225492,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000220,PRE_SANCTION,13.73494,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000221,PRE_SANCTION,13.915663,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000222,EXECUTION,9.74317,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000223,EXECUTION,9.490201,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000224,EXECUTION,12.579499,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000225,EXECUTION,18.520356,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000226,EXECUTION,28.033398,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000227,EXECUTION,14.647988,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000228,EXECUTION,9.826489,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000229,COMPLETION,3.904161,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000230,COMPLETION,7.64381,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000231,COMPLETION,3.062016,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000232,COMPLETION,6.71917,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000233,COMPLETION,74.063284,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000234,COMPLETION,59.997612,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000235,COMPLETION,2.932154,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000236,COMPLETION,22.748788,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000237,COMPLETION,57.165236,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000238,COMPLETION,7.519776,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000239,COMPLETION,3.238033,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000240,PRE_SANCTION,14.578313,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000241,PRE_SANCTION,10.903614,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000242,EXECUTION,27.986989,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000243,EXECUTION,10.677661,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000244,EXECUTION,26.430034,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
