payment_id,work_id,payment_request_date,authorization_date,payment_release_date,payment_amount_inr,payment_stage,invoice_number,cumulative_expenditure_inr,payment_status,authorized_by_agency_id,source_type,synthetic_demo_data
PAY-V2-0000026,W-000009,2023-04-03,2023-04-09,2023-04-13,704000,4,INV-000009-04,4172000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000027,W-000009,2023-05-22,2023-05-28,2023-05-29,1452000,5,INV-000009-05,5624000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000028,W-000009,2023-07-10,2023-07-14,2023-07-17,1137000,6,INV-000009-06,6761000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000029,W-000010,2023-03-27,2023-04-01,2023-04-05,1797000,1,INV-000010-01,1797000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000030,W-000010,2023-08-19,2023-08-21,2023-08-24,1934000,2,INV-000010-02,3731000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000031,W-000011,2022-12-30,2023-01-07,2023-01-12,2204000,1,INV-000011-01,2204000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000032,W-000011,2023-02-27,2023-02-28,2023-03-03,1391000,2,INV-000011-02,3595000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000033,W-000011,2023-04-27,2023-05-01,2023-05-06,2293000,3,INV-000011-03,5888000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000034,W-000012,2023-05-05,2023-05-08,2023-05-10,2000000,1,INV-000012-01,2000000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000035,W-000012,2023-08-20,2023-08-26,2023-08-30,1624000,2,INV-000012-02,3624000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000036,W-000012,2023-12-05,2023-12-09,2023-12-10,1598000,3,INV-000012-03,5222000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000037,W-000012,2024-03-21,2024-03-22,2024-03-23,886000,4,INV-000012-04,6108000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000038,W-000013,2023-04-16,2023-04-17,2023-04-22,1014000,1,INV-000013-01,1014000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000039,W-000013,2023-07-09,2023-07-14,2023-07-15,1023000,2,INV-000013-02,2037000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000040,W-000013,2023-10-01,2023-10-04,2023-10-05,1131000,3,INV-000013-03,3168000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000041,W-000013,2023-12-24,2023-12-30,2024-01-01,951000,4,INV-000013-04,4119000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000042,W-000013,2024-03-17,2024-03-24,2024-03-25,842000,5,INV-000013-05,4961000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000043,W-000014,2023-05-14,2023-05-16,2023-05-19,2041000,1,INV-000014-01,2041000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000044,W-000014,2023-07-27,2023-08-01,2023-08-06,2082000,2,INV-000014-02,4123000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000045,W-000014,2023-10-09,2023-10-10,2023-10-11,2486000,3,INV-000014-03,6609000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000046,W-000014,2023-12-22,2023-12-23,2023-12-26,2646000,4,INV-000014-04,9255000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000047,W-000014,2024-03-05,2024-03-11,2024-03-13,1295000,5,INV-000014-05,10550000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000048,W-000014,2024-05-18,2024-05-26,2024-05-27,3000000,6,INV-000014-06,13550000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000049,W-000015,2023-06-15,2023-06-23,2023-06-28,2087000,1,INV-000015-01,2087000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000050,W-000015,2023-12-13,2023-12-21,2023-12-22,2149000,2,INV-000015-02,4236000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000051,W-000016,2023-03-30,2023-04-01,2023-04-04,297000,1,INV-000016-01,297000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000052,W-000016,2023-05-16,2023-05-18,2023-05-22,197000,2,INV-000016-02,494000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000053,W-000016,2023-07-02,2023-07-10,2023-07-13,187000,3,INV-000016-03,681000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000054,W-000017,2023-03-29,2023-04-04,2023-04-05,2593000,1,INV-000017-01,2593000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000055,W-000017,2023-05-27,2023-05-30,2023-06-02,2701000,2,INV-000017-02,5294000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000056,W-000017,2023-07-25,2023-07-27,2023-07-30,2214000,3,INV-000017-03,7508000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000057,W-000017,2023-09-22,2023-09-24,2023-09-27,1896000,4,INV-000017-04,9404000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000058,W-000018,2023-06-09,2023-06-15,2023-06-16,1141000,1,INV-000018-01,1141000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000059,W-000018,2023-08-31,2023-09-08,2023-09-10,1165000,2,INV-000018-02,2306000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000060,W-000018,2023-11-22,2023-11-28,2023-12-03,1879000,3,INV-000018-03,4185000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000061,W-000018,2024-02-13,2024-02-20,2024-02-24,3234000,4,INV-000018-04,7419000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000062,W-000018,2024-05-06,2024-05-09,2024-05-13,3252000,5,INV-000018-05,10671000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000063,W-000019,2023-03-19,2023-03-23,2023-03-25,1371000,1,INV-000019-01,1371000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000064,W-000019,2023-05-23,2023-05-27,2023-05-28,1005000,2,INV-000019-02,2376000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000065,W-000019,2023-07-27,2023-08-01,2023-08-05,1607000,3,INV-000019-03,3983000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000066,W-000019,2023-09-30,2023-10-05,2023-10-09,1189000,4,INV-000019-04,5172000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000067,W-000019,2023-12-04,2023-12-12,2023-12-15,1111000,5,INV-000019-05,6283000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000068,W-000019,2024-02-07,2024-02-10,2024-02-15,1274000,6,INV-000019-06,7557000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000069,W-000022,2024-01-22,2024-01-23,2024-01-26,2260000,1,INV-000022-01,2260000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000070,W-000022,2024-12-05,2024-12-06,2024-12-08,1580000,2,INV-000022-02,3840000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000071,W-000022,2025-10-19,2025-10-21,2025-10-24,2379000,3,INV-000022-03,6219000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000072,W-000023,2023-12-15,2023-12-19,2023-12-23,3994000,1,INV-000023-01,3994000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000073,W-000023,2024-08-19,2024-08-23,2024-08-25,2632000,2,INV-000023-02,6626000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000074,W-000023,2025-04-24,2025-04-29,2025-05-04,2935000,3,INV-000023-03,9561000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000075,W-000023,2025-12-28,2026-01-05,2026-01-07,4324000,4,INV-000023-04,13885000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000076,W-000024,2024-06-08,2024-06-15,2024-06-18,1819000,1,INV-000024-01,1819000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000077,W-000024,2025-07-22,2025-07-29,2025-07-30,2595000,2,INV-000024-02,4414000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000078,W-000025,2024-03-25,2024-04-02,2024-04-05,1287000,1,INV-000025-01,1287000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000079,W-000025,2025-01-16,2025-01-21,2025-01-26,3280000,2,INV-000025-02,4567000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000080,W-000025,2025-11-09,2025-11-10,2025-11-12,2828000,3,INV-000025-03,7395000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000081,W-000026,2024-02-15,2024-02-22,2024-02-25,1141000,1,INV-000026-01,1141000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000082,W-000026,2024-10-05,2024-10-08,2024-10-11,1088000,2,INV-000026-02,2229000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000083,W-000026,2025-05-26,2025-05-30,2025-06-02,1257000,3,INV-000026-03,3486000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000084,W-000026,2026-01-14,2026-01-18,2026-01-20,567000,4,INV-000026-04,4053000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000085,W-000027,2024-07-22,2024-07-24,2024-07-29,366000,1,INV-000027-01,366000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000086,W-000027,2025-08-13,2025-08-18,2025-08-21,479000,2,INV-000027-02,845000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000087,W-000028,2024-02-28,2024-02-29,2024-03-03,1602000,1,INV-000028-01,1602000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000088,W-000028,2024-12-30,2024-12-31,2025-01-04,820000,2,INV-000028-02,2422000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000089,W-000028,2025-11-01,2025-11-04,2025-11-07,1849000,3,INV-000028-03,4271000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000090,W-000029,2023-08-08,2023-08-10,2023-08-14,760000,1,INV-000029-01,760000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000091,W-000029,2023-10-18,2023-10-20,2023-10-25,1079000,2,INV-000029-02,1839000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000092,W-000029,2023-12-28,2023-12-30,2023-12-31,2120000,3,INV-000029-03,3959000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000093,W-000029,2024-03-08,2024-03-12,2024-03-17,1038000,4,INV-000029-04,4997000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000094,W-000029,2024-05-18,2024-05-22,2024-05-26,870000,5,INV-000029-05,5867000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000095,W-000029,2024-07-28,2024-08-01,2024-08-02,789000,6,INV-000029-06,6656000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000096,W-000030,2023-12-11,2023-12-15,2023-12-18,3677000,1,INV-000030-01,3677000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000097,W-000030,2024-05-30,2024-06-06,2024-06-08,3955000,2,INV-000030-02,7632000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000098,W-000031,2023-11-07,2023-11-14,2023-11-17,3333000,1,INV-000031-01,3333000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000099,W-000031,2024-01-27,2024-02-03,2024-02-06,1873000,2,INV-000031-02,5206000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000100,W-000031,2024-04-17,2024-04-20,2024-04-21,2788000,3,INV-000031-03,7994000,RELEASED,IA-S01-02-01,SYNTHETIC_V2,True
PAY-V2-0000101,W-000032,2023-07-30,2023-07-31,2023-08-02,160000,1,INV-000032-01,160000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000102,W-000032,2023-09-10,2023-09-13,2023-09-17,197000,2,INV-000032-02,357000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000103,W-000032,2023-10-22,2023-10-29,2023-10-31,268000,3,INV-000032-03,625000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000104,W-000032,2023-12-03,2023-12-07,2023-12-08,215000,4,INV-000032-04,840000,RELEASED,IA-S02-02-01,SYNTHETIC_V2,True
PAY-V2-0000105,W-000033,2023-09-14,2023-09-16,2023-09-21,717000,1,INV-000033-01,717000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000106,W-000033,2023-10-23,2023-10-24,2023-10-29,960000,2,INV-000033-02,1677000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000107,W-000033,2023-12-01,2023-12-06,2023-12-11,691000,3,INV-000033-03,2368000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000108,W-000033,2024-01-09,2024-01-17,2024-01-18,615000,4,INV-000033-04,2983000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000109,W-000033,2024-02-17,2024-02-20,2024-02-24,854000,5,INV-000033-05,3837000,RELEASED,IA-S03-02-01,SYNTHETIC_V2,True
PAY-V2-0000110,W-000034,2023-08-11,2023-08-14,2023-08-19,620000,1,INV-000034-01,620000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000111,W-000034,2023-09-16,2023-09-21,2023-09-24,233000,2,INV-000034-02,853000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000112,W-000034,2023-10-22,2023-10-25,2023-10-29,523000,3,INV-000034-03,1376000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000113,W-000034,2023-11-27,2023-11-28,2023-12-01,378000,4,INV-000034-04,1754000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000114,W-000034,2024-01-02,2024-01-09,2024-01-12,483000,5,INV-000034-05,2237000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000115,W-000034,2024-02-07,2024-02-10,2024-02-13,378000,6,INV-000034-06,2615000,RELEASED,IA-S04-02-01,SYNTHETIC_V2,True
PAY-V2-0000116,W-000035,2024-02-08,2024-02-13,2024-02-15,2264000,1,INV-000035-01,2264000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000117,W-000035,2024-08-07,2024-08-15,2024-08-18,1452000,2,INV-000035-02,3716000,RELEASED,IA-S05-02-01,SYNTHETIC_V2,True
PAY-V2-0000118,W-000036,2023-09-25,2023-09-27,2023-10-01,1598000,1,INV-000036-01,1598000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000119,W-000036,2023-11-16,2023-11-17,2023-11-20,1456000,2,INV-000036-02,3054000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000120,W-000036,2024-01-07,2024-01-14,2024-01-19,1651000,3,INV-000036-03,4705000,RELEASED,IA-S06-02-01,SYNTHETIC_V2,True
PAY-V2-0000121,W-000037,2024-02-04,2024-02-06,2024-02-11,3355000,1,INV-000037-01,3355000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000122,W-000037,2024-05-19,2024-05-23,2024-05-28,2200000,2,INV-000037-02,5555000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000123,W-000037,2024-09-01,2024-09-02,2024-09-06,1987000,3,INV-000037-03,7542000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000124,W-000037,2024-12-15,2024-12-22,2024-12-27,3100000,4,INV-000037-04,10642000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000125,W-000038,2023-11-06,2023-11-14,2023-11-18,1507000,1,INV-000038-01,1507000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000126,W-000038,2024-01-09,2024-01-11,2024-01-14,2214000,2,INV-000038-02,3721000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000127,W-000038,2024-03-13,2024-03-17,2024-03-22,1169000,3,INV-000038-03,4890000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000128,W-000038,2024-05-16,2024-05-18,2024-05-22,2181000,4,INV-000038-04,7071000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000129,W-000038,2024-07-19,2024-07-27,2024-08-01,1735000,5,INV-000038-05,8806000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000130,W-000039,2023-11-19,2023-11-25,2023-11-30,390000,1,INV-000039-01,390000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000131,W-000039,2024-01-17,2024-01-25,2024-01-26,216000,2,INV-000039-02,606000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000132,W-000039,2024-03-16,2024-03-19,2024-03-23,295000,3,INV-000039-03,901000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000133,W-000039,2024-05-14,2024-05-20,2024-05-25,316000,4,INV-000039-04,1217000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000134,W-000039,2024-07-12,2024-07-15,2024-07-20,378000,5,INV-000039-05,1595000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000135,W-000039,2024-09-09,2024-09-10,2024-09-13,330000,6,INV-000039-06,1925000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000136,W-000042,2024-11-08,2024-11-13,2024-11-16,3060000,1,INV-000042-01,3060000,RELEASED,IA-S06-03-01,SYNTHETIC_V2,True
PAY-V2-0000137,W-000042,2025-10-07,2025-10-14,2025-10-16,2475000,2,INV-000042-02,5535000,RELEASED,IA-S06-03-01,SYNTHETIC_V2,True
PAY-V2-0000138,W-000043,2024-08-09,2024-08-13,2024-08-18,3692000,1,INV-000043-01,3692000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000139,W-000043,2025-04-18,2025-04-20,2025-04-25,3546000,2,INV-000043-02,7238000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000140,W-000043,2025-12-26,2026-01-03,2026-01-06,2136000,3,INV-000043-03,9374000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000141,W-000044,2024-06-19,2024-06-25,2024-06-29,3196000,1,INV-000044-01,3196000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000142,W-000044,2025-01-06,2025-01-14,2025-01-15,3075000,2,INV-000044-02,6271000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000143,W-000044,2025-07-26,2025-07-29,2025-08-01,2025000,3,INV-000044-03,8296000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000144,W-000044,2026-02-12,2026-02-13,2026-02-17,1607000,4,INV-000044-04,9903000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000145,W-000045,2024-11-06,2024-11-08,2024-11-12,3564000,1,INV-000045-01,3564000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000146,W-000045,2025-10-05,2025-10-06,2025-10-10,2829000,2,INV-000045-02,6393000,RELEASED,IA-S03-03-01,SYNTHETIC_V2,True
PAY-V2-0000147,W-000046,2024-08-15,2024-08-19,2024-08-22,1594000,1,INV-000046-01,1594000,RELEASED,IA-S04-03-01,SYNTHETIC_V2,True
PAY-V2-0000148,W-000046,2025-04-22,2025-04-30,2025-05-03,2963000,2,INV-000046-02,4557000,RELEASED,IA-S04-03-01,SYNTHETIC_V2,True
PAY-V2-0000149,W-000046,2025-12-28,2026-01-02,2026-01-05,2842000,3,INV-000046-03,7399000,RELEASED,IA-S04-03-01,SYNTHETIC_V2,True
PAY-V2-0000150,W-000047,2024-08-18,2024-08-22,2024-08-27,131000,1,INV-000047-01,131000,RELEASED,IA-S05-03-01,SYNTHETIC_V2,True
PAY-V2-0000151,W-000047,2025-02-21,2025-02-25,2025-02-28,217000,2,INV-000047-02,348000,RELEASED,IA-S05-03-01,SYNTHETIC_V2,True
PAY-V2-0000152,W-000047,2025-08-27,2025-08-28,2025-08-31,145000,3,INV-000047-03,493000,RELEASED,IA-S05-03-01,SYNTHETIC_V2,True
PAY-V2-0000153,W-000047,2026-03-02,2026-03-08,2026-03-12,211000,4,INV-000047-04,704000,RELEASED,IA-S05-03-01,SYNTHETIC_V2,True
PAY-V2-0000154,W-000048,2024-12-29,2024-12-30,2024-12-31,1674000,1,INV-000048-01,1674000,RELEASED,IA-S06-03-01,SYNTHETIC_V2,True
PAY-V2-0000155,W-000048,2025-11-01,2025-11-08,2025-11-10,1402000,2,INV-000048-02,3076000,RELEASED,IA-S06-03-01,SYNTHETIC_V2,True
PAY-V2-0000156,W-000049,2024-03-30,2024-04-05,2024-04-08,1184000,1,INV-000049-01,1184000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000157,W-000049,2024-04-30,2024-05-02,2024-05-05,1151000,2,INV-000049-02,2335000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000158,W-000049,2024-05-31,2024-06-07,2024-06-08,1233000,3,INV-000049-03,3568000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000159,W-000049,2024-07-01,2024-07-07,2024-07-10,781000,4,INV-000049-04,4349000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000160,W-000049,2024-08-01,2024-08-09,2024-08-13,783000,5,INV-000049-05,5132000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000161,W-000049,2024-09-01,2024-09-09,2024-09-12,1048000,6,INV-000049-06,6180000,RELEASED,IA-S01-03-01,SYNTHETIC_V2,True
PAY-V2-0000162,W-000050,2024-07-04,2024-07-07,2024-07-10,1901000,1,INV-000050-01,1901000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
PAY-V2-0000163,W-000050,2025-01-03,2025-01-09,2025-01-10,2571000,2,INV-000050-02,4472000,RELEASED,IA-S02-03-01,SYNTHETIC_V2,True
