financial_year,state_name,constituency,mp_id,allocated_amount_inr,sanctioned_amount_inr,released_amount_inr,utilized_amount_inr,source_type,synthetic_demo_data
2026-27,Odisha,Odisha Demo Constituency 3,MP-S04-03,50000000,509927000,430466000,394825000,SYNTHETIC_V2,True
2024-25,Rajasthan,Rajasthan Demo Constituency 1,MP-S05-01,50000000,420050000,401517000,359206000,SYNTHETIC_V2,True
2025-26,Rajasthan,Rajasthan Demo Constituency 1,MP-S05-01,50000000,466153000,419948000,395308000,SYNTHETIC_V2,True
2026-27,Rajasthan,Rajasthan Demo Constituency 1,MP-S05-01,50000000,512256000,454625000,340229000,SYNTHETIC_V2,True
2024-25,Rajasthan,Rajasthan Demo Constituency 2,MP-S05-02,50000000,437326000,408530000,360528000,SYNTHETIC_V2,True
2025-26,Rajasthan,Rajasthan Demo Constituency 2,MP-S05-02,50000000,485325000,419306000,373882000,SYNTHETIC_V2,True
2026-27,Rajasthan,Rajasthan Demo Constituency 2,MP-S05-02,50000000,533324000,419006000,324788000,SYNTHETIC_V2,True
2024-25,Rajasthan,Rajasthan Demo Constituency 3,MP-S05-03,50000000,439558000,388905000,309053000,SYNTHETIC_V2,True
2025-26,Rajasthan,Rajasthan Demo Constituency 3,MP-S05-03,50000000,487802000,417229000,365647000,SYNTHETIC_V2,True
2026-27,Rajasthan,Rajasthan Demo Constituency 3,MP-S05-03,50000000,536046000,511757000,478449000,SYNTHETIC_V2,True
2024-25,Tamil Nadu,Tamil Nadu Demo Constituency 1,MP-S06-01,50000000,420269000,379784000,326950000,SYNTHETIC_V2,True
2025-26,Tamil Nadu,Tamil Nadu Demo Constituency 1,MP-S06-01,50000000,466396000,407608000,371391000,SYNTHETIC_V2,True
2026-27,Tamil Nadu,Tamil Nadu Demo Constituency 1,MP-S06-01,50000000,512523000,486571000,415757000,SYNTHETIC_V2,True
2024-25,Tamil Nadu,Tamil Nadu Demo Constituency 2,MP-S06-02,50000000,410593000,385453000,327133000,SYNTHETIC_V2,True
2025-26,Tamil Nadu,Tamil Nadu Demo Constituency 2,MP-S06-02,50000000,455658000,362532000,311770000,SYNTHETIC_V2,True
2026-27,Tamil Nadu,Tamil Nadu Demo Constituency 2,MP-S06-02,50000000,500723000,427281000,358272000,SYNTHETIC_V2,True
2024-25,Tamil Nadu,Tamil Nadu Demo Constituency 3,MP-S06-03,50000000,437288000,350441000,280392000,SYNTHETIC_V2,True
2025-26,Tamil Nadu,Tamil Nadu Demo Constituency 3,MP-S06-03,50000000,485283000,387959000,344703000,SYNTHETIC_V2,True
2026-27,Tamil Nadu,Tamil Nadu Demo Constituency 3,MP-S06-03,50000000,533278000,451178000,378471000,SYNTHETIC_V2,True
