entity_id,entity_type,entity_name,state_name,district,active_status,source_type,synthetic_demo_data
IA-S02-01-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-01-03,Karnataka,Karnataka Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S02-02-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-02-01,Karnataka,Karnataka Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S02-02-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-02-02,Karnataka,Karnataka Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S02-02-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-02-03,Karnataka,Karnataka Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S02-03-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-03-01,Karnataka,Karnataka Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S02-03-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-03-02,Karnataka,Karnataka Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S02-03-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-03-03,Karnataka,Karnataka Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S03-01-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-01-01,Maharashtra,Maharashtra Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S03-01-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-01-02,Maharashtra,Maharashtra Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S03-01-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-01-03,Maharashtra,Maharashtra Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S03-02-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-02-01,Maharashtra,Maharashtra Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S03-02-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-02-02,Maharashtra,Maharashtra Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S03-02-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-02-03,Maharashtra,Maharashtra Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S03-03-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-03-01,Maharashtra,Maharashtra Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S03-03-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-03-02,Maharashtra,Maharashtra Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S03-03-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S03-03-03,Maharashtra,Maharashtra Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S04-01-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-01-01,Odisha,Odisha Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S04-01-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-01-02,Odisha,Odisha Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S04-01-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-01-03,Odisha,Odisha Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S04-02-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-02-01,Odisha,Odisha Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S04-02-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-02-02,Odisha,Odisha Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S04-02-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-02-03,Odisha,Odisha Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S04-03-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-03-01,Odisha,Odisha Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S04-03-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-03-02,Odisha,Odisha Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S04-03-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S04-03-03,Odisha,Odisha Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S05-01-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-01-01,Rajasthan,Rajasthan Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S05-01-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-01-02,Rajasthan,Rajasthan Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S05-01-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-01-03,Rajasthan,Rajasthan Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S05-02-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-02-01,Rajasthan,Rajasthan Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S05-02-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-02-02,Rajasthan,Rajasthan Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S05-02-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-02-03,Rajasthan,Rajasthan Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S05-03-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-03-01,Rajasthan,Rajasthan Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S05-03-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-03-02,Rajasthan,Rajasthan Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S05-03-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S05-03-03,Rajasthan,Rajasthan Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S06-01-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-01-01,Tamil Nadu,Tamil Nadu Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S06-01-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-01-02,Tamil Nadu,Tamil Nadu Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S06-01-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-01-03,Tamil Nadu,Tamil Nadu Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S06-02-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-02-01,Tamil Nadu,Tamil Nadu Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S06-02-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-02-02,Tamil Nadu,Tamil Nadu Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S06-02-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-02-03,Tamil Nadu,Tamil Nadu Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S06-03-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-03-01,Tamil Nadu,Tamil Nadu Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S06-03-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-03-02,Tamil Nadu,Tamil Nadu Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S06-03-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S06-03-03,Tamil Nadu,Tamil Nadu Demo District 3,ACTIVE,SYNTHETIC_V2,True
