record_id,work_id,record_type,status,record_date,evidence_id,source,applicable_lifecycle,expected_date,verification_status,notes,synthetic_demo_data
REC-V2-00000058,W-000010,HANDOVER_RECORD,RECORDED,2024-02-07,HAND-W-000010,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-02-11,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000059,W-000010,COMPLETED_WORK_PHOTO,RECORDED,2024-02-04,COMP-W-000010,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-02-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000060,W-000010,AUDIT_RECORD,RECORDED,2024-02-21,AUDI-W-000010,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-02-11,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000061,W-000011,PAYMENT_RELEASE,RECORDED,2023-01-12,PAY-V2-0000031,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000062,W-000011,PAYMENT_RELEASE,RECORDED,2023-03-03,PAY-V2-0000032,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000063,W-000011,PAYMENT_RELEASE,RECORDED,2023-05-06,PAY-V2-0000033,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000064,W-000011,PROGRESS_REPORT,RECORDED,2023-06-26,PROG-V2-00000372,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000065,W-000011,SANCTION_RECORD,RECORDED,2022-09-09,SAN-W-000011,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000066,W-000011,COMPLETION_CERTIFICATE,RECORDED,2023-08-11,COMP-W-000011,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-07-26,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000067,W-000011,UTILIZATION_CERTIFICATE,RECORDED,2023-07-21,UTIL-W-000011,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-07-26,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000068,W-000011,PUBLIC_USE_EVIDENCE,RECORDED,2023-07-28,PUBL-W-000011,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-07-26,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000069,W-000011,COMPLETED_WORK_PHOTO,RECORDED,2023-07-21,COMP-W-000011,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-07-26,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000070,W-000011,ASSET_REGISTER,RECORDED,2023-07-04,ASSE-W-000011,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-07-26,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000071,W-000011,AUDIT_RECORD,RECORDED,2023-07-25,AUDI-W-000011,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-07-26,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000072,W-000012,PAYMENT_RELEASE,RECORDED,2023-05-10,PAY-V2-0000034,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000073,W-000012,PAYMENT_RELEASE,RECORDED,2023-08-30,PAY-V2-0000035,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000074,W-000012,PAYMENT_RELEASE,RECORDED,2023-12-10,PAY-V2-0000036,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000075,W-000012,PAYMENT_RELEASE,RECORDED,2024-03-23,PAY-V2-0000037,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000076,W-000012,PROGRESS_REPORT,RECORDED,2024-07-08,PROG-V2-00000391,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000077,W-000012,SANCTION_RECORD,RECORDED,2022-11-08,SAN-W-000012,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000078,W-000012,UTILIZATION_CERTIFICATE,RECORDED,2024-07-20,UTIL-W-000012,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-07,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000079,W-000012,HANDOVER_RECORD,RECORDED,2024-07-20,HAND-W-000012,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-07,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000080,W-000012,PUBLIC_USE_EVIDENCE,RECORDED,2024-08-21,PUBL-W-000012,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-07,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000081,W-000012,COMPLETED_WORK_PHOTO,RECORDED,2024-07-16,COMP-W-000012,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-07,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000082,W-000012,ASSET_REGISTER,RECORDED,2024-08-16,ASSE-W-000012,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-07,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000083,W-000012,AUDIT_RECORD,RECORDED,2024-08-24,AUDI-W-000012,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-07,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000084,W-000013,PAYMENT_RELEASE,RECORDED,2023-04-22,PAY-V2-0000038,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000085,W-000013,PAYMENT_RELEASE,RECORDED,2023-07-15,PAY-V2-0000039,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000086,W-000013,PAYMENT_RELEASE,RECORDED,2023-10-05,PAY-V2-0000040,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000087,W-000013,PAYMENT_RELEASE,RECORDED,2024-01-01,PAY-V2-0000041,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000088,W-000013,PAYMENT_RELEASE,RECORDED,2024-03-25,PAY-V2-0000042,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000089,W-000013,PROGRESS_REPORT,RECORDED,2024-06-11,PROG-V2-00000409,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000090,W-000013,SANCTION_RECORD,RECORDED,2022-11-09,SAN-W-000013,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000091,W-000013,COMPLETION_CERTIFICATE,RECORDED,2024-07-18,COMP-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000092,W-000013,UTILIZATION_CERTIFICATE,RECORDED,2024-06-24,UTIL-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000093,W-000013,HANDOVER_RECORD,RECORDED,2024-07-12,HAND-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000094,W-000013,PUBLIC_USE_EVIDENCE,RECORDED,2024-06-29,PUBL-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000095,W-000013,COMPLETED_WORK_PHOTO,RECORDED,2024-07-15,COMP-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000096,W-000013,ASSET_REGISTER,RECORDED,2024-07-14,ASSE-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000097,W-000013,AUDIT_RECORD,RECORDED,2024-07-26,AUDI-W-000013,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000098,W-000014,PAYMENT_RELEASE,RECORDED,2023-05-19,PAY-V2-0000043,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000099,W-000014,PAYMENT_RELEASE,RECORDED,2023-08-06,PAY-V2-0000044,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000100,W-000014,PAYMENT_RELEASE,RECORDED,2023-10-11,PAY-V2-0000045,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000101,W-000014,PAYMENT_RELEASE,RECORDED,2023-12-26,PAY-V2-0000046,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000102,W-000014,PAYMENT_RELEASE,RECORDED,2024-03-13,PAY-V2-0000047,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000103,W-000014,PAYMENT_RELEASE,RECORDED,2024-05-27,PAY-V2-0000048,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000104,W-000014,PROGRESS_REPORT,RECORDED,2024-07-31,PROG-V2-00000426,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000105,W-000014,SANCTION_RECORD,RECORDED,2022-12-17,SAN-W-000014,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000106,W-000014,COMPLETION_CERTIFICATE,RECORDED,2024-08-22,COMP-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000107,W-000014,UTILIZATION_CERTIFICATE,RECORDED,2024-08-02,UTIL-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000108,W-000014,HANDOVER_RECORD,RECORDED,2024-08-10,HAND-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000109,W-000014,PUBLIC_USE_EVIDENCE,RECORDED,2024-09-01,PUBL-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000110,W-000014,COMPLETED_WORK_PHOTO,RECORDED,2024-08-13,COMP-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000111,W-000014,ASSET_REGISTER,RECORDED,2024-09-13,ASSE-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000112,W-000014,AUDIT_RECORD,RECORDED,2024-08-10,AUDI-W-000014,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-08-30,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000113,W-000015,PAYMENT_RELEASE,RECORDED,2023-06-28,PAY-V2-0000049,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000114,W-000015,PAYMENT_RELEASE,RECORDED,2023-12-22,PAY-V2-0000050,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000115,W-000015,PROGRESS_REPORT,RECORDED,2024-06-13,PROG-V2-00000445,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000116,W-000015,SANCTION_RECORD,RECORDED,2022-11-15,SAN-W-000015,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000117,W-000015,COMPLETION_CERTIFICATE,RECORDED,2024-07-06,COMP-W-000015,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-13,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000118,W-000015,UTILIZATION_CERTIFICATE,RECORDED,2024-07-24,UTIL-W-000015,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-13,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000119,W-000015,HANDOVER_RECORD,RECORDED,2024-07-18,HAND-W-000015,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-07-13,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
