progress_id,work_id,report_date,physical_progress_pct,financial_progress_pct,expected_progress_pct_by_date,reported_status,reported_by_agency_id,source_type,synthetic_demo_data
PROG-V2-00000086,W-000003,2025-09-15,65.9,67.4,75.5,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000087,W-000003,2025-10-15,72.0,76.5,77.6,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000088,W-000003,2025-11-15,74.2,64.2,79.6,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000089,W-000003,2025-12-15,73.3,64.9,81.6,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000090,W-000003,2026-01-15,77.7,84.9,83.7,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000091,W-000003,2026-02-15,76.0,86.1,85.7,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000092,W-000003,2026-03-15,79.1,70.4,87.8,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000093,W-000003,2026-04-15,82.5,71.1,89.8,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000094,W-000003,2026-05-15,83.7,80.7,91.8,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000095,W-000003,2026-06-15,81.3,82.1,93.9,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000096,W-000003,2026-07-15,89.0,85.2,95.9,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000097,W-000003,2026-08-15,87.7,89.7,98.0,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000098,W-000003,2026-09-05,91.5,97.2,100,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000099,W-000004,2022-11-15,7.1,0,2.1,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000100,W-000004,2022-12-15,5.4,2.0,4.3,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000101,W-000004,2023-01-15,7.8,1.1,6.4,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000102,W-000004,2023-02-15,7.0,4.8,8.5,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000103,W-000004,2023-03-15,12.5,22.1,10.6,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000104,W-000004,2023-04-15,10.0,20.8,12.8,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000105,W-000004,2023-05-15,15.3,13.2,14.9,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000106,W-000004,2023-06-15,15.1,1.0,17.0,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000107,W-000004,2023-07-15,16.2,30.7,19.1,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000108,W-000004,2023-08-15,18.8,20.7,21.3,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000109,W-000004,2023-09-15,24.9,21.0,23.4,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000110,W-000004,2023-10-15,21.5,14.9,25.5,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000111,W-000004,2023-11-15,25.8,37.0,27.7,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000112,W-000004,2023-12-15,28.7,23.3,29.8,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000113,W-000004,2024-01-15,28.6,29.0,31.9,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000114,W-000004,2024-02-15,28.5,18.8,34.0,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000115,W-000004,2024-03-15,32.5,40.6,36.2,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000116,W-000004,2024-04-15,37.8,30.9,38.3,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000117,W-000004,2024-05-15,38.6,36.8,40.4,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000118,W-000004,2024-06-15,38.2,43.3,42.6,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000119,W-000004,2024-07-15,36.6,39.8,44.7,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000120,W-000004,2024-08-15,45.6,36.0,46.8,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000121,W-000004,2024-09-15,45.4,52.1,48.9,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000122,W-000004,2024-10-15,43.7,38.2,51.1,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000123,W-000004,2024-11-15,48.3,43.0,53.2,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000124,W-000004,2024-12-15,48.5,66.2,55.3,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000125,W-000004,2025-01-15,55.7,47.5,57.4,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000126,W-000004,2025-02-15,52.8,50.6,59.6,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000127,W-000004,2025-03-15,59.5,53.7,61.7,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000128,W-000004,2025-04-15,58.0,44.9,63.8,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000129,W-000004,2025-05-15,60.0,58.4,66.0,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000130,W-000004,2025-06-15,58.3,51.3,68.1,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000131,W-000004,2025-07-15,68.8,68.0,70.2,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000132,W-000004,2025-08-15,67.3,65.9,72.3,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000133,W-000004,2025-09-15,71.6,72.8,74.5,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000134,W-000004,2025-10-15,72.3,73.7,76.6,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000135,W-000004,2025-11-15,75.0,70.3,78.7,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000136,W-000004,2025-12-15,73.7,80.9,80.9,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000137,W-000004,2026-01-15,75.7,83.0,83.0,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000138,W-000004,2026-02-15,79.7,61.2,85.1,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000139,W-000004,2026-03-15,77.9,68.7,87.2,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000140,W-000004,2026-04-15,81.4,70.7,89.4,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000141,W-000004,2026-05-15,84.9,73.4,91.5,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000142,W-000004,2026-06-15,82.5,80.4,93.6,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000143,W-000004,2026-07-15,85.7,97.0,95.7,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000144,W-000004,2026-08-15,92.0,96.3,97.9,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000145,W-000004,2026-09-05,92.0,104.8,100,ONGOING,IA-S04-01-01,SYNTHETIC_V2,True
PROG-V2-00000146,W-000005,2022-10-15,0,0,2.1,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000147,W-000005,2022-11-15,3.3,16.4,4.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000148,W-000005,2022-12-15,4.5,2.6,6.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000149,W-000005,2023-01-15,10.1,11.2,8.3,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000150,W-000005,2023-02-15,10.8,19.7,10.4,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000151,W-000005,2023-03-15,12.6,17.5,12.5,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000152,W-000005,2023-04-15,14.9,17.5,14.6,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000153,W-000005,2023-05-15,14.2,16.2,16.7,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000154,W-000005,2023-06-15,17.5,26.5,18.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000155,W-000005,2023-07-15,18.1,13.6,20.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000156,W-000005,2023-08-15,17.8,22.9,22.9,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000157,W-000005,2023-09-15,23.1,43.0,25.0,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000158,W-000005,2023-10-15,27.5,37.5,27.1,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000159,W-000005,2023-11-15,27.2,15.2,29.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000160,W-000005,2023-12-15,30.8,44.9,31.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000161,W-000005,2024-01-15,28.3,23.8,33.3,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000162,W-000005,2024-02-15,34.6,37.1,35.4,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000163,W-000005,2024-03-15,33.5,32.5,37.5,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000164,W-000005,2024-04-15,37.4,24.3,39.6,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000165,W-000005,2024-05-15,41.3,41.4,41.7,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000166,W-000005,2024-06-15,42.9,36.2,43.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000167,W-000005,2024-07-15,38.1,39.2,45.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000168,W-000005,2024-08-15,43.7,56.8,47.9,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000169,W-000005,2024-09-15,46.4,50.2,50.0,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000170,W-000005,2024-10-15,49.0,66.5,52.1,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000171,W-000005,2024-11-15,50.1,63.6,54.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000172,W-000005,2024-12-15,48.6,44.4,56.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000173,W-000005,2025-01-15,55.9,56.3,58.3,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000174,W-000005,2025-02-15,57.6,48.5,60.4,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000175,W-000005,2025-03-15,53.9,65.9,62.5,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000176,W-000005,2025-04-15,57.2,73.1,64.6,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000177,W-000005,2025-05-15,57.9,47.3,66.7,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000178,W-000005,2025-06-15,66.9,68.7,68.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000179,W-000005,2025-07-15,64.7,60.7,70.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000180,W-000005,2025-08-15,61.7,66.9,72.9,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000181,W-000005,2025-09-15,67.2,60.0,75.0,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000182,W-000005,2025-10-15,68.7,76.1,77.1,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000183,W-000005,2025-11-15,71.1,78.5,79.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000184,W-000005,2025-12-15,73.7,66.4,81.2,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000185,W-000005,2026-01-15,75.4,74.2,83.3,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000186,W-000005,2026-02-15,79.9,68.4,85.4,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000187,W-000005,2026-03-15,77.5,66.3,87.5,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000188,W-000005,2026-04-15,83.4,93.8,89.6,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000189,W-000005,2026-05-15,85.0,96.4,91.7,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000190,W-000005,2026-06-15,88.6,86.5,93.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000191,W-000005,2026-07-15,84.1,82.8,95.8,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000192,W-000005,2026-08-15,90.7,95.4,97.9,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000193,W-000005,2026-09-05,92.0,91.1,100,ONGOING,IA-S05-01-01,SYNTHETIC_V2,True
PROG-V2-00000194,W-000006,2022-08-15,0,6.6,2.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000195,W-000006,2022-09-15,7.1,5.4,4.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000196,W-000006,2022-10-15,7.2,10.3,6.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000197,W-000006,2022-11-15,5.3,7.2,8.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000198,W-000006,2022-12-15,8.7,9.5,10.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000199,W-000006,2023-01-15,8.8,0,12.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000200,W-000006,2023-02-15,14.4,21.6,14.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000201,W-000006,2023-03-15,13.2,23.3,16.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000202,W-000006,2023-04-15,8.3,21.5,18.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000203,W-000006,2023-05-15,15.2,23.9,20.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000204,W-000006,2023-06-15,23.6,19.0,22.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000205,W-000006,2023-07-15,22.8,22.6,24.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000206,W-000006,2023-08-15,28.0,25.9,26.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000207,W-000006,2023-09-15,25.7,7.1,28.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000208,W-000006,2023-10-15,28.2,23.4,30.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000209,W-000006,2023-11-15,29.3,26.6,32.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000210,W-000006,2023-12-15,33.4,42.7,34.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000211,W-000006,2024-01-15,35.8,45.6,36.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000212,W-000006,2024-02-15,36.0,48.0,38.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
PROG-V2-00000213,W-000006,2024-03-15,36.9,34.8,40.0,ONGOING,IA-S06-01-01,SYNTHETIC_V2,True
