alert_type,group_type,group_value,metric,month,current_value,current_event_count,baseline_month_count,historical_event_support,median,mad,q1,q3,iqr,p10,p90,robust_z,deviation_method,ewma,trend_deviation_flag,evidence_summary
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sanitation,released_payment_count,2023-12,17.0,17,5,28,3.0,1.0,3.0,9.0,6.0,2.4,10.2,9.443,MAD,9.467929999999999,True,released_payment_count for sector=Sanitation in 2023-12 has signed robust z 9.443 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sports,released_payment_amount_inr,2023-12,11540000.0,24,6,36,1863500.0,1560500.0,520250.0,3578000.0,3057750.0,303000.0,6854000.0,4.182505126561999,MAD,6497781.699999999,True,released_payment_amount_inr for sector=Sports in 2023-12 has signed robust z 4.183 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sports,released_payment_count,2023-12,24.0,24,6,36,4.0,2.0,1.5,5.0,3.5,1.0,13.0,6.745,MAD,13.243659999999998,True,released_payment_count for sector=Sports in 2023-12 has signed robust z 6.745 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Maharashtra,released_payment_amount_inr,2023-12,7844000.0,19,5,42,3901000.0,471000.0,3560000.0,4372000.0,812000.0,2516000.0,6751600.0,5.646610403397028,MAD,5649715.459999999,True,released_payment_amount_inr for state_name=Maharashtra in 2023-12 has signed robust z 5.647 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Maharashtra,released_payment_count,2023-12,19.0,19,5,42,8.0,2.0,6.0,8.0,2.0,3.0,14.600000000000001,3.70975,MAD,12.289449999999999,True,released_payment_count for state_name=Maharashtra in 2023-12 has signed robust z 3.710 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Rajasthan,sanctioned_amount_inr,2023-12,39325000.0,17,6,67,19816000.0,2375500.0,18121750.0,23659750.0,5538000.0,17440500.0,27877500.0,5.539389812671017,MAD,25429062.548449997,True,sanctioned_amount_inr for state_name=Rajasthan in 2023-12 has signed robust z 5.539 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Telangana,released_payment_amount_inr,2023-12,25286000.0,32,5,56,7365000.0,2480000.0,5888000.0,9845000.0,3957000.0,2829800.0,11795000.0,4.874078427419355,MAD,13097879.51,True,released_payment_amount_inr for state_name=Telangana in 2023-12 has signed robust z 4.874 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Telangana,released_payment_count,2023-12,32.0,32,5,56,11.0,2.0,9.0,13.0,4.0,5.4,17.2,7.08225,MAD,17.995379999999997,True,released_payment_count for state_name=Telangana in 2023-12 has signed robust z 7.082 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3,recommendation_work_count,2024-01,7.0,7,6,20,4.0,0.5,2.5,4.0,1.5,1.5,4.5,4.047,MAD,4.1069459969999995,True,recommendation_work_count for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3 in 2024-01 has signed robust z 4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 1,released_payment_amount_inr,2024-01,4962000.0,6,6,22,1597500.0,503000.0,1192750.0,2058500.0,865750.0,1017000.0,2596500.0,4.511640656063618,MAD,2875196.3719999995,True,released_payment_amount_inr for state_name=Maharashtra|district=Maharashtra Demo District 1 in 2024-01 has signed robust z 4.512 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Rajasthan|district=Rajasthan Demo District 1,sanctioned_amount_inr,2024-01,1894000.0,1,6,20,7379000.0,988500.0,6451000.0,8259750.0,1808750.0,6242500.0,9615000.0,-3.7426732422862923,MAD,5913910.61738,True,sanctioned_amount_inr for state_name=Rajasthan|district=Rajasthan Demo District 1 in 2024-01 has signed robust z -3.743 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Rajasthan|district=Rajasthan Demo District 3,released_payment_count,2024-01,9.0,9,6,21,3.0,1.0,2.0,4.75,2.75,2.0,5.5,4.047,MAD,5.256931999999999,True,released_payment_count for state_name=Rajasthan|district=Rajasthan Demo District 3 in 2024-01 has signed robust z 4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Health,recommended_amount_inr,2024-01,33724000.0,17,6,64,20648500.0,2217000.0,19655750.0,23394000.0,3738250.0,17406500.0,30014500.0,3.978089648173207,MAD,27601054.158203997,True,recommended_amount_inr for sector=Health in 2024-01 has signed robust z 3.978 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Health,released_payment_amount_inr,2024-01,19775000.0,21,6,57,6753000.0,1647500.0,5189000.0,8079250.0,2890250.0,4216000.0,9254000.0,5.331313505311077,MAD,10695762.4991,True,released_payment_amount_inr for sector=Health in 2024-01 has signed robust z 5.331 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Roads & Bridges,released_payment_amount_inr,2024-01,11245000.0,16,5,49,3506000.0,980000.0,2530000.0,11586000.0,9056000.0,2527600.0,12081000.0,5.326485204081632,MAD,7733157.119999999,True,released_payment_amount_inr for sector=Roads & Bridges in 2024-01 has signed robust z 5.326 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Andhra Pradesh,released_payment_amount_inr,2024-01,15326000.0,24,6,79,7938000.0,1398500.0,4385500.0,8575250.0,4189750.0,3080500.0,9336500.0,3.563250625670361,MAD,9678801.0398,True,released_payment_amount_inr for state_name=Andhra Pradesh in 2024-01 has signed robust z 3.563 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Maharashtra,released_payment_amount_inr,2024-01,15808000.0,27,6,61,4136500.0,1446500.0,3645250.0,6976000.0,3330750.0,2690000.0,8091000.0,5.442396647079157,MAD,8697200.821999999,True,released_payment_amount_inr for state_name=Maharashtra in 2024-01 has signed robust z 5.442 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Odisha,recommended_amount_inr,2024-01,33918000.0,18,6,76,28735500.0,844500.0,22639250.0,28884250.0,6245000.0,17997000.0,29580000.0,4.139249555950267,MAD,28169976.069861997,True,recommended_amount_inr for state_name=Odisha in 2024-01 has signed robust z 4.139 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Odisha,sanctioned_amount_inr,2024-01,33982000.0,16,6,64,23242500.0,1016000.0,22006750.0,23616500.0,1609750.0,15711500.0,26941000.0,7.129717273622047,MAD,23716449.959470995,True,sanctioned_amount_inr for state_name=Odisha in 2024-01 has signed robust z 7.130 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Rajasthan,released_payment_amount_inr,2024-01,21745000.0,28,6,57,6204500.0,2144000.0,3649000.0,7374750.0,3725750.0,1779500.0,9191000.0,4.88902390391791,MAD,11196333.472999997,True,released_payment_amount_inr for state_name=Rajasthan in 2024-01 has signed robust z 4.889 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Rajasthan,released_payment_count,2024-01,28.0,28,6,57,9.5,3.5,5.5,12.0,6.5,3.5,15.5,3.5652142857142857,MAD,16.380412999999997,True,released_payment_count for state_name=Rajasthan in 2024-01 has signed robust z 3.565 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4,released_payment_count,2024-02,10.0,10,6,25,3.5,1.0,3.0,4.75,1.75,2.0,7.0,4.38425,MAD,5.99883829,True,released_payment_count for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4 in 2024-02 has signed robust z 4.384 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Odisha|district=Odisha Demo District 2,recommendation_work_count,2024-02,1.0,1,6,23,4.0,0.5,3.25,4.0,0.75,2.5,5.0,-4.047,MAD,2.806109813899999,True,recommendation_work_count for state_name=Odisha|district=Odisha Demo District 2 in 2024-02 has signed robust z -4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Odisha|district=Odisha Demo District 2,released_payment_amount_inr,2024-02,6823000.0,11,6,27,1777500.0,533500.0,1280750.0,2260750.0,980000.0,756500.0,4869500.0,6.378987347703842,MAD,3796446.1969999997,True,released_payment_amount_inr for state_name=Odisha|district=Odisha Demo District 2 in 2024-02 has signed robust z 6.379 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Rajasthan|district=Rajasthan Demo District 4,released_payment_amount_inr,2024-02,7739000.0,10,5,21,1976000.0,727000.0,1249000.0,2527000.0,1278000.0,661000.0,7645000.000000001,5.346827372764786,MAD,5289894.74,True,released_payment_amount_inr for state_name=Rajasthan|district=Rajasthan Demo District 4 in 2024-02 has signed robust z 5.347 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Rajasthan|district=Rajasthan Demo District 4,released_payment_count,2024-02,10.0,10,5,21,4.0,1.0,3.0,5.0,2.0,1.8,6.800000000000001,4.047,MAD,6.104919999999999,True,released_payment_count for state_name=Rajasthan|district=Rajasthan Demo District 4 in 2024-02 has signed robust z 4.047 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Telangana|district=Telangana Demo District 1,released_payment_count,2024-02,10.0,10,6,30,4.0,0.5,4.0,4.75,0.75,3.5,7.5,8.094,MAD,6.734479,True,released_payment_count for state_name=Telangana|district=Telangana Demo District 1 in 2024-02 has signed robust z 8.094 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Education,recommended_amount_inr,2024-02,11618000.0,6,6,57,20803000.0,1462000.0,16397250.0,21425750.0,5028500.0,12649500.0,22265000.0,-4.2375393296853625,MAD,16122014.517915497,True,recommended_amount_inr for sector=Education in 2024-02 has signed robust z -4.238 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Andhra Pradesh,recommended_amount_inr,2024-02,23101000.0,13,6,86,33347000.0,1671000.0,20869500.0,34732750.0,13863250.0,17015000.0,35018000.0,-4.135803111909037,MAD,26780627.879184596,True,recommended_amount_inr for state_name=Andhra Pradesh in 2024-02 has signed robust z -4.136 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Karnataka,recommended_amount_inr,2024-02,16224000.0,9,6,74,22283000.0,998500.0,21477250.0,23101500.0,1624250.0,19774000.0,23914000.0,-4.09293490235353,MAD,21417717.620151896,True,recommended_amount_inr for state_name=Karnataka in 2024-02 has signed robust z -4.093 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Maharashtra,released_payment_amount_inr,2024-02,25616000.0,29,6,87,6108000.0,2218500.0,4018750.0,8214500.0,4195750.0,3730500.0,12073000.0,5.9311002929907595,MAD,13772840.575399999,True,released_payment_amount_inr for state_name=Maharashtra in 2024-02 has signed robust z 5.931 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE_SECTOR,state_name=Maharashtra|sector=Drinking Water,released_payment_amount_inr,2024-02,4621000.0,8,6,22,1455500.0,317500.0,1190250.0,1753750.0,563500.0,943000.0,2399500.0,6.72481811023622,MAD,2674181.4409999996,True,released_payment_amount_inr for state_name=Maharashtra|sector=Drinking Water in 2024-02 has signed robust z 6.725 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE_SECTOR,state_name=Maharashtra|sector=Drinking Water,released_payment_count,2024-02,8.0,8,6,22,3.0,0.5,3.0,4.5,1.5,2.5,5.5,6.745,MAD,5.373578999999999,True,released_payment_count for state_name=Maharashtra|sector=Drinking Water in 2024-02 has signed robust z 6.745 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,released_payment_amount_inr,2024-03,9155000.0,17,6,35,3165000.0,831000.0,2380000.0,3743000.0,1363000.0,1646000.0,4098500.0,4.861919374247894,MAD,4934774.96545,True,released_payment_amount_inr for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1 in 2024-03 has signed robust z 4.862 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,released_payment_count,2024-03,17.0,17,6,35,6.5,1.5,4.5,7.0,2.5,3.0,8.0,4.7215,MAD,9.381595989999997,True,released_payment_count for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1 in 2024-03 has signed robust z 4.721 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2,recommended_amount_inr,2024-03,2213000.0,2,6,22,8188000.0,450500.0,7835500.0,8572750.0,737250.0,3879500.0,9782500.0,-8.945921198668147,MAD,5605473.039459069,True,recommended_amount_inr for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2 in 2024-03 has signed robust z -8.946 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Telangana|district=Telangana Demo District 4,recommended_amount_inr,2024-03,11760000.0,6,6,21,7272500.0,708000.0,6641500.0,7895250.0,1253750.0,4031500.0,8264000.0,4.275167725988701,MAD,8465163.31381812,True,recommended_amount_inr for state_name=Telangana|district=Telangana Demo District 4 in 2024-03 has signed robust z 4.275 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sanitation,sanction_work_count,2024-03,6.0,6,6,53,9.0,0.5,8.25,9.0,0.75,7.5,10.0,-4.047,MAD,7.748898538939998,True,sanction_work_count for sector=Sanitation in 2024-03 has signed robust z -4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Andhra Pradesh,released_payment_amount_inr,2024-03,23594000.0,43,6,122,9336500.0,1398500.0,8479750.0,13776000.0,5296250.0,7938000.0,15172000.0,6.8764274222381125,MAD,14974592.509502,True,released_payment_amount_inr for state_name=Andhra Pradesh in 2024-03 has signed robust z 6.876 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Andhra Pradesh,released_payment_count,2024-03,43.0,43,6,122,23.5,2.5,15.5,24.0,8.5,11.5,26.0,5.2611,MAD,27.637490782,True,released_payment_count for state_name=Andhra Pradesh in 2024-03 has signed robust z 5.261 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,released_payment_count,2024-04,16.0,16,6,50,7.0,1.5,6.25,8.5,2.25,5.0,13.0,4.047,MAD,11.367117192999999,True,released_payment_count for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1 in 2024-04 has signed robust z 4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2,released_payment_amount_inr,2024-04,9121000.0,10,6,35,2700000.0,857000.0,1674750.0,3017250.0,1342500.0,962500.0,4247500.0,5.053634189031505,MAD,4590250.249346999,True,released_payment_amount_inr for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2 in 2024-04 has signed robust z 5.054 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Karnataka|district=Karnataka Demo District 2,released_payment_count,2024-04,13.0,13,6,48,8.5,0.5,8.0,9.0,1.0,6.5,9.0,6.0705,MAD,9.020479629999999,True,released_payment_count for state_name=Karnataka|district=Karnataka Demo District 2 in 2024-04 has signed robust z 6.071 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 1,recommended_amount_inr,2024-04,10369000.0,4,6,21,5636000.0,567500.0,5062500.0,6136750.0,1074250.0,4518000.0,7198000.0,5.625389427312776,MAD,7213654.655443517,True,recommended_amount_inr for state_name=Maharashtra|district=Maharashtra Demo District 1 in 2024-04 has signed robust z 5.625 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 1,released_payment_count,2024-04,13.0,13,6,35,5.0,1.5,4.0,8.25,4.25,3.5,9.0,3.5973333333333333,MAD,8.085173082999999,True,released_payment_count for state_name=Maharashtra|district=Maharashtra Demo District 1 in 2024-04 has signed robust z 3.597 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Odisha|district=Odisha Demo District 1,released_payment_amount_inr,2024-04,7493000.0,12,6,24,2344000.0,230500.0,2115750.0,2463500.0,347750.0,1262500.0,2631500.0,15.067247288503253,MAD,3660383.2731799996,True,released_payment_amount_inr for state_name=Odisha|district=Odisha Demo District 1 in 2024-04 has signed robust z 15.067 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Odisha|district=Odisha Demo District 1,released_payment_count,2024-04,12.0,12,6,24,4.0,1.0,3.25,4.75,1.5,2.5,5.5,5.396,MAD,6.421500576999999,True,released_payment_count for state_name=Odisha|district=Odisha Demo District 1 in 2024-04 has signed robust z 5.396 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Telangana|district=Telangana Demo District 2,released_payment_count,2024-04,12.0,12,6,32,4.5,1.0,3.25,5.0,1.75,2.5,9.0,5.05875,MAD,7.504733699999998,True,released_payment_count for state_name=Telangana|district=Telangana Demo District 2 in 2024-04 has signed robust z 5.059 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Telangana|district=Telangana Demo District 4,recommendation_work_count,2024-04,7.0,7,6,24,4.0,0.5,4.0,4.75,0.75,2.5,5.5,4.047,MAD,5.2880955404689995,True,recommendation_work_count for state_name=Telangana|district=Telangana Demo District 4 in 2024-04 has signed robust z 4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Telangana|district=Telangana Demo District 4,recommended_amount_inr,2024-04,13713000.0,7,6,24,7815500.0,997000.0,6833250.0,8408500.0,1575250.0,4031500.0,10156500.0,3.989833249749248,MAD,10039514.319672683,True,recommended_amount_inr for state_name=Telangana|district=Telangana Demo District 4 in 2024-04 has signed robust z 3.990 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Community Infrastructure,progress_report_count,2024-04,11.0,11,6,20,2.0,1.5,1.25,5.75,4.5,0.5,7.5,4.047,MAD,6.148909,True,progress_report_count for sector=Community Infrastructure in 2024-04 has signed robust z 4.047 against 6 causal prior months.
