work_id,mp_id,state_name,constituency,district,sector,sub_sector,implementing_agency_id,sanction_status,source_current_status,feature_snapshot_date,lifecycle_stage,is_rejected,recommendation_date,sanction_date_as_of,expected_start_date,expected_completion_date,actual_start_date_as_of,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,estimate_to_recommended_ratio,sanction_to_recommended_ratio,sanction_to_estimate_ratio,days_recommendation_to_sanction,planned_duration_days,days_sanction_to_expected_start,released_payment_count_as_of,released_payment_total_inr_as_of,unique_vendor_count_as_of,largest_payment_inr_as_of,mean_payment_inr_as_of,largest_payment_share_as_of,vendor_hhi_as_of,first_payment_release_date_as_of,last_payment_release_date_as_of,days_since_last_payment_as_of,final_payment_count_as_of,has_final_payment_as_of,zero_value_released_payment_count_as_of,expenditure_to_sanction_pct_as_of,financial_overrun_amount_inr_as_of,financial_overrun_pct_as_of,progress_report_count_as_of,first_progress_report_date_as_of,latest_progress_report_date_as_of,latest_physical_progress_pct_as_of,latest_financial_progress_pct_as_of,latest_expected_progress_pct_as_of,financial_minus_physical_gap_pct_as_of,expected_minus_physical_gap_pct_as_of,days_since_last_progress_report_as_of,physical_progress_decrease_count_as_of,max_physical_progress_drop_pct_as_of,same_day_progress_extra_count_as_of,physical_progress_velocity_pct_per_30d,actual_start_available_as_of,days_since_actual_start_as_of,days_to_expected_completion_as_of,overdue_days_as_of,schedule_elapsed_ratio_as_of,asset_record_count_as_of,is_completed_as_of,completion_date_as_of,completion_marked_as_of,uc_recorded_as_of,handover_recorded_as_of,public_use_recorded_as_of,audit_recorded_as_of,final_expenditure_inr_as_of,actual_duration_days,completion_delay_days,source_current_physical_progress_pct,source_current_expenditure_inr,source_vs_asof_expenditure_difference_inr,source_vs_asof_physical_progress_difference_pct
W-000011,MP-OD-002,Odisha,Odisha Demo Constituency 2,Odisha Demo District 2,Sanitation,Drainage,IA-OD-003,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-01-01,2024-02-11,2024-03-03,2024-10-09,2024-03-26,1832000,1929000,1899000.0,1.0529475982532752,1.0365720524017468,0.9844479004665629,41.0,220.0,21.0,2,1785000,1,1008000.0,892500.0,0.5647058823529412,1.0,2024-06-26,2024-09-12,719.0,1,True,0,93.99684044233807,0.0,0.0,4,2024-11-03,2026-08-31,100.0,94.0,100.0,-6.0,0.0,1.0,0,0.0,0,3.5585585585585586,True,889.0,-692.0,,4.1454545454545455,1,True,2026-08-31,False,False,False,False,False,,888.0,691.0,100.0,1785000,0,0.0
W-000012,MP-AP-001,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 2,Community Infrastructure,Community Hall,IA-AP-005,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2025-10-09,2025-10-25,2025-11-18,2026-09-19,2025-11-30,1358000,1464000,1460000.0,1.0780559646539027,1.0751104565537555,0.9972677595628415,16.0,305.0,24.0,5,1087000,1,289000.0,217400.0,0.265869365225391,1.0,2026-01-23,2026-08-30,2.0,0,False,0,74.45205479452055,0.0,0.0,4,2026-02-06,2026-08-31,83.6,74.5,89.8,-9.099999999999994,6.200000000000003,1.0,0,0.0,0,8.927184466019417,True,275.0,18.0,0.0,0.940983606557377,0,False,,False,False,False,False,False,,,,83.6,1087000,0,0.0
W-000013,MP-MH-004,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 4,Community Infrastructure,Bus Shelter,IA-MH-005,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2026-01-25,2026-02-06,2026-03-21,2027-02-28,2026-04-18,2311000,2438000,2430000.0,1.0549545651233232,1.051492860233665,0.9967186218211649,12.0,344.0,43.0,4,687000,1,252000.0,171750.0,0.36681222707423583,1.0,2026-05-31,2026-08-25,7.0,0,False,0,28.271604938271604,0.0,0.0,8,2026-05-04,2026-08-31,32.2,28.3,39.2,-3.900000000000002,7.0,1.0,1,5.5,0,8.11764705882353,True,136.0,180.0,0.0,0.47674418604651164,0,False,,False,False,False,False,False,,,,32.2,687000,0,0.0
W-000014,MP-TS-002,Telangana,Telangana Demo Constituency 2,Telangana Demo District 1,Sanitation,Solid Waste Shed,IA-TS-004,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-08-15,2024-09-01,2024-09-16,2025-06-13,2024-10-08,1664000,1618000,1639000.0,0.9723557692307693,0.9849759615384616,1.0129789864029666,17.0,270.0,15.0,3,1665000,1,774000.0,555000.0,0.4648648648648649,1.0,2024-11-11,2025-09-20,346.0,1,True,0,101.58633312995728,26000.0,1.586333129957291,6,2025-01-31,2026-08-31,100.0,101.6,100.0,1.5999999999999943,0.0,1.0,0,0.0,0,4.58578856152513,True,693.0,-445.0,,2.6481481481481484,1,True,2026-08-31,True,False,False,False,False,1665000.0,692.0,444.0,100.0,1665000,0,0.0
W-000015,MP-RJ-006,Rajasthan,Rajasthan Rajya Sabha Seat,Rajasthan Demo District 4,Sanitation,Community Sanitation,IA-RJ-003,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2024-06-26,2024-08-04,2024-08-27,2025-06-14,2024-08-29,2240000,2393000,2425000.0,1.0683035714285714,1.0825892857142858,1.0133723359799416,39.0,291.0,23.0,6,1859000,1,495000.0,309833.3333333333,0.26627218934911245,1.0,2024-10-30,2025-09-28,338.0,0,False,0,76.65979381443299,0.0,0.0,4,2025-02-28,2026-08-31,80.2,76.7,100.0,-3.5,19.799999999999997,1.0,0,0.0,0,3.5628415300546448,True,733.0,-444.0,444.0,2.5257731958762886,0,False,,False,False,False,False,False,,,,80.2,1859000,0,0.0
W-000016,MP-RJ-005,Rajasthan,Rajasthan Demo Constituency 5,Rajasthan Demo District 3,Health,Ambulance Shelter,IA-RJ-006,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2025-12-17,2026-01-10,2026-02-08,2027-01-31,2026-02-03,1751000,1884000,1903000.0,1.0759565962307254,1.0868075385494003,1.0100849256900213,24.0,357.0,29.0,6,1100000,1,258000.0,183333.33333333334,0.23454545454545456,1.0,2026-05-03,2026-08-16,16.0,0,False,0,57.80346820809249,0.0,0.0,4,2026-03-27,2026-08-31,65.7,57.8,58.5,-7.900000000000006,-7.200000000000003,1.0,0,0.0,0,9.802547770700638,True,210.0,152.0,0.0,0.5742296918767507,0,False,,False,False,False,False,False,,,,65.7,1100000,0,0.0
W-000017,MP-KA-005,Karnataka,Karnataka Demo Constituency 5,Karnataka Demo District 2,Education,School Toilet,IA-KA-005,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2025-09-23,2025-10-24,2025-11-16,2026-10-03,2025-12-07,3484000,3445000,3391000.0,0.9888059701492538,0.9733065442020666,0.9843251088534107,31.0,321.0,23.0,3,3012000,1,1153000.0,1004000.0,0.38280212483399734,1.0,2026-04-15,2026-07-22,41.0,0,False,0,88.82335594219994,0.0,0.0,6,2026-01-20,2026-08-31,90.5,88.8,83.2,-1.7000000000000028,-7.299999999999997,1.0,0,0.0,0,9.995515695067263,True,268.0,32.0,0.0,0.9003115264797508,0,False,,False,False,False,False,False,,,,90.5,3012000,0,0.0
W-000018,MP-OD-005,Odisha,Odisha Demo Constituency 5,Odisha Demo District 2,Roads & Bridges,Approach Road,IA-OD-001,Sanctioned,Completed,2026-09-01,COMPLETION,False,2025-04-19,2025-05-22,2025-06-17,2026-01-01,2025-07-22,1868000,2008000,2040000.0,1.0749464668094217,1.0920770877944326,1.0159362549800797,33.0,198.0,26.0,5,2186000,1,553000.0,437200.0,0.2529734675205855,1.0,2025-08-05,2026-04-13,141.0,1,True,0,107.15686274509804,146000.0,7.156862745098039,4,2025-10-31,2026-08-31,100.0,107.2,100.0,7.200000000000003,0.0,1.0,0,0.0,0,7.421052631578948,True,406.0,-243.0,,2.227272727272727,1,True,2026-08-31,False,False,False,False,False,,405.0,242.0,100.0,2186000,0,0.0
W-000019,MP-MH-004,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 3,Renewable Energy,Solar Public Facility,IA-MH-004,Sanctioned,Completed,2026-09-01,COMPLETION,False,2023-05-18,2023-06-03,2023-07-07,2024-06-05,2023-07-12,837000,882000,906000.0,1.053763440860215,1.082437275985663,1.0272108843537415,16.0,334.0,34.0,1,960000,1,960000.0,960000.0,1.0,1.0,2024-04-22,2024-04-22,862.0,1,True,0,105.96026490066225,54000.0,5.960264900662252,6,2024-01-19,2026-08-31,100.0,106.0,100.0,6.0,0.0,1.0,0,0.0,0,2.670157068062827,True,1147.0,-818.0,,3.4491017964071857,1,True,2026-08-31,False,False,False,False,False,,1146.0,817.0,100.0,960000,0,0.0
W-000020,MP-MH-005,Maharashtra,Maharashtra Demo Constituency 5,Maharashtra Demo District 1,Community Infrastructure,Public Waiting Hall,IA-MH-005,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-04-07,2024-05-01,2024-05-14,2024-12-16,2024-06-12,1991000,1990000,1942000.0,0.9994977398292315,0.9753892516323456,0.9758793969849247,24.0,216.0,13.0,3,1852000,1,761000.0,617333.3333333334,0.4109071274298056,1.0,2024-08-07,2025-04-13,506.0,1,True,0,95.36560247167868,0.0,0.0,6,2024-10-25,2026-08-31,100.0,95.4,100.0,-4.599999999999994,0.0,1.0,0,0.0,0,3.688888888888889,True,811.0,-624.0,,3.888888888888889,1,True,2026-08-31,True,False,False,False,False,1852000.0,810.0,623.0,100.0,1852000,0,0.0
W-000021,MP-TS-003,Telangana,Telangana Demo Constituency 3,Telangana Demo District 1,Roads & Bridges,Approach Road,IA-TS-005,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-02-14,2024-03-30,2024-04-17,2024-11-16,2024-04-19,4096000,4123000,4048000.0,1.006591796875,0.98828125,0.9818093621149648,45.0,213.0,18.0,6,4217000,1,1084000.0,702833.3333333334,0.25705477827839696,1.0,2024-05-01,2025-02-28,550.0,1,True,0,104.17490118577075,169000.0,4.174901185770751,6,2024-09-10,2026-08-31,100.0,104.2,100.0,4.200000000000003,0.0,1.0,0,0.0,0,3.233333333333333,True,865.0,-654.0,,4.070422535211268,1,True,2026-08-31,False,False,False,False,False,,864.0,653.0,100.0,4217000,0,0.0
W-000022,MP-OD-006,Odisha,Odisha Rajya Sabha Seat,Odisha Demo District 3,Sanitation,Drainage,IA-OD-003,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-04-27,2024-05-17,2024-05-25,2025-03-12,2024-05-20,2574000,2757000,2784000.0,1.0710955710955712,1.0815850815850816,1.0097932535364527,20.0,291.0,8.0,2,2905000,1,1792000.0,1452500.0,0.6168674698795181,1.0,2024-10-01,2025-02-24,554.0,1,True,0,104.34626436781609,121000.0,4.346264367816092,4,2024-12-14,2026-08-31,100.0,104.3,100.0,4.299999999999997,0.0,1.0,0,0.0,0,3.7584,True,834.0,-538.0,,2.8487972508591066,1,True,2026-08-31,False,False,False,False,False,,833.0,537.0,100.0,2905000,0,0.0
W-000023,MP-KA-005,Karnataka,Karnataka Demo Constituency 5,Karnataka Demo District 1,Roads & Bridges,Approach Road,IA-KA-006,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2026-02-24,2026-03-03,2026-03-30,2026-12-29,2026-04-28,2991000,3083000,3150000.0,1.0307589434971582,1.053159478435306,1.0217320791436912,7.0,274.0,27.0,5,1344000,1,421000.0,268800.0,0.3132440476190476,1.0,2026-05-19,2026-08-16,16.0,0,False,0,42.66666666666667,0.0,0.0,8,2026-05-13,2026-08-31,50.0,42.7,45.6,-7.299999999999997,-4.399999999999999,1.0,1,0.6999999999999993,0,12.136363636363637,True,126.0,119.0,0.0,0.5656934306569343,0,False,,False,False,False,False,False,,,,50.0,1344000,0,0.0
W-000024,MP-KA-002,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 4,Roads & Bridges,Small Bridge,IA-KA-001,Sanctioned,Completed,2026-09-01,COMPLETION,False,2023-05-13,2023-06-23,2023-07-28,2024-06-08,2023-07-27,2009000,2136000,2184000.0,1.0632155301144848,1.0871080139372822,1.0224719101123596,41.0,316.0,35.0,3,2077000,1,775000.0,692333.3333333334,0.373134328358209,1.0,2024-01-26,2024-05-30,824.0,1,True,0,95.1007326007326,0.0,0.0,3,2024-08-07,2026-08-31,100.0,95.1,100.0,-4.900000000000006,0.0,1.0,0,0.0,0,2.7334217506631298,True,1132.0,-815.0,,3.579113924050633,1,True,2026-08-31,False,False,False,False,False,,1131.0,814.0,100.0,2077000,0,0.0
W-000025,MP-KA-002,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 2,Roads & Bridges,Small Bridge,IA-KA-003,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-07-23,2024-09-10,2024-10-25,2025-06-19,2024-10-21,4211000,4356000,4510000.0,1.0344336262170506,1.0710045119924008,1.0353535353535352,49.0,237.0,45.0,4,4269000,1,1340000.0,1067250.0,0.31389084094635744,1.0,2025-02-22,2025-07-18,410.0,1,True,0,94.65631929046563,0.0,0.0,8,2025-01-13,2026-08-31,100.0,94.7,100.0,-5.299999999999997,0.0,1.0,0,0.0,0,4.72436974789916,True,680.0,-439.0,,2.852320675105485,1,True,2026-08-31,False,False,False,False,False,,679.0,438.0,100.0,4269000,0,0.0
W-000026,MP-AP-004,Andhra Pradesh,Andhra Pradesh Demo Constituency 4,Andhra Pradesh Demo District 1,Drinking Water,RO Water Plant,IA-AP-004,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2025-11-19,2025-11-27,2025-12-05,2026-09-14,2025-12-16,2268000,2360000,2367000.0,1.0405643738977073,1.0436507936507937,1.0029661016949152,8.0,283.0,8.0,4,2233000,1,705000.0,558250.0,0.31571876399462606,1.0,2025-12-27,2026-07-31,32.0,0,False,0,94.33882551753274,0.0,0.0,3,2026-03-12,2026-08-31,87.6,94.3,91.2,6.700000000000003,3.6000000000000085,1.0,0,0.0,0,10.11627906976744,True,259.0,13.0,0.0,0.9540636042402827,0,False,,False,False,False,False,False,,,,87.6,2233000,0,0.0
W-000027,MP-KA-003,Karnataka,Karnataka Demo Constituency 3,Karnataka Demo District 2,Health,PHC Equipment Room,IA-KA-006,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2025-10-31,2025-12-19,2025-12-27,2026-11-26,2026-01-15,1152000,1220000,1663000.0,1.0590277777777777,1.4435763888888888,1.3631147540983606,49.0,334.0,8.0,3,1395000,1,511000.0,465000.0,0.36630824372759857,1.0,2026-03-25,2026-08-17,15.0,0,False,0,83.88454600120264,0.0,0.0,6,2026-02-22,2026-08-31,83.2,83.9,68.3,0.7000000000000028,-14.900000000000006,1.0,1,0.3999999999999986,0,10.784210526315789,True,229.0,86.0,0.0,0.7425149700598802,0,False,,False,False,False,False,False,,,,83.2,1395000,0,0.0
W-000028,MP-TS-003,Telangana,Telangana Demo Constituency 3,Telangana Demo District 2,Drinking Water,Water Tank,IA-TS-004,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-08-09,2024-09-10,2024-09-24,2025-05-26,2024-10-04,1925000,2031000,2077000.0,1.055064935064935,1.078961038961039,1.0226489414081734,32.0,244.0,14.0,3,2181000,1,1104000.0,727000.0,0.5061898211829436,1.0,2024-10-24,2025-07-05,423.0,1,True,0,105.00722195474242,104000.0,5.007221954742417,6,2025-01-28,2026-08-31,100.0,105.0,100.0,5.0,0.0,1.0,0,0.0,0,4.231034482758621,True,697.0,-463.0,,2.8975409836065573,1,True,2026-08-31,False,False,False,False,False,,696.0,462.0,100.0,2181000,0,0.0
W-000029,MP-MH-002,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 3,Sanitation,Public Toilet,IA-MH-003,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2026-05-06,2026-05-13,2026-05-24,2026-11-22,2026-06-09,1124000,1197000,1179000.0,1.0649466192170818,1.048932384341637,0.9849624060150376,7.0,182.0,11.0,5,571000,1,168000.0,114200.0,0.29422066549912435,1.0,2026-06-24,2026-08-29,3.0,0,False,0,48.43087362171332,0.0,0.0,4,2026-06-29,2026-08-31,47.4,48.4,45.6,1.0,-1.7999999999999972,1.0,0,0.0,0,15.047619047619047,True,84.0,82.0,0.0,0.5494505494505495,0,False,,False,False,False,False,False,,,,47.4,571000,0,0.0
W-000030,MP-RJ-004,Rajasthan,Rajasthan Demo Constituency 4,Rajasthan Demo District 4,Sanitation,Drainage,,Pending,Not Applicable,2026-09-01,PRE_SANCTION,False,2025-08-05,,,,,2559000,2456000,,0.9597499023055881,,,,,,0,0,0,,,,,,,,0,False,0,,,,0,,,,,,,,,0,0.0,0,,False,,,,,0,False,,False,False,False,False,False,,,,0.0,0,0,
W-000031,MP-OD-004,Odisha,Odisha Demo Constituency 4,Odisha Demo District 1,Community Infrastructure,Public Waiting Hall,IA-OD-002,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2026-01-15,2026-03-03,2026-04-04,2027-02-15,2026-04-20,3395000,3455000,3448000.0,1.0176730486008836,1.0156111929307805,0.9979739507959479,47.0,317.0,32.0,2,1084000,1,758000.0,542000.0,0.6992619926199262,1.0,2026-05-30,2026-06-28,65.0,0,False,0,31.438515081206496,0.0,0.0,4,2026-05-23,2026-08-31,34.6,31.4,42.0,-3.200000000000003,7.399999999999999,1.0,0,0.0,0,8.580000000000002,True,134.0,167.0,0.0,0.47318611987381703,0,False,,False,False,False,False,False,,,,34.6,1084000,0,0.0
W-000032,MP-RJ-005,Rajasthan,Rajasthan Demo Constituency 5,Rajasthan Demo District 3,Drinking Water,Water Tank,IA-RJ-002,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2026-02-19,2026-03-10,2026-04-15,2027-01-12,2026-05-14,1832000,1782000,1839000.0,0.972707423580786,1.0038209606986899,1.031986531986532,19.0,272.0,36.0,2,724000,1,392000.0,362000.0,0.5414364640883977,1.0,2026-08-07,2026-08-24,8.0,0,False,0,39.36922240348015,0.0,0.0,8,2026-05-27,2026-08-31,39.7,39.4,40.1,-0.30000000000000426,0.3999999999999986,1.0,1,9.899999999999999,0,11.843750000000002,True,110.0,133.0,0.0,0.5110294117647058,0,False,,False,False,False,False,False,,,,39.7,724000,0,0.0
