group_type,group_value,metric,month,current_value,current_event_count,baseline_month_count,historical_event_support,median,mad,q1,q3,iqr,p10,p90,robust_z,deviation_method,ewma,trend_deviation_flag
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-11,11.0,11,6,46,7.0,2.0,5.25,9.5,4.25,5.0,11.0,1.349,MAD,9.052944224439997,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-12,3.0,3,6,52,9.0,2.5,6.5,10.75,4.25,5.5,11.5,-1.6187999999999998,MAD,7.237060957107998,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-01,12.0,12,6,47,8.0,3.0,5.25,10.75,5.5,4.0,11.5,0.8993333333333333,MAD,8.665942669975598,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-02,15.0,15,6,53,10.5,1.5,6.25,11.75,5.5,4.0,12.0,2.0235,MAD,10.566159868982918,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-03,20.0,20,6,63,11.5,1.0,10.25,12.0,1.75,6.5,13.5,5.73325,MAD,13.396311908288041,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-04,4.0,4,6,73,12.0,2.0,11.25,14.25,3.0,7.0,17.5,-2.698,MAD,10.577418335801628,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-05,23.0,23,6,65,11.5,5.5,5.75,14.25,8.5,3.5,17.5,1.4103181818181818,MAD,14.304192835061139,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-06,12.0,12,6,77,13.5,8.0,6.0,18.75,12.75,3.5,21.5,-0.12646875,MAD,13.612934984542797,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-07,14.0,14,6,86,13.5,4.0,12.0,18.75,6.75,8.0,21.5,0.0843125,MAD,13.729054489179958,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-08,15.0,15,6,88,14.5,4.0,12.5,18.75,6.25,8.0,21.5,0.0843125,MAD,14.11033814242597,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-09,22.0,22,6,88,14.5,4.0,12.5,18.75,6.25,8.0,21.5,1.2646875,MAD,16.477236699698178,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-10,16.0,16,6,90,14.5,5.0,12.5,20.25,7.75,8.0,22.5,0.20234999999999997,MAD,16.334065689788723,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-11,15.0,15,6,102,15.5,2.5,14.25,20.5,6.25,13.0,22.5,-0.1349,MAD,15.933845982852105,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2025-12,20.0,20,6,94,15.0,1.0,14.25,15.75,1.5,13.0,19.0,3.3725,MAD,17.153692187996473,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-01,34.0,34,6,102,15.5,1.0,15.0,19.0,4.0,14.5,21.0,12.47825,MAD,22.20758453159753,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-02,17.0,17,6,122,18.0,3.0,15.25,21.5,6.25,15.0,28.0,-0.22483333333333333,MAD,20.645309172118267,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-03,35.0,35,6,124,18.5,3.0,16.25,21.5,5.25,15.5,28.0,3.7097499999999997,MAD,24.951716420482786,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-04,26.0,26,6,137,18.5,3.0,16.25,30.5,14.25,15.5,34.5,1.68625,MAD,25.26620149433795,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-05,36.0,36,6,147,23.0,7.0,17.75,32.0,14.25,16.0,34.5,1.2526428571428572,MAD,28.486341046036564,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-06,39.0,39,6,168,30.0,5.5,21.5,34.75,13.25,18.5,35.5,1.1037272727272727,MAD,31.640438732225594,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-07,35.0,35,6,187,34.5,3.0,28.0,35.75,7.75,21.5,37.5,0.11241666666666666,MAD,32.648307112557916,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2026-08,133.0,133,6,188,35.0,2.5,28.25,35.75,7.5,21.5,37.5,26.4404,MAD,62.75381497879054,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-04,4.0,4,0,0,,,,,,,,,INSUFFICIENT_PRIOR_MONTHS,4.0,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-05,3.0,3,1,4,4.0,0.0,4.0,4.0,0.0,4.0,4.0,,INSUFFICIENT_PRIOR_MONTHS,3.6999999999999997,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-06,4.0,4,2,7,3.5,0.5,3.25,3.75,0.5,3.1,3.9,,INSUFFICIENT_PRIOR_MONTHS,3.79,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-07,6.0,6,3,11,4.0,0.0,3.5,4.0,0.5,3.2,4.0,,INSUFFICIENT_PRIOR_MONTHS,4.452999999999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-08,3.0,3,4,17,4.0,0.5,3.75,4.5,0.75,3.3,5.4,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,4.017099999999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-09,4.0,4,5,20,4.0,1.0,3.0,4.0,1.0,3.0,5.2,0.0,MAD,4.011969999999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-10,2.0,2,6,24,4.0,0.5,3.25,4.0,0.75,3.0,5.0,-2.698,MAD,3.408378999999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-11,4.0,4,6,22,3.5,0.5,3.0,4.0,1.0,2.5,5.0,0.6745,MAD,3.585865299999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-12,7.0,7,6,23,4.0,0.5,3.25,4.0,0.75,2.5,5.0,4.047,MAD,4.610105709999999,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-01,2.0,2,6,26,4.0,1.5,3.25,5.5,2.25,2.5,6.5,-0.8993333333333333,MAD,3.8270739969999994,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-02,5.0,5,6,22,3.5,1.0,2.25,4.0,1.75,2.0,5.5,1.01175,MAD,4.1789517979,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-03,2.0,2,6,24,4.0,1.5,2.5,4.75,2.25,2.0,6.0,-0.8993333333333333,MAD,3.52526625853,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-04,5.0,5,6,22,3.0,1.0,2.0,4.75,2.75,2.0,6.0,1.349,MAD,3.9676863809709997,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-05,2.0,2,6,25,4.5,1.5,2.5,5.0,2.5,2.0,6.0,-1.1241666666666668,MAD,3.3773804666797,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-06,5.0,5,6,23,3.5,1.5,2.0,5.0,3.0,2.0,6.0,0.6745,MAD,3.8641663266757895,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-07,4.0,4,6,21,3.5,1.5,2.0,5.0,3.0,2.0,5.0,0.22483333333333333,MAD,3.9049164286730527,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-08,8.0,8,6,23,4.5,0.5,2.5,5.0,2.5,2.0,5.0,4.7215,MAD,5.133441500071136,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-09,5.0,5,6,26,4.5,1.5,2.5,5.0,2.5,2.0,6.5,0.22483333333333333,MAD,5.093409050049795,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-10,4.0,4,6,29,5.0,0.5,4.25,5.0,0.75,3.0,6.5,-1.349,MAD,4.765386335034856,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-11,1.0,1,6,28,4.5,0.5,4.0,5.0,1.0,3.0,6.5,-4.7215,MAD,3.635770434524399,True
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2024-12,2.0,2,6,27,4.5,0.5,4.0,5.0,1.0,2.5,6.5,-3.3725,MAD,3.145039304167079,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-01,3.0,3,6,24,4.0,1.5,2.5,4.75,2.25,1.5,6.5,-0.44966666666666666,MAD,3.101527512916955,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-02,3.0,3,6,23,3.5,1.5,2.25,4.75,2.5,1.5,6.5,-0.22483333333333333,MAD,3.0710692590418684,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-03,2.0,2,6,18,3.0,1.0,2.25,3.75,1.5,1.5,4.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.749748481329308,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-04,1.0,1,6,15,2.5,0.5,2.0,3.0,1.0,1.5,3.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.224823936930515,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-05,1.0,1,6,12,2.0,1.0,1.25,2.75,1.5,1.0,3.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.8573767558513605,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-06,2.0,2,6,12,2.0,1.0,1.25,2.75,1.5,1.0,3.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.900163729095952,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-07,2.0,2,6,12,2.0,1.0,1.25,2.75,1.5,1.0,3.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.9301146103671663,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-08,2.0,2,6,11,2.0,0.5,1.25,2.0,0.75,1.0,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.9510802272570165,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-09,2.0,2,6,10,2.0,0.0,1.25,2.0,0.75,1.0,2.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.9657561590799113,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-10,3.0,3,6,10,2.0,0.0,1.25,2.0,0.75,1.0,2.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.276029311355938,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-11,8.0,8,6,12,2.0,0.0,2.0,2.0,0.0,1.5,2.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3.9932205179491564,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2025-12,1.0,1,6,19,2.0,0.0,2.0,2.75,0.75,2.0,5.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3.0952543625644093,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-01,3.0,3,6,18,2.0,0.5,2.0,2.75,0.75,1.5,5.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3.066678053795086,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-02,5.0,5,6,19,2.5,0.5,2.0,3.0,1.0,1.5,5.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3.64667463765656,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-03,6.0,6,6,22,3.0,1.5,2.25,4.5,2.25,1.5,6.5,1.349,MAD,4.3526722463595915,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-04,1.0,1,6,26,4.0,1.5,3.0,5.75,2.75,2.0,7.0,-1.349,MAD,3.3468705724517136,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-05,2.0,2,6,24,4.0,2.5,1.5,5.75,4.25,1.0,7.0,-0.5396,MAD,2.9428094007161993,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-06,0.0,0,6,18,2.5,1.5,1.25,4.5,3.25,1.0,5.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.0599665805013396,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-07,0.0,0,6,17,2.5,2.0,1.25,4.5,3.25,0.5,5.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.4419766063509376,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2026-08,0.0,0,6,14,1.5,1.5,0.25,4.25,4.0,0.0,5.5,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,1.0093836244456562,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-04,7886000.0,4,0,0,,,,,,,,,INSUFFICIENT_PRIOR_MONTHS,7886000.0,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-05,8538000.0,3,1,4,7886000.0,0.0,7886000.0,7886000.0,0.0,7886000.0,7886000.0,,INSUFFICIENT_PRIOR_MONTHS,8081600.0,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-06,5200000.0,4,2,7,8212000.0,326000.0,8049000.0,8375000.0,326000.0,7951200.0,8472800.0,,INSUFFICIENT_PRIOR_MONTHS,7217120.0,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-07,9858000.0,6,3,11,7886000.0,652000.0,6543000.0,8212000.0,1669000.0,5737200.0,8407600.0,,INSUFFICIENT_PRIOR_MONTHS,8009384.0,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-08,6893000.0,3,4,17,8212000.0,986000.0,7214500.0,8868000.0,1653500.0,6005800.0,9462000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,7674468.8,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-09,7652000.0,4,5,20,7886000.0,993000.0,6893000.0,8538000.0,1645000.0,5877200.0,9330000.0,-0.15894561933534743,MAD,7667728.159999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-10,3840000.0,2,6,24,7769000.0,822500.0,7082750.0,8375000.0,1292250.0,6046500.0,9198000.0,-3.2220188449848024,MAD,6519409.711999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-11,6251000.0,4,6,22,7272500.0,1669000.0,5623250.0,8316500.0,2693250.0,4520000.0,9198000.0,-0.4128230976632714,MAD,6438886.798399999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2023-12,11646000.0,7,6,23,6572000.0,1226000.0,5462750.0,7462250.0,1999500.0,4520000.0,8755000.0,2.791527732463295,MAD,8001020.758879999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-01,3920000.0,2,6,26,7272500.0,1803500.0,6411500.0,9306500.0,2895000.0,5045500.0,10752000.0,-1.2538182700304963,MAD,6776714.531215998,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-02,10764000.0,5,6,22,6572000.0,1866000.0,4502750.0,7462250.0,2959500.0,3880000.0,9649000.0,1.5152754555198285,MAD,7972900.171851198,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-03,4985000.0,2,6,24,6951500.0,3071500.0,4502750.0,9986000.0,5483250.0,3880000.0,11205000.0,-0.43184250366270555,MAD,7076530.120295838,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-04,7369000.0,5,6,22,5618000.0,1738000.0,4186250.0,9635750.0,5449500.0,3880000.0,11205000.0,0.679545166858458,MAD,7164271.084207087,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-05,3811000.0,2,6,25,6810000.0,2357500.0,5301500.0,9915250.0,4613750.0,4452500.0,11205000.0,-0.8580383881230117,MAD,6158289.75894496,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-06,11185000.0,5,6,23,6177000.0,2311500.0,4186250.0,9915250.0,5729000.0,3865500.0,11205000.0,1.4613437162016008,MAD,7666302.831261472,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-07,6783000.0,4,6,21,6177000.0,2311500.0,4186250.0,9915250.0,5729000.0,3865500.0,10974500.0,0.17683192731992212,MAD,7401311.98188303,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-08,13290000.0,8,6,23,7076000.0,2678000.0,5434500.0,9915250.0,4480750.0,4398000.0,10974500.0,1.565101941747573,MAD,9167918.387318121,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-09,10340000.0,5,6,26,7076000.0,2678000.0,5434500.0,10231000.0,4796500.0,4398000.0,12237500.0,0.8220941000746826,MAD,9519542.871122684,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-10,4355000.0,4,6,29,8854500.0,2201000.0,6929500.0,10973750.0,4044250.0,5297000.0,12237500.0,-1.3788790322580644,MAD,7970180.0097858785,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-11,2709000.0,1,6,28,8561500.0,3415000.0,4962000.0,10973750.0,6011750.0,4083000.0,12237500.0,-1.1559330161054173,MAD,6391826.006850115,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2024-12,4118000.0,2,6,27,8561500.0,3415000.0,4962000.0,10973750.0,6011750.0,3532000.0,12237500.0,-0.8776400439238653,MAD,5709678.20479508,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-01,6310000.0,3,6,24,5569000.0,2155500.0,4177250.0,9450750.0,5273500.0,3413500.0,11815000.0,0.23187404314544188,MAD,5889774.743356556,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-02,5300000.0,3,6,23,5332500.0,1919000.0,4177250.0,9332500.0,5155250.0,3413500.0,11815000.0,-0.011423267326732673,MAD,5712842.320349589,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-03,2892000.0,2,6,18,4827500.0,1096000.0,4177250.0,6057500.0,1880250.0,3413500.0,8325000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,4866589.624244712,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-04,1847000.0,1,6,15,4236500.0,1204000.0,3198500.0,5063750.0,1865250.0,2800500.0,5805000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3960712.736971298,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-05,2566000.0,1,6,12,3505000.0,1227000.0,2754750.0,5004500.0,2249750.0,2278000.0,5805000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3542298.9158799085,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-06,3317000.0,2,6,12,3505000.0,1298500.0,2647500.0,5004500.0,2357000.0,2206500.0,5805000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3474709.2411159356,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-07,2589000.0,2,6,12,3104500.0,898000.0,2647500.0,4804250.0,2156750.0,2206500.0,5805000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3208996.4687811546,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-08,5646000.0,2,6,11,2740500.0,375500.0,2571750.0,3210750.0,639000.0,2206500.0,4308500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3940097.528146808,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-09,2844000.0,2,6,10,2740500.0,375500.0,2571750.0,3210750.0,639000.0,2206500.0,4481500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3611268.2697027656,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-10,8830000.0,3,6,10,2716500.0,375500.0,2571750.0,3198750.0,627000.0,2206500.0,4481500.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,5176887.788791936,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-11,17012000.0,8,6,12,3080500.0,503000.0,2652750.0,5063750.0,2411000.0,2577500.0,7238000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,8727421.452154355,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2025-12,758000.0,1,6,19,4481500.0,1765000.0,2962250.0,8034000.0,5071750.0,2716500.0,12921000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,6336595.016508048,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2026-01,7927000.0,3,6,18,4245000.0,2571500.0,2652750.0,8034000.0,5381250.0,1673500.0,12921000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,6813716.5115556335,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2026-02,10371000.0,5,6,19,6786500.0,2993000.0,3544500.0,8604250.0,5059750.0,1801000.0,12921000.0,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,7880901.558088943,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2026-03,11301000.0,6,6,22,8378500.0,3763500.0,4114750.0,9985750.0,5871000.0,1801000.0,13691500.0,0.5237747442540188,MAD,8906931.09066226,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2026-04,1849000.0,1,6,26,9600500.0,1687000.0,8152750.0,11068500.0,2915750.0,4342500.0,14156500.0,-3.099221547125074,MAD,6789551.763463581,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommended_amount_inr,2026-05,4060000.0,2,6,24,9149000.0,4726000.0,3368500.0,11068500.0,7700000.0,1303500.0,14156500.0,-0.7263077655522641,MAD,5970686.234424506,False
