work_id,payment_auth_before_request_count,payment_release_before_auth_count,duplicate_pfms_reference_count,zero_value_released_payment_count,payment_after_completion_count,payment_after_final_payment_count,multiple_final_payments_count,released_total_exceeds_sanction_count,payment_irregularity_evidence_count,has_payment_irregularity_evidence
W-000041,0,0,0,0,0,0,0,1,1,True
W-000042,0,0,0,0,0,0,0,0,0,False
W-000043,0,0,0,0,0,0,0,0,0,False
W-000044,1,0,0,0,0,0,0,1,2,True
W-000045,0,0,0,0,0,0,0,0,0,False
W-000046,0,0,0,0,0,0,0,1,1,True
W-000047,1,0,0,0,0,0,0,1,2,True
W-000048,0,0,0,0,0,0,0,1,1,True
W-000049,0,0,0,0,0,0,0,1,1,True
W-000050,0,0,0,0,0,0,0,1,1,True
W-000051,0,0,0,0,0,0,0,1,1,True
W-000052,0,0,0,0,0,0,0,0,0,False
W-000053,1,0,0,0,0,0,0,0,1,True
W-000054,1,0,0,0,0,0,0,1,2,True
W-000055,1,0,0,0,0,0,0,0,1,True
W-000056,0,0,0,0,0,0,0,0,0,False
W-000057,0,0,0,0,0,0,0,0,0,False
W-000058,0,0,0,0,0,0,0,0,0,False
W-000059,0,0,0,0,0,0,0,0,0,False
W-000060,0,0,0,0,0,0,0,1,1,True
W-000061,0,0,0,0,0,0,0,1,1,True
W-000062,0,0,0,0,0,0,0,0,0,False
W-000063,0,0,0,0,0,0,0,1,1,True
W-000064,1,0,0,0,0,0,0,1,2,True
W-000065,0,0,0,0,0,0,0,1,1,True
W-000066,1,0,0,0,0,0,0,1,2,True
W-000067,0,0,0,0,0,0,0,1,1,True
W-000068,0,0,0,0,0,0,0,0,0,False
W-000069,1,0,0,0,0,0,0,1,2,True
W-000070,0,0,0,0,0,0,0,0,0,False
W-000071,0,0,0,0,0,0,0,0,0,False
W-000072,0,0,0,0,0,0,0,0,0,False
W-000073,0,0,0,0,0,0,0,0,0,False
W-000074,0,0,0,0,0,0,0,0,0,False
W-000075,0,0,0,0,0,0,0,0,0,False
W-000076,0,0,0,0,0,0,0,0,0,False
W-000077,2,0,0,0,0,0,0,0,2,True
W-000078,0,0,0,0,0,0,0,0,0,False
W-000079,1,0,0,0,0,0,0,0,1,True
W-000080,0,0,0,0,0,0,0,0,0,False
W-000081,0,0,0,0,0,0,0,0,0,False
W-000082,0,0,0,0,0,0,0,1,1,True
W-000083,0,0,0,0,0,0,0,1,1,True
W-000084,1,0,0,0,0,0,0,0,1,True
W-000085,2,0,0,0,0,0,0,1,3,True
W-000086,0,0,0,0,0,0,0,0,0,False
W-000087,0,0,0,0,0,0,0,0,0,False
W-000088,0,0,0,0,0,0,0,1,1,True
W-000089,1,0,0,0,0,0,0,0,1,True
W-000090,0,0,0,0,0,0,0,1,1,True
W-000091,0,0,0,0,0,0,0,1,1,True
W-000092,0,0,0,0,0,0,0,1,1,True
W-000093,1,0,0,0,0,0,0,1,2,True
W-000094,0,0,0,0,0,0,0,0,0,False
W-000095,0,0,0,0,0,0,0,1,1,True
W-000096,0,0,0,0,0,0,0,0,0,False
W-000097,0,0,0,0,0,0,0,0,0,False
W-000098,0,0,0,0,0,0,0,0,0,False
W-000099,0,0,0,0,0,0,0,1,1,True
W-000100,0,0,0,0,0,0,0,0,0,False
W-000101,1,0,0,0,0,0,0,0,1,True
W-000102,0,0,0,0,0,0,0,0,0,False
W-000103,1,0,0,0,0,0,0,1,2,True
W-000104,0,0,0,0,0,0,0,0,0,False
W-000105,0,0,0,0,0,0,0,0,0,False
W-000106,0,0,0,0,0,0,0,0,0,False
W-000107,0,0,0,0,0,0,0,1,1,True
W-000108,0,0,0,0,0,0,0,0,0,False
W-000109,1,0,0,0,0,0,0,1,2,True
W-000110,0,0,0,0,0,0,0,0,0,False
W-000111,0,0,0,0,0,0,0,0,0,False
W-000112,0,0,0,0,0,0,0,0,0,False
W-000113,0,0,0,0,0,0,0,1,1,True
W-000114,1,0,0,0,0,0,0,0,1,True
W-000115,1,0,0,0,0,0,0,0,1,True
W-000116,0,0,0,0,0,0,0,0,0,False
W-000117,1,0,0,0,0,0,0,1,2,True
W-000118,0,0,0,0,0,0,0,1,1,True
W-000119,0,0,0,0,0,0,0,0,0,False
W-000120,0,0,0,0,0,0,0,1,1,True
W-000121,0,0,0,0,0,0,0,1,1,True
W-000122,0,0,0,0,0,0,0,1,1,True
W-000123,0,0,0,0,0,0,0,1,1,True
W-000124,0,0,0,0,0,0,0,0,0,False
W-000125,0,0,0,0,0,0,0,0,0,False
W-000126,0,0,0,0,0,0,0,0,0,False
W-000127,0,0,0,0,0,0,0,1,1,True
W-000128,0,0,0,0,0,0,0,1,1,True
W-000129,0,0,0,0,0,0,0,0,0,False
W-000130,0,0,0,0,0,0,0,1,1,True
W-000131,1,0,0,0,0,0,0,1,2,True
W-000132,1,0,0,0,0,0,0,0,1,True
W-000133,0,0,0,0,0,0,0,0,0,False
W-000134,0,0,0,0,0,0,0,0,0,False
W-000135,1,0,0,0,0,0,0,1,2,True
W-000136,0,0,0,0,0,0,0,1,1,True
W-000137,0,0,0,0,0,0,0,1,1,True
W-000138,0,0,0,0,0,0,0,0,0,False
W-000139,2,0,0,0,0,0,0,1,3,True
W-000140,0,0,0,0,0,0,0,1,1,True
W-000141,0,0,0,0,0,0,0,1,1,True
W-000142,0,0,0,0,0,0,0,0,0,False
W-000143,0,0,0,0,0,0,0,1,1,True
W-000144,0,0,0,0,0,0,0,0,0,False
W-000145,0,0,0,0,0,0,0,1,1,True
W-000146,1,0,0,0,0,0,0,1,2,True
W-000147,0,0,0,0,0,0,0,1,1,True
W-000148,0,0,0,0,0,0,0,0,0,False
W-000149,0,0,0,0,0,0,0,0,0,False
W-000150,1,0,0,0,0,0,0,0,1,True
W-000151,1,0,0,0,0,0,0,1,2,True
W-000152,1,0,0,0,0,0,0,1,2,True
W-000153,0,0,0,0,0,0,0,0,0,False
W-000154,0,0,0,0,0,0,0,1,1,True
W-000155,0,0,0,0,0,0,0,0,0,False
W-000156,0,0,0,0,0,0,0,0,0,False
W-000157,1,0,0,0,0,0,0,1,2,True
W-000158,0,0,0,0,0,0,0,0,0,False
W-000159,0,0,0,0,0,0,0,0,0,False
W-000160,0,0,0,0,0,0,0,0,0,False
W-000161,0,0,0,0,0,0,0,0,0,False
W-000162,0,0,0,0,0,0,0,1,1,True
W-000163,0,0,0,0,0,0,0,0,0,False
W-000164,0,0,0,0,0,0,0,0,0,False
W-000165,2,0,0,0,0,0,0,0,2,True
W-000166,1,0,0,0,0,0,0,1,2,True
W-000167,1,0,0,0,0,0,0,1,2,True
W-000168,0,0,0,0,0,0,0,0,0,False
W-000169,0,0,0,0,0,0,0,0,0,False
W-000170,0,0,0,0,0,0,0,0,0,False
W-000171,0,0,0,0,0,0,0,1,1,True
W-000172,0,0,0,0,0,0,0,0,0,False
W-000173,0,0,0,0,0,0,0,0,0,False
W-000174,1,0,0,0,0,0,0,0,1,True
W-000175,0,0,0,0,0,0,0,1,1,True
W-000176,0,0,0,0,0,0,0,0,0,False
W-000177,0,0,0,0,0,0,0,1,1,True
W-000178,0,0,0,0,0,0,0,0,0,False
W-000179,0,0,0,0,0,0,0,0,0,False
W-000180,0,0,0,0,0,0,0,0,0,False
W-000181,1,0,0,0,0,0,0,1,2,True
W-000182,0,0,0,0,0,0,0,0,0,False
W-000183,0,0,0,0,0,0,0,1,1,True
W-000184,0,0,0,0,0,0,0,1,1,True
W-000185,0,0,0,0,0,0,0,1,1,True
W-000186,0,0,0,0,0,0,0,0,0,False
W-000187,1,0,0,0,0,0,0,1,2,True
W-000188,0,0,0,0,0,0,0,0,0,False
W-000189,0,0,0,0,0,0,0,0,0,False
W-000190,0,0,0,0,0,0,0,1,1,True
W-000191,0,0,0,0,0,0,0,0,0,False
W-000192,0,0,0,0,0,0,0,1,1,True
W-000193,0,0,0,0,0,0,0,0,0,False
W-000194,0,0,0,0,0,0,0,0,0,False
W-000195,0,0,0,0,0,0,0,1,1,True
W-000196,0,0,0,0,0,0,0,0,0,False
W-000197,0,0,0,0,0,0,0,1,1,True
W-000198,1,0,0,0,0,0,0,0,1,True
W-000199,0,0,0,0,0,0,0,0,0,False
W-000200,0,0,0,0,0,0,0,1,1,True
W-000201,0,0,0,0,0,0,0,0,0,False
W-000202,0,0,0,0,0,0,0,0,0,False
W-000203,0,0,0,0,0,0,0,0,0,False
W-000204,0,0,0,0,0,0,0,1,1,True
W-000205,0,0,0,0,0,0,0,0,0,False
W-000206,1,0,0,0,0,0,0,0,1,True
W-000207,0,0,0,0,0,0,0,1,1,True
W-000208,0,0,0,0,0,0,0,1,1,True
W-000209,1,0,0,0,0,0,0,0,1,True
W-000210,0,0,0,0,0,0,0,0,0,False
W-000211,0,0,0,0,0,0,0,0,0,False
W-000212,0,0,0,0,0,0,0,1,1,True
W-000213,0,0,0,0,0,0,0,1,1,True
W-000214,0,0,0,0,0,0,0,0,0,False
W-000215,0,0,0,0,0,0,0,0,0,False
W-000216,0,0,0,0,0,0,0,0,0,False
W-000217,1,0,0,0,0,0,0,0,1,True
W-000218,2,0,0,0,0,0,0,1,3,True
W-000219,0,0,0,0,0,0,0,0,0,False
W-000220,0,0,0,0,0,0,0,0,0,False
W-000221,0,0,0,0,0,0,0,1,1,True
W-000222,0,0,0,0,0,0,0,1,1,True
W-000223,0,0,0,0,0,0,0,0,0,False
W-000224,1,0,0,0,0,0,0,0,1,True
W-000225,0,0,0,0,0,0,0,0,0,False
W-000226,0,0,0,0,0,0,0,1,1,True
W-000227,1,0,0,0,0,0,0,1,2,True
W-000228,1,0,0,0,0,0,0,1,2,True
W-000229,1,0,0,0,0,0,0,0,1,True
W-000230,0,0,0,0,0,0,0,0,0,False
W-000231,0,0,0,0,0,0,0,0,0,False
W-000232,0,0,0,0,0,0,0,0,0,False
W-000233,2,0,0,0,0,0,0,1,3,True
W-000234,0,0,0,0,0,0,0,1,1,True
W-000235,3,0,0,0,0,0,0,1,4,True
W-000236,0,0,0,0,0,0,0,0,0,False
W-000237,0,0,0,0,0,0,0,1,1,True
W-000238,0,0,0,0,0,0,0,1,1,True
W-000239,1,0,0,0,0,0,0,1,2,True
W-000240,0,0,0,0,0,0,0,1,1,True
W-000241,0,0,0,0,0,0,0,0,0,False
W-000242,1,0,0,0,0,0,0,0,1,True
W-000243,0,0,0,0,0,0,0,0,0,False
W-000244,1,0,0,0,0,0,0,0,1,True
W-000245,0,0,0,0,0,0,0,0,0,False
W-000246,0,0,0,0,0,0,0,1,1,True
W-000247,0,0,0,0,0,0,0,1,1,True
W-000248,1,0,0,0,0,0,0,1,2,True
W-000249,0,0,0,0,0,0,0,0,0,False
W-000250,0,0,0,0,0,0,0,1,1,True
W-000251,0,0,0,0,0,0,0,0,0,False
W-000252,0,0,0,0,0,0,0,1,1,True
W-000253,0,0,0,0,0,0,0,1,1,True
W-000254,1,0,0,0,0,0,0,1,2,True
W-000255,0,0,0,0,0,0,0,1,1,True
W-000256,0,0,0,0,0,0,0,0,0,False
W-000257,1,0,0,0,0,0,0,0,1,True
W-000258,1,0,0,0,0,0,0,0,1,True
W-000259,0,0,0,0,0,0,0,1,1,True
W-000260,0,0,0,0,0,0,0,0,0,False
W-000261,0,0,0,0,0,0,0,0,0,False
W-000262,0,0,0,0,0,0,0,0,0,False
W-000263,0,0,0,0,0,0,0,0,0,False
W-000264,0,0,0,0,0,0,0,1,1,True
W-000265,0,0,0,0,0,0,0,0,0,False
W-000266,0,0,0,0,0,0,0,1,1,True
W-000267,0,0,0,0,0,0,0,0,0,False
W-000268,1,0,0,0,0,0,0,1,2,True
W-000269,0,0,0,0,0,0,0,0,0,False
W-000270,0,0,0,0,0,0,0,0,0,False
W-000271,1,0,0,0,0,0,0,0,1,True
W-000272,0,0,0,0,0,0,0,1,1,True
W-000273,0,0,0,0,0,0,0,0,0,False
W-000274,0,0,0,0,0,0,0,0,0,False
W-000275,0,0,0,0,0,0,0,0,0,False
W-000276,0,0,0,0,0,0,0,1,1,True
W-000277,1,0,0,0,0,0,0,0,1,True
W-000278,1,0,0,0,0,0,0,0,1,True
W-000279,0,0,0,0,0,0,0,0,0,False
W-000280,0,0,0,0,0,0,0,0,0,False
W-000281,1,0,0,0,0,0,0,0,1,True
W-000282,1,0,0,0,0,0,0,1,2,True
W-000283,1,0,0,0,0,0,0,1,2,True
W-000284,0,0,0,0,0,0,0,1,1,True
W-000285,1,0,0,0,0,0,0,1,2,True
W-000286,0,0,0,0,0,0,0,0,0,False
W-000287,1,0,0,0,0,0,0,1,2,True
W-000288,0,0,0,0,0,0,0,0,0,False
W-000289,0,0,0,0,0,0,0,1,1,True
W-000290,0,0,0,0,0,0,0,1,1,True
W-000291,0,0,0,0,0,0,0,1,1,True
W-000292,0,0,0,0,0,0,0,1,1,True
W-000293,0,0,0,0,0,0,0,0,0,False
W-000294,0,0,0,0,0,0,0,0,0,False
W-000295,0,0,0,0,0,0,0,1,1,True
W-000296,0,0,0,0,0,0,0,0,0,False
W-000297,0,0,0,0,0,0,0,0,0,False
W-000298,0,0,0,0,0,0,0,0,0,False
W-000299,0,0,0,0,0,0,0,1,1,True
W-000300,0,0,0,0,0,0,0,0,0,False
W-000301,0,0,0,0,0,0,0,1,1,True
W-000302,0,0,0,0,0,0,0,0,0,False
W-000303,0,0,0,0,0,0,0,0,0,False
W-000304,0,0,0,0,0,0,0,0,0,False
W-000305,0,0,0,0,0,0,0,0,0,False
W-000306,0,0,0,0,0,0,0,1,1,True
W-000307,0,0,0,0,0,0,0,0,0,False
W-000308,0,0,0,0,0,0,0,0,0,False
W-000309,0,0,0,0,0,0,0,1,1,True
W-000310,0,0,0,0,0,0,0,1,1,True
W-000311,0,0,0,0,0,0,0,0,0,False
W-000312,1,0,0,0,0,0,0,1,2,True
W-000313,0,0,0,0,0,0,0,1,1,True
W-000314,0,0,0,0,0,0,0,1,1,True
W-000315,1,0,0,0,0,0,0,0,1,True
W-000316,0,0,0,0,0,0,0,0,0,False
W-000317,0,0,0,0,0,0,0,0,0,False
W-000318,1,0,0,0,0,0,0,1,2,True
W-000319,0,0,0,0,0,0,0,1,1,True
W-000320,2,0,0,0,0,0,0,0,2,True
W-000321,0,0,0,0,0,0,0,1,1,True
W-000322,0,0,0,0,0,0,0,0,0,False
W-000323,0,0,0,0,0,0,0,1,1,True
W-000324,0,0,0,0,0,0,0,0,0,False
W-000325,0,0,0,0,0,0,0,0,0,False
W-000326,1,0,0,0,0,0,0,1,2,True
W-000327,0,0,0,0,0,0,0,1,1,True
W-000328,0,0,0,0,0,0,0,0,0,False
W-000329,0,0,0,0,0,0,0,1,1,True
W-000330,0,0,0,0,0,0,0,1,1,True
W-000331,0,0,0,0,0,0,0,1,1,True
W-000332,0,0,0,0,0,0,0,1,1,True
W-000333,1,0,0,0,0,0,0,0,1,True
W-000334,0,0,0,0,0,0,0,0,0,False
W-000335,0,0,0,0,0,0,0,1,1,True
W-000336,0,0,0,0,0,0,0,0,0,False
W-000337,1,0,0,0,0,0,0,1,2,True
W-000338,2,0,0,0,0,0,0,1,3,True
W-000339,0,0,0,0,0,0,0,0,0,False
W-000340,0,0,0,0,0,0,0,1,1,True
W-000341,0,0,0,0,0,0,0,0,0,False
W-000342,0,0,0,0,0,0,0,0,0,False
W-000343,0,0,0,0,0,0,0,0,0,False
W-000344,0,0,0,0,0,0,0,0,0,False
W-000345,0,0,0,0,0,0,0,0,0,False
W-000346,0,0,0,0,0,0,0,0,0,False
W-000347,0,0,0,0,0,0,0,0,0,False
W-000348,0,0,0,0,0,0,0,0,0,False
W-000349,0,0,0,0,0,0,0,0,0,False
W-000350,0,0,0,0,0,0,0,0,0,False
W-000351,0,0,0,0,0,0,0,0,0,False
W-000352,0,0,0,0,0,0,0,0,0,False
W-000353,0,0,0,0,0,0,0,0,0,False
W-000354,1,0,0,0,0,0,0,0,1,True
W-000355,0,0,0,0,0,0,0,0,0,False
W-000356,0,0,0,0,0,0,0,0,0,False
W-000357,0,0,0,0,0,0,0,0,0,False
W-000358,0,0,0,0,0,0,0,0,0,False
W-000359,0,0,0,0,0,0,0,1,1,True
W-000360,0,0,0,0,0,0,0,0,0,False
W-000361,0,0,0,0,0,0,0,0,0,False
W-000362,1,0,0,0,0,0,0,0,1,True
W-000363,1,0,0,0,0,0,0,1,2,True
W-000364,0,0,0,0,0,0,0,0,0,False
W-000365,1,0,0,0,0,0,0,1,2,True
W-000366,0,0,0,0,0,0,0,1,1,True
W-000367,0,0,0,0,0,0,0,1,1,True
W-000368,1,0,0,0,0,0,0,1,2,True
W-000369,1,0,0,0,0,0,0,0,1,True
W-000370,0,0,0,0,0,0,0,1,1,True
W-000371,0,0,0,0,0,0,0,0,0,False
W-000372,1,0,0,0,0,0,0,0,1,True
W-000373,0,0,0,0,0,0,0,1,1,True
W-000374,0,0,0,0,0,0,0,1,1,True
W-000375,0,0,0,0,0,0,0,0,0,False
W-000376,1,0,0,0,0,0,0,0,1,True
W-000377,0,0,0,0,0,0,0,0,0,False
W-000378,0,0,0,0,0,0,0,0,0,False
W-000379,1,0,0,0,0,0,0,0,1,True
W-000380,0,0,0,0,0,0,0,0,0,False
W-000381,0,0,0,0,0,0,0,1,1,True
W-000382,1,0,0,0,0,0,0,1,2,True
W-000383,0,0,0,0,0,0,0,1,1,True
W-000384,0,0,0,0,0,0,0,0,0,False
W-000385,0,0,0,0,0,0,0,1,1,True
W-000386,1,0,0,0,0,0,0,0,1,True
W-000387,0,0,0,0,0,0,0,1,1,True
W-000388,0,0,0,0,0,0,0,0,0,False
W-000389,0,0,0,0,0,0,0,0,0,False
W-000390,0,0,0,0,0,0,0,1,1,True
W-000391,1,0,0,0,0,0,0,1,2,True
W-000392,1,0,0,0,0,0,0,1,2,True
W-000393,0,0,0,0,0,0,0,0,0,False
W-000394,0,0,0,0,0,0,0,0,0,False
W-000395,0,0,0,0,0,0,0,0,0,False
W-000396,0,0,0,0,0,0,0,0,0,False
W-000397,0,0,0,0,0,0,0,1,1,True
W-000398,1,0,0,0,0,0,0,0,1,True
W-000399,1,0,0,0,0,0,0,1,2,True
W-000400,0,0,0,0,0,0,0,1,1,True
W-000401,0,0,0,0,0,0,0,1,1,True
W-000402,0,0,0,0,0,0,0,1,1,True
W-000403,0,0,0,0,0,0,0,0,0,False
W-000404,0,0,0,0,0,0,0,0,0,False
W-000405,1,0,0,0,0,0,0,0,1,True
W-000406,0,0,0,0,0,0,0,0,0,False
W-000407,0,0,0,0,0,0,0,0,0,False
W-000408,0,0,0,0,0,0,0,1,1,True
W-000409,1,0,0,0,0,0,0,0,1,True
W-000410,2,0,0,0,0,0,0,0,2,True
W-000411,0,0,0,0,0,0,0,1,1,True
W-000412,0,0,0,0,0,0,0,0,0,False
W-000413,0,0,0,0,0,0,0,0,0,False
W-000414,0,0,0,0,0,0,0,0,0,False
W-000415,0,0,0,0,0,0,0,0,0,False
W-000416,0,0,0,0,0,0,0,0,0,False
W-000417,0,0,0,0,0,0,0,0,0,False
W-000418,2,0,0,0,0,0,0,1,3,True
W-000419,0,0,0,0,0,0,0,0,0,False
W-000420,0,0,0,0,0,0,0,1,1,True
W-000421,0,0,0,0,0,0,0,1,1,True
W-000422,0,0,0,0,0,0,0,0,0,False
W-000423,0,0,0,0,0,0,0,0,0,False
W-000424,1,0,0,0,0,0,0,0,1,True
W-000425,0,0,0,0,0,0,0,1,1,True
W-000426,0,0,0,0,0,0,0,1,1,True
W-000427,0,0,0,0,0,0,0,0,0,False
W-000428,0,0,0,0,0,0,0,0,0,False
W-000429,0,0,0,0,0,0,0,0,0,False
W-000430,1,0,0,0,0,0,0,0,1,True
W-000431,0,0,0,0,0,0,0,1,1,True
W-000432,1,0,0,0,0,0,0,0,1,True
W-000433,0,0,0,0,0,0,0,0,0,False
W-000434,0,0,0,0,0,0,0,0,0,False
W-000435,0,0,0,0,0,0,0,0,0,False
W-000436,0,0,0,0,0,0,0,0,0,False
W-000437,0,0,0,0,0,0,0,0,0,False
W-000438,0,0,0,0,0,0,0,1,1,True
W-000439,0,0,0,0,0,0,0,0,0,False
W-000440,0,0,0,0,0,0,0,1,1,True
W-000441,0,0,0,0,0,0,0,1,1,True
W-000442,0,0,0,0,0,0,0,0,0,False
W-000443,1,0,0,0,0,0,0,1,2,True
W-000444,0,0,0,0,0,0,0,0,0,False
W-000445,0,0,0,0,0,0,0,0,0,False
W-000446,0,0,0,0,0,0,0,1,1,True
W-000447,0,0,0,0,0,0,0,0,0,False
W-000448,0,0,0,0,0,0,0,1,1,True
W-000449,1,0,0,0,0,0,0,1,2,True
W-000450,0,0,0,0,0,0,0,0,0,False
W-000451,0,0,0,0,0,0,0,1,1,True
W-000452,0,0,0,0,0,0,0,0,0,False
W-000453,0,0,0,0,0,0,0,0,0,False
W-000454,1,0,0,0,0,0,0,1,2,True
W-000455,0,0,0,0,0,0,0,0,0,False
W-000456,0,0,0,0,0,0,0,0,0,False
W-000457,1,0,0,0,0,0,0,0,1,True
W-000458,0,0,0,0,0,0,0,0,0,False
W-000459,0,0,0,0,0,0,0,0,0,False
W-000460,0,0,0,0,0,0,0,1,1,True
W-000461,2,0,0,0,0,0,0,1,3,True
W-000462,0,0,0,0,0,0,0,0,0,False
W-000463,0,0,0,0,0,0,0,1,1,True
W-000464,0,0,0,0,0,0,0,0,0,False
W-000465,0,0,0,0,0,0,0,0,0,False
W-000466,0,0,0,0,0,0,0,0,0,False
W-000467,0,0,0,0,0,0,0,1,1,True
W-000468,0,0,0,0,0,0,0,0,0,False
W-000469,0,0,0,0,0,0,0,0,0,False
W-000470,1,0,0,0,0,0,0,0,1,True
W-000471,0,0,0,0,0,0,0,0,0,False
W-000472,1,0,0,0,0,0,0,1,2,True
W-000473,0,0,0,0,0,0,0,0,0,False
W-000474,0,0,0,0,0,0,0,1,1,True
W-000475,0,0,0,0,0,0,0,0,0,False
W-000476,0,0,0,0,0,0,0,0,0,False
W-000477,0,0,0,0,0,0,0,1,1,True
W-000478,0,0,0,0,0,0,0,0,0,False
W-000479,1,0,0,0,0,0,0,1,2,True
W-000480,0,0,0,0,0,0,0,0,0,False
W-000481,0,0,0,0,0,0,0,1,1,True
W-000482,1,0,0,0,0,0,0,0,1,True
W-000483,1,0,0,0,0,0,0,1,2,True
W-000484,0,0,0,0,0,0,0,0,0,False
W-000485,0,0,0,0,0,0,0,1,1,True
W-000486,1,0,0,0,0,0,0,0,1,True
W-000487,0,0,0,0,0,0,0,0,0,False
W-000488,1,0,0,0,0,0,0,0,1,True
W-000489,0,0,0,0,0,0,0,1,1,True
W-000490,0,0,0,0,0,0,0,0,0,False
W-000491,0,0,0,0,0,0,0,1,1,True
W-000492,0,0,0,0,0,0,0,0,0,False
W-000493,0,0,0,0,0,0,0,1,1,True
W-000494,0,0,0,0,0,0,0,0,0,False
W-000495,0,0,0,0,0,0,0,0,0,False
W-000496,0,0,0,0,0,0,0,1,1,True
W-000497,0,0,0,0,0,0,0,0,0,False
W-000498,0,0,0,0,0,0,0,0,0,False
W-000499,0,0,0,0,0,0,0,0,0,False
W-000500,0,0,0,0,0,0,0,0,0,False
W-000501,0,0,0,0,0,0,0,1,1,True
W-000502,1,0,0,0,0,0,0,0,1,True
W-000503,0,0,0,0,0,0,0,0,0,False
W-000504,0,0,0,0,0,0,0,0,0,False
W-000505,1,0,0,0,0,0,0,0,1,True
W-000506,0,0,0,0,0,0,0,0,0,False
W-000507,0,0,0,0,0,0,0,0,0,False
W-000508,0,0,0,0,0,0,0,1,1,True
W-000509,0,0,0,0,0,0,0,0,0,False
W-000510,0,0,0,0,0,0,0,0,0,False
W-000511,0,0,0,0,0,0,0,0,0,False
W-000512,0,0,0,0,0,0,0,1,1,True
W-000513,1,0,0,0,0,0,0,1,2,True
W-000514,0,0,0,0,0,0,0,1,1,True
W-000515,1,0,0,0,0,0,0,0,1,True
W-000516,0,0,0,0,0,0,0,1,1,True
W-000517,0,0,0,0,0,0,0,0,0,False
W-000518,0,0,0,0,0,0,0,0,0,False
W-000519,0,0,0,0,0,0,0,0,0,False
W-000520,0,0,0,0,0,0,0,0,0,False
W-000521,0,0,0,0,0,0,0,1,1,True
W-000522,0,0,0,0,0,0,0,1,1,True
W-000523,0,0,0,0,0,0,0,1,1,True
W-000524,0,0,0,0,0,0,0,0,0,False
W-000525,0,0,0,0,0,0,0,1,1,True
W-000526,1,0,0,0,0,0,0,1,2,True
W-000527,0,0,0,0,0,0,0,0,0,False
W-000528,0,0,0,0,0,0,0,1,1,True
W-000529,0,0,0,0,0,0,0,1,1,True
W-000530,1,0,0,0,0,0,0,1,2,True
W-000531,0,0,0,0,0,0,0,0,0,False
W-000532,0,0,0,0,0,0,0,1,1,True
W-000533,0,0,0,0,0,0,0,1,1,True
W-000534,1,0,0,0,0,0,0,0,1,True
W-000535,0,0,0,0,0,0,0,0,0,False
W-000536,0,0,0,0,0,0,0,1,1,True
W-000537,0,0,0,0,0,0,0,0,0,False
W-000538,0,0,0,0,0,0,0,1,1,True
W-000539,0,0,0,0,0,0,0,0,0,False
W-000540,1,0,0,0,0,0,0,0,1,True
W-000541,1,0,0,0,0,0,0,1,2,True
W-000542,0,0,0,0,0,0,0,0,0,False
W-000543,0,0,0,0,0,0,0,0,0,False
W-000544,1,0,0,0,0,0,0,0,1,True
W-000545,0,0,0,0,0,0,0,1,1,True
W-000546,0,0,0,0,0,0,0,0,0,False
W-000547,0,0,0,0,0,0,0,1,1,True
W-000548,0,0,0,0,0,0,0,1,1,True
W-000549,0,0,0,0,0,0,0,0,0,False
