work_id,injected_anomaly_count,injected_anomaly_types,expected_risk_score_0_100,expected_risk_class,duplicate_group_reference,label_usage_note,synthetic_marker
W-000155,1,PROJECT_DELAY,24,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000156,1,PROJECT_DELAY,23,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000157,1,PROJECT_DELAY,26,MEDIUM,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000158,0,NONE,4,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000159,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000160,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000161,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000162,0,NONE,7,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000163,1,PROJECT_DELAY,26,MEDIUM,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000164,1,EXPENDITURE_PROGRESS_MISMATCH,37,MEDIUM,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000165,1,PROJECT_DELAY,21,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000166,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000167,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000168,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000169,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000170,1,PROJECT_DELAY,26,MEDIUM,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000171,0,NONE,7,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000172,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000173,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000174,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000175,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000176,1,POTENTIAL_DUPLICATE,31,MEDIUM,DUP-003,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000177,2,COST_OVERRUN|PROJECT_DELAY,52,MEDIUM,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000178,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000179,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000180,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000181,0,NONE,2,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000182,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000183,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000184,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000185,1,COST_OVERRUN,31,MEDIUM,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000186,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000187,1,PAYMENT_BURST,22,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000188,0,NONE,4,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000189,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000190,0,NONE,5,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000191,0,NONE,4,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000192,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000193,0,NONE,3,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000194,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000195,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000196,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000197,0,NONE,3,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000198,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000199,0,NONE,12,LOW,DUP-004,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000200,0,NONE,4,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000201,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000202,0,NONE,3,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000203,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000204,0,NONE,5,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000205,1,PROJECT_DELAY,22,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000206,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000207,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000208,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000209,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000210,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000211,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000212,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000213,0,NONE,2,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000214,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000215,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000216,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000217,1,SANCTION_DEVIATION,23,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000218,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000219,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000220,0,NONE,5,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000221,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000222,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000223,0,NONE,3,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000224,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000225,1,SANCTION_DEVIATION,22,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000226,0,NONE,4,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000227,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000228,0,NONE,7,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000229,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000230,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000231,0,NONE,2,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000232,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000233,0,NONE,3,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000234,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000235,0,NONE,10,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000236,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000237,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000238,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000239,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000240,0,NONE,2,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000241,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000242,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000243,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000244,0,NONE,1,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000245,0,NONE,3,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000246,0,NONE,4,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000247,0,NONE,5,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000248,1,COMPLIANCE_MISSING,17,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000249,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000250,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000251,1,PROJECT_DELAY,22,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000252,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000253,0,NONE,11,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000254,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000255,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000256,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000257,1,PROJECT_DELAY,24,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000258,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000259,0,NONE,0,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000260,0,NONE,5,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000261,0,NONE,8,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000262,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000263,0,NONE,12,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000264,0,NONE,7,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000265,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000266,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000267,0,NONE,9,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000268,1,SANCTION_DEVIATION,23,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
W-000269,0,NONE,6,LOW,,Evaluation/validation only. Do NOT expose this file to the production model as an input feature.,True
