payment_id,work_id,vendor_id,payment_request_date,authorization_date,payment_release_date,payment_amount_inr,payment_stage,invoice_number,cumulative_expenditure_inr,payment_status,payment_mode,pfms_reference,authorized_by_agency_id,concurrence_authority,is_final_payment,source_type,synthetic_marker
P-W-000003-01,W-000003,VN-TS-004,2024-01-25,2024-01-31,2024-01-31,277000,Stage 1,INV-0003-01,277000,Released,PFMS/CNA Demo,DEMO-PFMS-30259425,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000003-02,W-000003,VN-TS-004,2024-02-12,2024-02-20,2024-02-22,365000,Stage 2,INV-0003-02,642000,Released,PFMS/CNA Demo,DEMO-PFMS-29565737,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000003-03,W-000003,VN-TS-004,2024-09-03,2024-09-03,2024-09-04,446000,Stage 3,INV-0003-03,1088000,Released,PFMS/CNA Demo,DEMO-PFMS-33101575,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000003-04,W-000003,VN-TS-004,2024-10-17,2024-10-23,2024-10-24,281000,Stage 4,INV-0003-04,1369000,Released,PFMS/CNA Demo,DEMO-PFMS-82609991,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000003-05,W-000003,VN-TS-004,2024-10-22,2024-10-23,2024-10-26,321000,Stage 5,INV-0003-05,1690000,Released,PFMS/CNA Demo,DEMO-PFMS-47955794,IA-TS-005,Telangana Demo District 1 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000004-01,W-000004,VN-OD-008,2024-08-22,2024-08-21,2024-08-24,807000,Stage 1,INV-0004-01,807000,Released,PFMS/CNA Demo,DEMO-PFMS-92632303,IA-OD-004,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000004-02,W-000004,VN-OD-008,2024-09-05,2024-09-05,2024-09-07,595000,Stage 2,INV-0004-02,1402000,Released,PFMS/CNA Demo,DEMO-PFMS-73020177,IA-OD-004,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000004-03,W-000004,VN-OD-008,2024-10-13,2024-10-15,2024-10-17,570000,Stage 3,INV-0004-03,1972000,Released,PFMS/CNA Demo,DEMO-PFMS-65137094,IA-OD-004,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000004-04,W-000004,VN-OD-008,2025-01-20,2025-01-25,2025-01-25,674000,Stage 4,INV-0004-04,2646000,Released,PFMS/CNA Demo,DEMO-PFMS-11253177,IA-OD-004,Odisha Demo District 2 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000005-01,W-000005,VN-AP-009,2025-01-20,2025-01-25,2025-01-28,383000,Stage 1,INV-0005-01,383000,Released,PFMS/CNA Demo,DEMO-PFMS-22608469,IA-AP-001,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000005-02,W-000005,VN-AP-009,2025-04-29,2025-04-29,2025-05-01,242000,Stage 2,INV-0005-02,625000,Released,PFMS/CNA Demo,DEMO-PFMS-72745796,IA-AP-001,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000005-03,W-000005,VN-AP-009,2025-05-13,2025-05-18,2025-05-20,347000,Stage 3,INV-0005-03,972000,Released,PFMS/CNA Demo,DEMO-PFMS-94598432,IA-AP-001,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000005-04,W-000005,VN-AP-009,2025-08-11,2025-08-09,2025-08-12,181000,Stage 4,INV-0005-04,1153000,Released,PFMS/CNA Demo,DEMO-PFMS-30559098,IA-AP-001,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000005-05,W-000005,VN-AP-009,2025-08-23,2025-08-31,2025-08-31,362000,Stage 5,INV-0005-05,1515000,Released,PFMS/CNA Demo,DEMO-PFMS-56277963,IA-AP-001,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000005-06,W-000005,VN-AP-009,2025-10-25,2025-10-29,2025-11-01,231000,Stage 6,INV-0005-06,1746000,Released,PFMS/CNA Demo,DEMO-PFMS-63125889,IA-AP-001,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-01,W-000006,VN-AP-005,2024-08-28,2024-08-29,2024-08-30,217000,Stage 1,INV-0006-01,217000,Released,PFMS/CNA Demo,DEMO-PFMS-24746880,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-02,W-000006,VN-AP-005,2024-08-29,2024-09-07,2024-09-07,251000,Stage 2,INV-0006-02,468000,Released,PFMS/CNA Demo,DEMO-PFMS-98677604,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-03,W-000006,VN-AP-005,2024-08-31,2024-09-07,2024-09-09,303000,Stage 3,INV-0006-03,771000,Released,PFMS/CNA Demo,DEMO-PFMS-99027120,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-04,W-000006,VN-AP-005,2024-09-10,2024-09-09,2024-09-12,138000,Stage 4,INV-0006-04,909000,Released,PFMS/CNA Demo,DEMO-PFMS-71329633,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-05,W-000006,VN-AP-005,2024-09-12,2024-09-13,2024-09-15,202000,Stage 5,INV-0006-05,1111000,Released,PFMS/CNA Demo,DEMO-PFMS-79676217,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-06,W-000006,VN-AP-005,2024-09-07,2024-09-15,2024-09-16,301000,Stage 6,INV-0006-06,1412000,Released,PFMS/CNA Demo,DEMO-PFMS-12047963,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-07,W-000006,VN-AP-005,2024-09-13,2024-09-21,2024-09-21,235000,Stage 7,INV-0006-07,1647000,Released,PFMS/CNA Demo,DEMO-PFMS-13655836,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-08,W-000006,VN-AP-005,2024-09-12,2024-09-18,2024-09-21,129000,Stage 8,INV-0006-08,1776000,Released,PFMS/CNA Demo,DEMO-PFMS-88959614,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000006-09,W-000006,VN-AP-005,2024-09-21,2024-09-25,2024-09-25,330000,Stage 9,INV-0006-09,2106000,Released,PFMS/CNA Demo,DEMO-PFMS-62169984,IA-AP-004,Andhra Pradesh Demo District 2 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000007-01,W-000007,VN-AP-002,2024-03-19,2024-03-22,2024-03-22,1028000,Stage 1,INV-0007-01,1028000,Released,PFMS/CNA Demo,DEMO-PFMS-18189392,IA-AP-003,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000007-02,W-000007,VN-AP-002,2024-10-07,2024-10-11,2024-10-12,1207000,Stage 2,INV-0007-02,2235000,Released,PFMS/CNA Demo,DEMO-PFMS-98706207,IA-AP-003,Andhra Pradesh Demo District 2 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000008-01,W-000008,VN-MH-007,2025-12-20,2025-12-20,2025-12-22,91000,Stage 1,INV-0008-01,91000,Released,PFMS/CNA Demo,DEMO-PFMS-93005350,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000008-02,W-000008,VN-MH-007,2026-01-15,2026-01-14,2026-01-16,138000,Stage 2,INV-0008-02,229000,Released,PFMS/CNA Demo,DEMO-PFMS-11164902,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000008-03,W-000008,VN-MH-007,2026-01-21,2026-01-27,2026-01-28,148000,Stage 3,INV-0008-03,377000,Released,PFMS/CNA Demo,DEMO-PFMS-99301955,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000008-04,W-000008,VN-MH-007,2026-03-11,2026-03-14,2026-03-16,107000,Stage 4,INV-0008-04,484000,Released,PFMS/CNA Demo,DEMO-PFMS-68201430,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000008-05,W-000008,VN-MH-007,2026-04-03,2026-04-11,2026-04-12,129000,Stage 5,INV-0008-05,613000,Released,PFMS/CNA Demo,DEMO-PFMS-45492184,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000008-06,W-000008,VN-MH-007,2026-04-20,2026-04-27,2026-04-27,71000,Stage 6,INV-0008-06,684000,Released,PFMS/CNA Demo,DEMO-PFMS-94739462,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000009-01,W-000009,VN-MH-005,2025-11-21,2025-11-20,2025-11-23,912000,Stage 1,INV-0009-01,912000,Released,PFMS/CNA Demo,DEMO-PFMS-24919676,IA-MH-004,Maharashtra Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000009-02,W-000009,VN-MH-005,2026-04-29,2026-05-07,2026-05-08,706000,Stage 2,INV-0009-02,1618000,Released,PFMS/CNA Demo,DEMO-PFMS-75569343,IA-MH-004,Maharashtra Demo District 3 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000010-01,W-000010,VN-AP-002,2025-06-16,2025-06-23,2025-06-26,801000,Stage 1,INV-0010-01,801000,Released,PFMS/CNA Demo,DEMO-PFMS-68079319,IA-AP-002,Andhra Pradesh Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000010-02,W-000010,VN-AP-002,2025-10-09,2025-10-13,2025-10-16,658000,Stage 2,INV-0010-02,1459000,Released,PFMS/CNA Demo,DEMO-PFMS-15104381,IA-AP-002,Andhra Pradesh Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000010-03,W-000010,VN-AP-002,2025-11-04,2025-11-14,2025-11-14,728000,Stage 3,INV-0010-03,2187000,Released,PFMS/CNA Demo,DEMO-PFMS-27523600,IA-AP-002,Andhra Pradesh Demo District 3 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000011-01,W-000011,VN-OD-006,2024-06-19,2024-06-24,2024-06-26,1008000,Stage 1,INV-0011-01,1008000,Released,PFMS/CNA Demo,DEMO-PFMS-32924787,IA-OD-003,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000011-02,W-000011,VN-OD-006,2024-09-02,2024-09-12,2024-09-12,777000,Stage 2,INV-0011-02,1785000,Released,PFMS/CNA Demo,DEMO-PFMS-91963626,IA-OD-003,Odisha Demo District 2 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000012-01,W-000012,VN-AP-005,2026-01-17,2026-01-21,2026-01-23,289000,Stage 1,INV-0012-01,289000,Released,PFMS/CNA Demo,DEMO-PFMS-57141947,IA-AP-005,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000012-02,W-000012,VN-AP-005,2026-03-12,2026-03-18,2026-03-18,211000,Stage 2,INV-0012-02,500000,Released,PFMS/CNA Demo,DEMO-PFMS-38486437,IA-AP-005,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000012-03,W-000012,VN-AP-005,2026-04-29,2026-04-30,2026-05-02,282000,Stage 3,INV-0012-03,782000,Released,PFMS/CNA Demo,DEMO-PFMS-41062334,IA-AP-005,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000012-04,W-000012,VN-AP-005,2026-08-20,2026-08-22,2026-08-23,159000,Stage 4,INV-0012-04,941000,Released,PFMS/CNA Demo,DEMO-PFMS-35907305,IA-AP-005,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000012-05,W-000012,VN-AP-005,2026-08-29,2026-08-28,2026-08-30,146000,Stage 5,INV-0012-05,1087000,Released,PFMS/CNA Demo,DEMO-PFMS-37269284,IA-AP-005,Andhra Pradesh Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000013-01,W-000013,VN-MH-001,2026-05-28,2026-05-31,2026-05-31,151000,Stage 1,INV-0013-01,151000,Released,PFMS/CNA Demo,DEMO-PFMS-76890999,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000013-02,W-000013,VN-MH-001,2026-06-16,2026-06-25,2026-06-26,177000,Stage 2,INV-0013-02,328000,Released,PFMS/CNA Demo,DEMO-PFMS-99536427,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000013-03,W-000013,VN-MH-001,2026-07-10,2026-07-12,2026-07-15,252000,Stage 3,INV-0013-03,580000,Released,PFMS/CNA Demo,DEMO-PFMS-51793214,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000013-04,W-000013,VN-MH-001,2026-08-15,2026-08-25,2026-08-25,107000,Stage 4,INV-0013-04,687000,Released,PFMS/CNA Demo,DEMO-PFMS-96465875,IA-MH-005,Maharashtra Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000014-01,W-000014,VN-TS-002,2024-11-10,2024-11-10,2024-11-11,464000,Stage 1,INV-0014-01,464000,Released,PFMS/CNA Demo,DEMO-PFMS-79488545,IA-TS-004,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000014-02,W-000014,VN-TS-002,2025-05-12,2025-05-10,2025-05-13,774000,Stage 2,INV-0014-02,1238000,Released,PFMS/CNA Demo,DEMO-PFMS-25721193,IA-TS-004,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000014-03,W-000014,VN-TS-002,2025-09-16,2025-09-18,2025-09-20,427000,Stage 3,INV-0014-03,1665000,Released,PFMS/CNA Demo,DEMO-PFMS-45437175,IA-TS-004,Telangana Demo District 1 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000015-01,W-000015,VN-RJ-008,2024-10-26,2024-10-30,2024-10-30,399000,Stage 1,INV-0015-01,399000,Released,PFMS/CNA Demo,DEMO-PFMS-81175405,IA-RJ-003,Rajasthan Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000015-02,W-000015,VN-RJ-008,2024-11-07,2024-11-14,2024-11-14,200000,Stage 2,INV-0015-02,599000,Released,PFMS/CNA Demo,DEMO-PFMS-24760419,IA-RJ-003,Rajasthan Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000015-03,W-000015,VN-RJ-008,2025-01-29,2025-02-06,2025-02-08,175000,Stage 3,INV-0015-03,774000,Released,PFMS/CNA Demo,DEMO-PFMS-21367420,IA-RJ-003,Rajasthan Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000015-04,W-000015,VN-RJ-008,2025-03-11,2025-03-13,2025-03-15,333000,Stage 4,INV-0015-04,1107000,Released,PFMS/CNA Demo,DEMO-PFMS-93915954,IA-RJ-003,Rajasthan Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000015-05,W-000015,VN-RJ-008,2025-04-13,2025-04-19,2025-04-20,495000,Stage 5,INV-0015-05,1602000,Released,PFMS/CNA Demo,DEMO-PFMS-78073638,IA-RJ-003,Rajasthan Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000015-06,W-000015,VN-RJ-008,2025-09-26,2025-09-27,2025-09-28,257000,Stage 6,INV-0015-06,1859000,Released,PFMS/CNA Demo,DEMO-PFMS-81467008,IA-RJ-003,Rajasthan Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000016-01,W-000016,VN-RJ-001,2026-04-30,2026-05-03,2026-05-03,258000,Stage 1,INV-0016-01,258000,Released,PFMS/CNA Demo,DEMO-PFMS-24767019,IA-RJ-006,Rajasthan Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000016-02,W-000016,VN-RJ-001,2026-05-28,2026-06-01,2026-06-03,187000,Stage 2,INV-0016-02,445000,Released,PFMS/CNA Demo,DEMO-PFMS-74549092,IA-RJ-006,Rajasthan Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000016-03,W-000016,VN-RJ-001,2026-07-05,2026-07-14,2026-07-14,196000,Stage 3,INV-0016-03,641000,Released,PFMS/CNA Demo,DEMO-PFMS-94880531,IA-RJ-006,Rajasthan Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000016-04,W-000016,VN-RJ-001,2026-07-23,2026-08-01,2026-08-02,121000,Stage 4,INV-0016-04,762000,Released,PFMS/CNA Demo,DEMO-PFMS-82028852,IA-RJ-006,Rajasthan Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000016-05,W-000016,VN-RJ-001,2026-08-02,2026-08-04,2026-08-06,153000,Stage 5,INV-0016-05,915000,Released,PFMS/CNA Demo,DEMO-PFMS-28547715,IA-RJ-006,Rajasthan Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000016-06,W-000016,VN-RJ-001,2026-08-13,2026-08-15,2026-08-16,185000,Stage 6,INV-0016-06,1100000,Released,PFMS/CNA Demo,DEMO-PFMS-24511055,IA-RJ-006,Rajasthan Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000017-01,W-000017,VN-KA-005,2026-04-14,2026-04-13,2026-04-15,1153000,Stage 1,INV-0017-01,1153000,Released,PFMS/CNA Demo,DEMO-PFMS-39079342,IA-KA-005,Karnataka Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000017-02,W-000017,VN-KA-005,2026-05-30,2026-06-01,2026-06-02,755000,Stage 2,INV-0017-02,1908000,Released,PFMS/CNA Demo,DEMO-PFMS-37651260,IA-KA-005,Karnataka Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000017-03,W-000017,VN-KA-005,2026-07-19,2026-07-21,2026-07-22,1104000,Stage 3,INV-0017-03,3012000,Released,PFMS/CNA Demo,DEMO-PFMS-51999782,IA-KA-005,Karnataka Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000018-01,W-000018,VN-OD-001,2025-07-29,2025-08-04,2025-08-05,440000,Stage 1,INV-0018-01,440000,Released,PFMS/CNA Demo,DEMO-PFMS-64346751,IA-OD-001,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000018-02,W-000018,VN-OD-001,2025-10-23,2025-10-24,2025-10-27,449000,Stage 2,INV-0018-02,889000,Released,PFMS/CNA Demo,DEMO-PFMS-48341705,IA-OD-001,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000018-03,W-000018,VN-OD-001,2026-01-30,2026-02-06,2026-02-06,259000,Stage 3,INV-0018-03,1148000,Released,PFMS/CNA Demo,DEMO-PFMS-91659256,IA-OD-001,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000018-04,W-000018,VN-OD-001,2026-02-02,2026-02-08,2026-02-08,485000,Stage 4,INV-0018-04,1633000,Released,PFMS/CNA Demo,DEMO-PFMS-11316601,IA-OD-001,Odisha Demo District 2 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000018-05,W-000018,VN-OD-001,2026-04-11,2026-04-11,2026-04-13,553000,Stage 5,INV-0018-05,2186000,Released,PFMS/CNA Demo,DEMO-PFMS-48879523,IA-OD-001,Odisha Demo District 2 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000019-01,W-000019,VN-MH-006,2024-04-20,2024-04-19,2024-04-22,960000,Stage 1,INV-0019-01,960000,Released,PFMS/CNA Demo,DEMO-PFMS-42691302,IA-MH-004,Maharashtra Demo District 3 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000020-01,W-000020,VN-MH-004,2024-08-06,2024-08-07,2024-08-07,628000,Stage 1,INV-0020-01,628000,Released,PFMS/CNA Demo,DEMO-PFMS-14937486,IA-MH-005,Maharashtra Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000020-02,W-000020,VN-MH-004,2024-10-18,2024-10-25,2024-10-28,761000,Stage 2,INV-0020-02,1389000,Released,PFMS/CNA Demo,DEMO-PFMS-10769529,IA-MH-005,Maharashtra Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000020-03,W-000020,VN-MH-004,2025-04-08,2025-04-10,2025-04-13,463000,Stage 3,INV-0020-03,1852000,Released,PFMS/CNA Demo,DEMO-PFMS-85282327,IA-MH-005,Maharashtra Demo District 1 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000021-01,W-000021,VN-TS-001,2024-04-23,2024-04-29,2024-05-01,459000,Stage 1,INV-0021-01,459000,Released,PFMS/CNA Demo,DEMO-PFMS-45162333,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000021-02,W-000021,VN-TS-001,2024-05-08,2024-05-10,2024-05-11,382000,Stage 2,INV-0021-02,841000,Released,PFMS/CNA Demo,DEMO-PFMS-35903278,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000021-03,W-000021,VN-TS-001,2024-09-07,2024-09-12,2024-09-12,1084000,Stage 3,INV-0021-03,1925000,Released,PFMS/CNA Demo,DEMO-PFMS-15960004,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000021-04,W-000021,VN-TS-001,2024-09-22,2024-09-26,2024-09-26,1069000,Stage 4,INV-0021-04,2994000,Released,PFMS/CNA Demo,DEMO-PFMS-38376300,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000021-05,W-000021,VN-TS-001,2025-02-18,2025-02-22,2025-02-24,564000,Stage 5,INV-0021-05,3558000,Released,PFMS/CNA Demo,DEMO-PFMS-25019679,IA-TS-005,Telangana Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000021-06,W-000021,VN-TS-001,2025-02-24,2025-02-25,2025-02-28,659000,Stage 6,INV-0021-06,4217000,Released,PFMS/CNA Demo,DEMO-PFMS-31807906,IA-TS-005,Telangana Demo District 1 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000022-01,W-000022,VN-OD-002,2024-09-25,2024-09-30,2024-10-01,1113000,Stage 1,INV-0022-01,1113000,Released,PFMS/CNA Demo,DEMO-PFMS-29860138,IA-OD-003,Odisha Demo District 3 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000022-02,W-000022,VN-OD-002,2025-02-20,2025-02-23,2025-02-24,1792000,Stage 2,INV-0022-02,2905000,Released,PFMS/CNA Demo,DEMO-PFMS-59725740,IA-OD-003,Odisha Demo District 3 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000023-01,W-000023,VN-KA-004,2026-05-10,2026-05-17,2026-05-19,421000,Stage 1,INV-0023-01,421000,Released,PFMS/CNA Demo,DEMO-PFMS-22683645,IA-KA-006,Karnataka Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
