mp_id,mp_name,house_type,tenure,state_code,state_name,constituency,nodal_district,annual_entitlement_inr,allocated_limit_inr,calamity_consent_amount_inr,record_effective_date,source_type,source_reference,synthetic_marker
MP-MH-003,Demo MP MH-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,MH,Maharashtra,Maharashtra Demo Constituency 3,Maharashtra Demo District 3,50000000,49010000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-MH-004,Demo MP MH-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,MH,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 4,50000000,47764000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-MH-005,Demo MP MH-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,MH,Maharashtra,Maharashtra Demo Constituency 5,Maharashtra Demo District 1,50000000,50908000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-MH-006,Demo MP MH-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,MH,Maharashtra,Maharashtra Rajya Sabha Seat,Maharashtra Demo District 2,50000000,53309000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-OD-001,Demo MP OD-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,OD,Odisha,Odisha Demo Constituency 1,Odisha Demo District 1,50000000,52533000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-OD-002,Demo MP OD-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,OD,Odisha,Odisha Demo Constituency 2,Odisha Demo District 2,50000000,51496000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-OD-003,Demo MP OD-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,OD,Odisha,Odisha Demo Constituency 3,Odisha Demo District 3,50000000,51867000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-OD-004,Demo MP OD-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,OD,Odisha,Odisha Demo Constituency 4,Odisha Demo District 4,50000000,50949000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-OD-005,Demo MP OD-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,OD,Odisha,Odisha Demo Constituency 5,Odisha Demo District 1,50000000,51011000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-OD-006,Demo MP OD-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,OD,Odisha,Odisha Rajya Sabha Seat,Odisha Demo District 2,50000000,48106000,2679000,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-RJ-001,Demo MP RJ-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,RJ,Rajasthan,Rajasthan Demo Constituency 1,Rajasthan Demo District 1,50000000,50848000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-RJ-002,Demo MP RJ-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,RJ,Rajasthan,Rajasthan Demo Constituency 2,Rajasthan Demo District 2,50000000,53870000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-RJ-003,Demo MP RJ-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,RJ,Rajasthan,Rajasthan Demo Constituency 3,Rajasthan Demo District 3,50000000,49254000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-RJ-004,Demo MP RJ-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,RJ,Rajasthan,Rajasthan Demo Constituency 4,Rajasthan Demo District 4,50000000,49413000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-RJ-005,Demo MP RJ-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,RJ,Rajasthan,Rajasthan Demo Constituency 5,Rajasthan Demo District 1,50000000,48243000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-RJ-006,Demo MP RJ-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,RJ,Rajasthan,Rajasthan Rajya Sabha Seat,Rajasthan Demo District 2,50000000,52199000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
